ax,ay,az,gx,gy,gz,flex
22701,-892,49,-32,-6,9,314
19710,-1206,-1539,-31,13,15,315
18661,-1402,-2284,-7,0,-41,316
20897,-1176,-1529,14,3,-65,318
22642,-343,137,-16,43,-17,320
20328,-1137,-755,-42,48,20,321
18553,-794,-1922,-21,15,0,321
19338,186,-1569,-9,1,-28,322
19818,156,-764,-6,48,-32,324
17249,431,294,-3,59,-41,328
15180,-1323,1578,-13,30,-63,330
18426,1559,2343,-44,-12,-127,330
27595,5462,-2608,-75,93,-113,332
-26674,10012,-14474,-45,205,16,338
-22889,15915,-23388,156,387,279,360
-21398,29056,-28752,340,476,549,423
-14220,-17368,-29713,572,503,572,488
-15044,7089,-25918,572,572,572,541
-29988,15827,-11277,572,572,572,557
28987,4295,10080,572,471,572,584
5089,1833,22809,572,538,572,595
-20044,6050,-30724,572,248,572,600
29361,3638,-16485,534,145,572,601
-28771,4863,-6492,74,257,572,600
-11806,-5424,-17132,-423,289,553,598
-5442,-7944,-30302,-51,-14,-572,586
-8178,4118,24996,64,-193,-572,596
14946,7217,19740,30,-4,-572,599
-19367,5187,28183,77,-9,-572,598
20073,17366,-30342,181,83,-572,598
-27674,29046,-18182,98,118,-572,596
-24673,-30312,32341,-260,-165,-572,588
28605,9041,-22005,-572,-572,-572,571
9972,-27282,21526,-572,-572,-572,538
-2227,7599,30596,-308,-205,-417,515
-26870,4324,-12875,1,-478,-109,480
31095,5775,-1088,-41,-458,23,442
22917,2490,2657,-152,-356,31,415
19877,-2608,196,-85,-233,11,394
16906,-3638,-588,57,-269,-39,379
21730,-274,5923,43,-319,-53,373
21103,-1294,5226,-60,-266,-16,361
19808,-3520,1245,-29,-158,-1,355
17602,-2843,911,68,-104,-47,355
21730,-2265,4756,92,-120,-71,349
23466,-1745,6619,36,-106,-17,352
21211,-2785,4736,-26,-64,24,348
17239,-3079,1853,-21,-62,1,339
17671,-2167,460,-2,-136,-29,339
19338,-1196,343,-4,-168,-32,347
20514,-1412,117,-4,-112,-26,338
19112,-1225,-107,4,-34,-30,345
19671,-1235,892,1,-53,-46,345
22387,-1794,1990,-43,-65,-32,347
23545,-2990,755,-57,-12,-1,346
20269,-2441,-1539,-21,34,-13,343
20063,-558,-961,-16,-33,-28,342
21887,-833,-147,-47,-72,-7,346
21113,-1735,-833,-68,-44,12,344
19141,-2137,-3098,-13,-26,-5,341
