ax,ay,az,gx,gy,gz,flex
22005,-402,3343,29,-48,-1,339
19946,-980,2549,-10,2,-12,340
18200,-3667,696,41,87,-26,341
20053,-774,3667,36,-24,-18,341
20642,-362,3402,-29,-29,22,342
19455,-1019,1804,-69,31,32,341
17347,-1343,-392,-20,89,24,342
16376,-539,-892,17,38,6,342
19769,490,-2078,37,-35,28,343
24290,3922,-4422,-2,-37,103,343
25820,6982,-7403,-24,51,238,344
18808,9678,-11228,24,40,356,347
17141,10747,-11453,166,-48,331,348
14993,12316,-10924,274,-170,239,352
19524,11159,-9590,414,-323,177,364
21485,10581,-8747,551,-352,147,371
22956,7031,-8708,572,-354,129,390
24800,5158,-6383,572,-467,129,405
27546,-1078,2196,572,-354,184,406
26173,-6442,3628,540,-313,188,400
22858,-10237,5197,572,-413,123,404
28595,-5697,12905,572,-401,97,403
24721,-11267,15503,445,-329,83,400
20250,-12669,13983,376,-394,4,397
26065,-13248,14542,349,-378,-29,397
25682,-14013,14748,364,-234,24,399
18926,-11689,13611,312,-167,44,398
17690,-9227,9884,187,-239,39,396
17445,-11228,5560,115,-240,44,395
23211,-21613,15150,233,-103,81,373
17680,-12826,26594,66,282,150,353
598,-11924,9012,-171,174,106,360
3844,-13983,-7972,-127,-153,-34,363
15405,-14189,-5991,44,4,-71,352
19083,-14650,6815,67,121,-39,334
16327,-14081,7678,-33,34,22,331
16415,-13071,-676,-42,-39,21,333
16670,-14327,166,10,69,65,332
10659,-14797,2441,25,40,22,330
14444,-13640,1108,-10,-54,-11,329
16111,-12934,755,-4,37,30,328
13405,-13473,2981,-1,26,33,329
13728,-14023,1696,-19,-1,0,332
14533,-14111,137,-7,7,0,335
13503,-14582,1088,1,-18,10,335
14944,-14748,1392,0,-35,8,336
14768,-14660,382,0,-16,10,337
