ax,ay,az,gx,gy,gz,flex
5187,20730,8472,39,90,-20,408
9835,21995,11453,8,72,19,420
15552,24309,11934,-81,161,121,431
11571,26035,11728,-170,113,201,439
14895,27859,15082,-243,52,354,440
14552,28977,17063,-386,2,539,428
15346,30085,18661,-367,-80,572,417
18494,31792,19632,-333,-83,572,400
19298,-30724,21475,-415,-6,572,384
17622,-31577,24427,-540,-36,572,370
18073,31900,25535,-572,-50,572,350
17004,25741,21524,-572,-79,572,336
15935,20299,21319,-572,-107,572,322
17886,18063,19730,-572,-134,572,316
13856,14562,16700,-572,11,572,312
9119,9639,13179,-572,-20,572,309
9002,5246,10943,-572,-60,572,307
10022,4157,11041,-572,-73,572,306
8433,58,8296,-572,-100,572,303
7501,-2029,5687,-558,-119,572,303
6128,-1284,5383,-550,-133,572,304
1716,-1519,3402,-551,-197,572,306
-4638,-68,-774,-540,-233,521,308
-12228,-196,-6344,-500,-287,427,308
-22436,-9,-11355,-436,-222,355,307
-30850,-5883,-16455,-292,-52,229,307
-18975,-14189,-9845,-93,90,75,310
-4187,-22015,-3510,-99,117,93,312
-1245,-25908,-6334,-200,64,175,313
-5315,-25555,-9963,-243,46,271,317
-10277,-18857,-11787,-305,77,361,322
-13464,-18641,-15425,-308,59,350,323
-9551,-15297,-13885,-295,41,365,324
-11787,-9924,-13856,-326,52,396,324
-16347,-6942,-18514,-337,55,349,324
-15847,-3657,-20063,-261,55,255,323
-17582,-284,-19416,-218,84,209,323
-16749,2883,-20887,-224,72,123,325
-12522,1725,-23613,-152,50,32,326
-14582,6580,-23760,-52,74,-35,328
-13895,10581,-21721,0,101,-101,334
-13915,10747,-21770,106,139,-174,347
-12385,12012,-25496,347,209,-287,380
-16866,10228,-24810,572,175,-369,425
-18112,14307,-19975,572,94,-490,481
-14454,13003,-19504,572,158,-572,509
-12905,15248,-12826,572,86,-572,534
-8364,20357,-5560,572,86,-572,553
-1676,32096,5089,572,19,-572,558
3530,-26743,11385,572,100,-572,561
7168,-29704,19995,572,359,-572,563
-4540,31615,23505,572,316,-572,567
8727,16003,15268,540,-181,-572,568
23829,9669,18259,572,-102,-400,568
11051,15866,24437,502,82,-211,568
10335,16229,30664,366,75,-210,568
16111,15219,-25703,304,143,-263,567
20279,15219,-17603,259,162,-241,568
25300,17170,-8738,151,40,-135,568
25790,16396,-9003,-63,-21,-1,568
23044,12463,-17064,-223,-70,83,567
21328,9737,-25174,-288,-14,117,567
15062,7472,31596,-334,14,149,566
10041,5315,23564,-362,-29,173,564
7276,3245,17847,-367,-62,179,561
6060,1863,13689,-340,-46,170,559
2216,696,10080,-317,-53,157,537
-166,-549,7276,-299,-128,141,542
235,-1931,5834,-257,-136,101,527
-961,-2716,3569,-189,-154,38,504
-1186,-2088,892,-130,-163,4,486
-2304,-657,-421,-36,-118,-40,471
-892,1274,1098,64,-107,-107,458
323,3196,2049,97,-77,-146,441
-1166,5658,1441,135,-50,-159,430
-519,7707,4246,180,-117,-219,427
4765,11453,6295,206,-101,-289,423
5824,13248,8315,242,-41,-310,418
7344,16337,8276,239,-79,-351,415
11110,20436,9070,295,-57,-428,415
12257,21809,11061,408,-39,-487,417
15219,24005,13169,496,2,-547,418
13875,28252,21122,572,143,-572,424
9217,-27890,24358,572,95,-572,429
17298,-25527,25506,465,-27,-572,429
24672,-26929,27575,438,-4,-572,427
23044,-28488,25457,423,27,-572,420
27153,-31999,25467,332,41,-469,416
25025,30232,26418,225,136,-303,412
17043,25388,24388,118,156,-180,404
10855,23172,22378,54,54,-124,393
10581,21093,19338,9,-82,-106,387
11120,19602,15856,-21,-75,-85,380
8629,20201,12316,-48,-38,-67,376
8462,20563,8855,-80,-43,-37,373
6128,19308,6197,-90,-27,5,367
3000,19151,4746,-50,-53,26,364
1922,19504,4412,-28,-101,23,362
3804,19955,5187,-37,-73,46,360
1490,19083,5275,-45,-1,65,355
-294,19043,5354,0,17,54,354
-147,20132,6864,2,37,61,353
