ax,ay,az,gx,gy,gz,flex
9129,18200,8168,-40,114,59,491
10071,17690,7374,-37,200,68,492
11502,18386,6187,6,281,70,493
13424,18700,5167,58,354,67,495
19867,20142,7786,119,387,118,498
24555,25908,10051,63,397,267,501
25506,26339,11120,-23,301,399,502
28261,28614,16102,61,251,488,504
29203,-29204,23299,118,303,572,507
25192,-20280,30419,-28,329,572,510
21015,-12798,-31116,-232,356,572,512
15454,-10101,-30273,-392,462,572,513
4481,-10984,-31401,-543,502,572,513
-2912,-14239,31625,-572,422,572,513
-6854,-21712,27957,-572,345,572,513
-8796,-28027,23858,-572,300,561,511
-9904,32468,17935,-572,214,401,510
-7933,28281,13317,-572,127,260,509
-5530,25427,9482,-572,140,145,507
-5589,23466,6785,-572,203,42,505
-6413,22338,4040,-572,241,-75,503
-6933,21377,2481,-572,224,-195,501
-5658,21838,1059,-572,215,-308,501
-6001,23662,-117,-572,208,-426,501
-5844,26957,-1421,-572,99,-538,502
-1186,28507,-1843,-572,3,-572,502
-1490,32419,-2863,-572,48,-572,501
-4736,-24909,-3569,-572,-52,-572,501
-5040,-17172,-3471,-572,-189,-572,496
-5354,-7865,-4050,-572,-293,-572,493
1519,6932,-1892,-572,-277,-572,498
20416,21701,-3530,-572,56,-572,502
26614,10649,-24839,-572,572,-572,497
17847,-8513,27174,-522,572,-383,492
15464,539,29273,62,572,-487,496
29840,2323,-31419,517,572,-572,502
-14249,9639,-24202,572,572,-163,504
-10523,6550,-25349,572,572,143,504
2569,12591,-14464,572,572,572,506
5403,-26723,-1157,572,572,572,511
-30459,-11062,5913,572,572,572,512
6717,-29449,21887,437,572,572,512
676,17504,29595,48,572,572,510
-7727,-3511,25378,-225,572,572,500
-12375,-22830,19112,-340,572,572,489
-11571,29487,14562,-384,444,572,482
-6070,21750,10914,-411,416,485,478
-2216,16631,7845,-380,529,360,475
-784,14709,6393,-349,572,231,474
-2304,11159,3392,-331,572,108,474
-4991,8855,2657,-261,572,-25,476
-6550,7952,2677,-205,572,-193,479
-5874,7237,3853,-143,572,-359,483
-4589,8394,5785,-82,572,-508,489
-3844,10728,8080,-63,469,-572,493
-5697,15896,7805,-130,301,-572,497
-4677,22093,5285,-291,-19,-572,500
-3294,27143,2078,-461,-293,-572,503
-2735,-31636,-2735,-572,-529,-572,506
-3971,-22222,-7501,-572,-572,-572,510
-4275,-12317,-11434,-572,-572,-572,513
-3167,-667,-11581,-572,-572,-572,516
4226,12169,-8109,-572,-572,-572,519
11924,31027,-12091,-572,-191,-572,525
15915,-20251,-26977,-572,259,-503,533
17474,14140,23850,-572,572,-322,535
13336,-6130,21957,-572,572,-104,532
16170,-785,26301,-54,572,-63,532
6452,11698,-30311,366,572,-136,534
14699,14071,-14552,572,572,-308,534
-31116,10473,-5501,572,572,-379,533
-1619,13228,-2451,572,572,-4,530
-7963,-413,-411,572,572,430,524
-23889,-1629,11875,572,488,572,525
-26674,-5218,20181,572,106,557,523
-30145,-11464,23839,572,-91,477,522
29703,-19172,28967,572,-142,475,518
18082,-31499,-32116,572,-110,489,506
8453,29526,26202,410,-32,368,494
6599,20514,19975,267,-120,238,483
10394,14837,19573,197,-186,265,457
5677,11640,13169,149,-78,294,437
2255,7148,11846,140,36,265,429
