ax,ay,az,gx,gy,gz,flex
3059,21083,8570,-61,-6,-31,433
5207,21201,8413,-58,-21,1,443
9227,22701,7952,-78,-94,55,455
11914,24966,6491,-103,-173,117,465
17965,26173,4393,-95,-121,260,472
16915,27693,2255,-66,-79,390,477
17347,30615,-176,-7,-101,488,477
18798,32262,-3039,115,-217,572,469
21681,-29282,-6236,256,-380,572,452
26918,-26311,-7031,402,-348,572,436
27585,-26546,-9178,509,-154,572,415
24790,-26978,-9365,572,-31,572,392
20642,-29871,-8178,572,7,572,382
16935,31556,-5942,568,89,572,366
14719,27134,-4785,533,68,572,352
12483,23113,-4550,571,54,572,348
13209,18190,-1627,570,97,572,340
12895,16386,-529,463,164,572,337
8531,9669,176,406,181,572,335
9698,7403,2147,379,142,564,335
8776,5373,4726,268,174,535,338
4559,1990,5717,205,136,478,343
4981,-441,7590,180,35,407,345
8482,-804,11855,109,14,396,346
6364,-4393,12630,25,115,365,347
3334,-8031,11944,32,140,298,349
1343,-11140,10708,59,145,180,350
176,-10424,12924,80,15,84,350
6285,-16396,19651,22,-16,43,349
5962,-17298,16906,-12,5,-11,348
12385,-13454,7315,-116,37,-2,348
15091,-13768,-284,-135,133,66,348
5462,-17004,4520,-69,158,98,347
1637,-19249,10335,-55,66,20,348
5668,-19034,8384,-58,17,-22,349
9541,-17651,4412,-40,-10,0,349
11424,-17308,4128,-7,-2,15,349
8355,-18259,6109,27,0,29,347
7903,-17298,8011,10,1,22,347
7884,-17229,6334,0,11,15,347
7845,-17661,5540,18,-9,4,346
8511,-17259,6256,40,-42,-6,345
8551,-16190,7678,42,-33,9,344
8394,-16866,7384,28,-32,20,344
7619,-17396,6030,46,-57,17,340
9570,-17308,7188,58,-57,5,338
