ax,ay,az,gx,gy,gz,flex
-5354,19857,9727,-126,-244,-22,434
686,19279,11836,-101,-271,-30,462
1735,20240,12944,-59,-167,-13,479
3363,21348,11993,-27,-127,22,495
5001,22760,13062,-26,-67,88,512
2579,23672,12277,8,-192,132,515
9482,27124,13169,33,-277,194,534
13758,30291,11914,97,-369,308,543
20093,-27527,11924,136,-396,411,542
19759,-25968,14444,153,-367,553,546
22740,-18829,14327,141,-514,572,543
32174,-14828,15052,149,-405,572,528
24839,-12621,17494,139,-79,572,528
21887,-17191,17916,21,13,572,538
22142,-22379,19818,-36,165,572,541
17112,-25075,17435,-255,467,572,542
8404,26996,12571,-430,572,572,526
4716,21799,10188,-548,572,572,541
-1755,15366,5785,-572,572,572,542
2461,6599,2785,-542,527,572,538
-1657,2481,823,-476,528,494,531
-2118,-617,-2127,-405,472,334,541
-5697,-1059,-6305,-293,453,201,539
1068,-3647,-5266,-224,413,116,544
-3020,-4314,-8227,-154,551,96,545
-7060,-3128,-9796,-10,366,3,546
-2706,-2628,-9669,91,159,-72,556
6207,-147,-2843,148,264,-84,557
2520,-362,-5874,194,366,-56,560
4412,1186,-4814,279,212,-60,568
9492,3471,-1470,288,167,-6,567
8943,3520,-3638,292,198,84,567
6982,4304,-1578,378,175,142,567
6187,9933,1294,476,76,128,566
9404,14807,5805,514,89,183,572
5520,15494,13385,498,68,293,574
5883,19710,17033,528,-49,296,575
5815,22466,20299,572,-46,336,574
2431,24947,27624,572,-150,366,571
8521,27526,30948,572,-163,356,575
8315,30527,-28214,572,-59,390,575
8158,-31008,-23781,572,-108,412,576
16827,-22555,-19888,548,-126,414,576
23486,-22134,-16377,524,-21,549,576
19034,-15907,-14622,381,164,572,573
16798,-16848,-14740,172,209,572,561
9855,-17731,-17328,62,295,572,550
4844,-20143,-17946,34,175,572,556
1657,-21016,-16750,-38,4,572,561
804,-26399,-21682,-210,13,572,553
-3138,32066,-29684,-330,40,572,550
-4981,24692,29546,-387,95,572,543
-5972,19710,24653,-430,112,572,545
-4824,14964,21436,-474,191,512,543
-5040,10963,19151,-461,277,387,549
-7237,9580,17337,-443,343,250,568
-7060,7178,16562,-458,337,141,570
-7148,6276,16396,-469,356,56,572
-10983,5373,13630,-471,352,-51,572
-11394,5099,11326,-455,248,-169,573
-10110,3618,9139,-425,168,-243,573
-9767,2804,6364,-387,111,-308,569
-8433,1922,5001,-337,94,-359,567
-7747,1255,4354,-279,86,-400,572
-5001,-58,5864,-270,138,-412,573
-4952,598,6060,-240,244,-432,572
-7178,3069,5795,-193,228,-496,570
-5138,5422,7197,-167,151,-570,570
-2324,7727,8335,-142,130,-572,570
-2137,12208,7227,-111,80,-572,569
1098,16092,7717,-86,-26,-572,568
4442,19132,7482,-61,-83,-572,569
10473,24810,9639,-29,-81,-572,571
12297,29860,10071,-73,-60,-572,571
20465,-32666,9943,-143,-76,-572,572
24721,-32195,7678,-192,68,-572,570
25967,31243,5687,-169,120,-572,570
24408,29654,6246,-91,90,-572,569
21779,-32067,7825,-60,41,-563,568
20995,32478,6089,-84,-13,-535,567
30017,27134,9433,-70,0,-510,566
-32244,31654,13091,-44,140,-445,567
-27458,28742,13297,-85,73,-346,569
-19270,24623,15660,-61,2,-212,570
-19780,23417,17455,4,-26,-88,571
-18809,23446,20230,-34,-21,53,572
-23860,20328,21475,-117,33,218,572
32145,18553,19279,-126,-16,315,573
