ax,ay,az,gx,gy,gz,flex
21691,5471,2255,-62,52,62,392
21073,6217,2382,-60,136,144,397
18739,6030,2892,-30,92,183,404
20809,7207,3569,11,73,223,412
17994,8335,5118,58,64,269,418
17229,11002,6070,93,-52,267,427
20181,8080,4932,53,-93,322,429
20338,10590,4638,22,31,323,429
17808,9992,6109,-12,270,324,431
12659,598,2824,-87,190,353,431
18759,-2696,3883,-118,267,364,431
17523,2392,4579,-197,543,324,439
9365,-2755,3216,-320,572,367,442
9374,-9345,686,-380,572,350,441
14248,-15317,-470,-266,572,329,440
6589,-17965,2431,-97,572,354,426
961,-16425,6893,-5,572,211,405
6197,-18475,1608,155,269,51,402
12865,-17720,6756,392,130,-41,403
15307,-15317,10737,487,69,-39,409
12748,-15160,16788,495,-13,-32,411
14915,-14660,18122,477,-59,-37,413
15621,-13562,23054,392,-62,3,412
15141,-14846,25172,295,-86,31,410
18347,-15474,26673,266,-107,59,404
16023,-14944,25172,248,-144,77,389
20652,-13081,29203,172,-266,159,381
22574,-12434,30899,58,-116,252,378
15886,-11208,29919,-18,-95,288,379
18759,-8904,32547,-131,-77,348,379
14631,-8629,30203,-229,-33,418,381
11836,-8678,29448,-255,18,431,380
6785,-8374,28271,-292,87,420,380
5520,-7952,26790,-366,126,408,380
794,-9482,22113,-375,212,362,380
-2912,-10453,19593,-365,290,285,381
-5560,-9168,18573,-354,311,190,383
-5246,-8590,17474,-340,357,107,384
-7717,-7452,15062,-339,369,32,385
-6893,-7207,12777,-303,346,-63,385
-6295,-4677,10688,-269,373,-141,386
-5932,-3736,7207,-252,318,-221,387
-1059,-2010,6119,-183,273,-278,389
519,-843,4265,-162,274,-307,390
2343,-225,1971,-120,192,-333,390
7158,78,1363,-50,187,-327,391
5815,147,-568,12,202,-349,391
8825,-490,-1647,88,113,-391,391
14091,-19,-588,179,78,-350,392
13287,-353,137,220,136,-299,392
13954,-666,794,350,101,-334,392
17435,-9,6178,437,31,-333,393
22711,264,13719,457,62,-269,393
24133,-254,15494,518,40,-247,393
29566,-2902,20563,565,-50,-197,392
-31665,-5099,28507,552,-14,-83,391
-32656,-6629,30321,555,-76,-21,391
-29665,-9345,-30636,503,-150,87,390
32351,-12826,-28880,398,-96,246,390
27722,-12493,-28302,342,-120,359,391
24378,-10816,-26301,251,-92,473,391
15219,-9365,-26821,119,-19,562,391
10090,-9933,-30302,35,-38,555,392
9080,-9217,-31253,-36,-21,526,392
6991,-8874,-31548,-151,57,517,392
5619,-8325,31292,-219,110,492,393
3991,-6344,29713,-262,137,432,394
2598,-4765,28977,-314,204,390,394
323,-4903,26202,-328,248,335,394
-1686,-4099,24535,-330,247,250,395
-2716,-4187,22329,-363,281,201,396
-4579,-4795,19210,-357,303,146,396
-6197,-5138,15886,-336,308,58,396
-4461,-5050,13709,-308,298,-17,396
-4412,-4236,11542,-301,310,-58,396
-3540,-4775,9502,-270,290,-116,395
-2628,-3716,7805,-220,248,-176,395
627,-3549,6609,-206,236,-202,395
402,-4373,4883,-167,240,-215,395
284,-3020,3893,-111,199,-260,395
2127,-3863,3216,-91,185,-286,395
2177,-4912,1314,-38,207,-299,392
1127,-3540,1186,22,176,-342,390
3265,-2608,1098,79,151,-393,391
5726,-1735,1637,135,166,-412,392
6550,117,2569,201,186,-428,393
8511,823,3618,281,171,-488,394
15229,4314,4932,377,116,-523,395
22956,6128,8668,422,133,-450,396
25800,5756,12650,490,224,-357,396
27997,9110,17886,572,144,-341,397
-30587,8502,23868,572,106,-269,397
-27998,5138,24761,572,85,-135,397
-25723,5305,28722,572,11,-3,396
-28831,-205,-30391,572,27,179,396
30968,-2726,-28135,556,6,302,396
31517,-1774,-27655,528,-95,411,397
26849,-1794,-22222,441,-8,572,397
16131,725,-22379,318,43,572,397
11493,2686,-22281,195,12,572,397
3039,-88,-26017,38,82,572,397
-970,-3667,-29184,-93,-23,572,397
2637,-3912,-31822,-217,-188,427,398
2628,-5030,29281,-353,-290,322,400
3932,-4971,25594,-420,-366,199,405
6334,-3285,21583,-464,-405,89,413
7864,-3589,16523,-541,-351,27,428
8786,-6531,13640,-421,-364,-2,432
8864,-7462,10002,-316,-345,-91,420
8619,-7246,6697,-225,-382,-192,429
11571,-7364,4726,-160,-461,-214,424
18024,-6423,6178,-191,-315,-167,420
16121,-5285,4069,-227,-102,-106,398
12944,-6168,323,-156,-83,-145,407
14631,-4020,2196,-163,-179,-192,397
20946,-4422,882,-166,-51,-169,403
11620,-5040,-2588,-111,-20,-191,406
16052,-4491,-1667,-48,-129,-261,402
17543,-529,215,-65,-107,-261,401
17808,117,-961,-134,-43,-258,404
16288,-735,-1382,-110,-24,-272,399
16425,4883,990,-117,83,-282,396
16386,9374,3216,-188,168,-262,390
16170,9521,2343,-201,211,-276,398
17622,9884,1510,-132,188,-266,399
21279,12159,1863,-80,20,-236,399
30605,10826,-1559,-62,-58,-175,399
28154,6972,-3716,5,-91,-24,395
23907,6030,1706,39,-64,93,395
15631,7011,3775,-42,46,92,395
13591,4471,1206,-84,-9,27,394
17494,3795,-1235,-49,-50,-21,394
19210,5011,725,-7,-82,2,388
19936,5197,2265,-69,-58,23,388
20652,2294,-1314,-56,48,38,385
