ax,ay,az,gx,gy,gz,flex
9404,19749,8678,-120,-248,-71,472
13473,22240,8845,-70,-75,43,476
11777,25418,9502,-38,75,142,480
12199,25878,9914,24,97,198,485
12493,28448,13199,39,132,311,489
16690,-31960,16356,-91,292,484,490
11493,-31253,14827,-174,394,572,485
11659,31301,16827,-108,285,572,466
14699,-32744,21279,-175,268,572,441
12218,30183,20563,-289,220,572,406
11326,22436,20789,-254,137,572,372
11904,27389,19700,-258,175,572,366
11002,23545,18896,-370,195,572,355
6501,18828,14729,-345,220,572,347
2500,17671,12993,-273,101,572,338
9855,16778,12816,-212,81,572,342
6658,15827,11336,-177,228,572,341
3255,11473,8355,-193,95,572,338
8413,10581,8266,-111,84,542,336
6560,8923,7393,-103,169,497,334
-3491,-1265,3226,-109,59,499,330
-6854,-8335,3285,-22,-157,513,328
-17259,-13140,5099,-8,-63,377,327
-3844,-10679,11728,-16,-11,130,330
-666,-10365,13915,-78,227,-71,335
5726,-11120,15327,-118,235,-137,337
9296,-12875,15582,-131,168,-76,339
5422,-16611,13346,-146,75,7,340
5785,-17406,16278,-85,98,26,342
4726,-17876,17582,-107,143,11,337
2137,-20691,14307,-97,144,32,344
853,-22809,14542,-11,60,66,346
1196,-21583,17347,18,41,72,347
-1235,-22534,15896,-30,78,58,347
-2363,-23231,15945,55,19,16,348
1333,-20387,18014,70,1,-9,349
1000,-20652,16151,39,-12,-28,350
1774,-18730,16553,69,-11,-62,350
5040,-13650,17465,16,6,-118,351
2235,-9286,17720,-82,106,-102,352
-3785,-6138,15415,-18,-13,-160,352
4883,1333,16494,119,85,-289,353
-313,15415,20965,8,209,-232,354
725,14150,21897,126,116,-266,354
-725,25604,26133,417,71,-430,354
17121,24133,-30224,127,49,-399,354
26516,7835,31233,-32,324,-199,353
6560,5187,21701,-52,151,18,353
686,5913,23054,-101,-84,69,353
666,1255,18661,-141,-1,45,355
-990,-1814,17494,-55,91,13,355
-98,235,20985,-62,44,0,356
3687,421,22907,-85,19,27,356
3804,-205,22534,-111,-17,69,356
2981,-549,20867,-125,-50,86,355
3069,-98,20034,-115,52,87,352
1059,1588,20240,-89,63,56,361
-2539,3520,21877,-138,-70,93,362
10110,2206,22152,-211,-148,91,363
4756,4187,20132,-188,71,121,366
-4736,2481,19141,-179,-88,89,365
9659,-1412,19132,-212,-211,102,367
7295,1451,17778,-202,-3,152,369
-774,353,18024,-129,-117,125,370
14013,1098,22123,-140,-196,181,377
7393,-3696,17465,-197,-148,220,378
7962,-5952,15905,-127,-221,192,379
13787,-11149,16190,-80,-156,265,380
-3334,-20720,12758,-133,-214,385,380
-21642,32136,4697,-191,-572,400,381
21977,17770,-8443,-361,-572,435,377
-19730,-24917,9090,-467,-572,84,383
14179,-29399,11865,-268,402,-351,384
-725,-22789,4863,157,572,-347,384
-8698,-13091,10590,279,220,-470,388
11718,-8600,13699,136,-151,-332,392
10365,-9973,9727,-9,-124,-267,394
5266,-11444,6413,4,-16,-320,398
6844,-10139,7139,75,-24,-381,401
5011,-7835,7462,114,99,-392,405
3020,-5942,7835,165,109,-449,408
3108,-4000,8266,239,82,-481,409
4393,1039,11669,288,20,-553,411
13307,2235,14003,300,25,-572,413
8757,2873,13336,336,208,-558,414
5413,6707,13679,298,102,-572,414
10865,8462,15190,406,79,-572,415
11542,15621,18838,468,87,-572,420
8345,18651,19210,249,-13,-525,424
19779,19141,22378,212,11,-538,429
11865,18220,19181,320,256,-476,431
862,21083,15101,315,30,-482,431
11414,25163,20024,253,-192,-535,433
14023,24496,20858,212,190,-477,436
657,25319,16827,250,224,-444,437
3363,29144,18553,308,-101,-508,437
12709,30311,20014,290,-50,-464,437
6178,27232,15278,264,-4,-357,437
7040,25761,15778,256,-142,-311,437
8178,23809,15719,176,-31,-205,436
853,20544,12189,88,-45,-139,436
1088,19583,10365,88,-205,-147,436
8011,19936,10865,94,-136,-103,435
4756,20907,10571,44,86,-20,434
29,20485,9492,-6,130,5,433
-382,19445,7786,-12,37,20,430
3039,18798,7580,30,75,77,430
