ax,ay,az,gx,gy,gz,flex
-970,20554,4667,28,-16,-66,423
990,22054,5864,31,8,-73,431
2196,21740,6315,7,45,-78,435
-303,22485,7648,-34,64,-76,438
2343,23250,8619,-71,64,-77,441
6707,25319,8355,-119,152,-48,446
7590,27104,5089,-117,206,54,451
12414,32341,9188,-62,189,171,458
6736,-30753,8953,-57,181,323,461
6903,-31616,8011,-38,-44,460,462
10071,-31106,9384,91,-107,555,463
11365,-30881,7256,184,-118,572,464
14464,-31459,6050,208,-167,572,464
14434,29536,5540,201,-172,572,464
12620,26447,7335,155,-183,572,462
11865,21721,6570,65,-178,572,462
14689,19269,4775,-55,-105,572,462
14601,18779,2588,-142,-14,572,463
12522,16327,2412,-175,-33,572,464
12914,14130,1078,-173,-3,558,465
10904,12512,-1725,-151,-65,449,464
14238,9933,-1196,-83,-168,423,460
15964,10688,2775,-29,-70,356,449
11767,10590,2324,-86,2,249,442
11218,4795,1882,-159,-8,224,422
5118,794,755,-38,-98,211,407
3559,3167,2010,57,-315,80,401
9531,4491,3530,-11,-307,-47,397
12787,2177,3481,-120,-107,-66,389
9816,3579,2108,-157,87,-89,387
7119,4540,-58,-183,92,-161,387
12591,6991,-686,-179,-16,-195,391
20034,5923,-6962,-178,-29,-156,393
27604,4187,-9070,-102,77,-77,401
22534,4138,-7413,-19,223,25,408
17896,4246,-4530,-27,264,57,412
16886,3628,-4000,-18,268,34,413
20554,3540,-5677,11,299,22,415
24202,3540,-6021,57,395,45,420
25447,4265,-3893,116,542,63,427
22191,5981,-1166,108,572,101,430
24486,6756,-2000,45,572,179,432
21466,5991,-519,107,572,271,432
17749,9580,2755,180,572,297,433
19240,11208,4471,144,572,370,434
17082,12169,7521,99,572,493,434
10247,11424,12052,163,534,537,434
10698,12002,15317,189,420,546,435
11669,14042,17710,115,453,572,435
3559,11169,18494,67,530,572,434
-5334,9531,21397,121,342,572,433
-1441,12091,26163,110,176,572,434
-5746,11444,26045,-3,318,572,433
-13925,7443,25839,-64,242,572,431
-16592,5619,25800,-41,87,572,430
-14837,5324,23966,-75,20,559,430
-14984,4481,23368,-116,69,514,428
-19495,941,22731,-79,63,439,424
-18681,558,21230,-42,-10,342,424
-15219,-1529,19632,-58,-37,279,421
-14611,-3343,18985,-40,-11,224,413
-18200,-4108,19887,30,19,58,416
-18641,-3814,21936,75,-38,-47,421
-13199,-2226,23554,26,-83,-64,422
-13670,-1412,24192,-30,-2,-141,420
-17543,-470,24084,-6,-49,-265,420
-15945,451,23603,-33,-92,-353,422
-15023,1706,24712,-98,-73,-424,422
-15160,1127,24388,-72,-73,-497,423
-13650,2441,23388,7,-149,-572,425
-10100,5893,23142,14,-244,-572,430
-3873,7639,24270,-94,-281,-572,433
-156,6697,22672,-198,-196,-572,433
-509,5815,19632,-165,-188,-572,433
607,7825,17916,-83,-267,-572,434
5903,9237,18230,-110,-342,-572,434
6903,9649,17602,-131,-390,-570,433
9070,10914,17043,-117,-439,-563,433
11983,11336,16523,-154,-422,-530,433
10581,11816,13679,-223,-400,-470,432
8355,11728,8747,-258,-572,-422,430
12395,12277,2706,-214,-572,-394,427
19289,12503,-2196,-190,-572,-346,428
27261,10590,-5570,-202,-572,-239,428
29340,8953,-7619,-175,-572,-131,426
29517,7678,-9835,-142,-387,-58,425
27143,4854,-8345,-70,-264,28,423
22162,4491,-6178,-13,-221,65,420
22662,4854,-5462,-32,-186,56,416
22672,2255,-3912,-40,-71,47,414
20828,1412,-3265,-8,-34,44,411
21377,1725,-1284,3,-42,34,406
20544,2765,-715,-13,-13,43,403
20985,1667,284,-70,-6,63,399
19779,402,-1363,-56,26,56,394
18730,843,-568,-12,17,26,393
20201,1421,1814,-39,-3,30,394
19691,147,1127,-86,15,51,387
18141,156,-539,-57,-17,8,385
