ax,ay,az,gx,gy,gz,flex
19671,2118,2235,-3,-14,-34,355
23103,1461,2471,-21,-54,-8,359
21064,2294,1274,-11,-65,-15,366
22966,2010,-107,47,-110,-57,379
27310,2029,-529,97,-131,-24,399
32331,3618,1323,50,-154,61,427
-30753,2735,519,-11,-31,172,444
31125,3138,-549,-38,-4,249,446
-31989,1951,-1078,-54,-78,305,446
-32352,1431,-2843,8,-42,406,437
28987,1510,-1882,90,-42,443,425
27546,2373,-1049,130,-53,466,419
21328,2255,1598,117,15,515,413
14130,1519,1186,90,-19,512,405
10394,2549,1049,91,-55,485,397
5383,186,1794,120,-35,476,390
519,-921,2118,159,15,418,387
-10051,-4903,3402,183,119,362,377
-29222,-16847,4569,121,76,247,368
-27232,-13709,6952,35,76,-30,374
-15141,-2333,6589,-46,97,-212,384
-784,6638,5315,-131,106,-248,389
9659,15317,4432,-191,139,-153,390
10532,17151,2814,-192,94,-81,390
7874,18818,3196,-180,-37,-123,387
11002,19504,5413,-247,-143,-215,379
10532,13728,1402,-199,-47,-377,370
7913,12905,-3167,-84,134,-572,364
18622,14150,-4579,-22,61,-572,359
-13298,12385,-500,44,-5,-572,360
29722,578,-5354,-19,109,-572,364
-12857,-21819,-11895,49,98,-572,363
-21761,27449,-12228,71,64,-169,362
15101,29890,-6756,100,20,203,370
6952,-14984,-2990,70,-141,459,381
-6777,-3265,-1510,56,-232,572,389
-15848,14229,-3039,50,-179,572,403
-29498,29360,-2186,42,-157,572,415
19416,24780,-1774,112,-213,572,417
6099,23201,-78,210,-139,572,417
-2206,20505,2461,110,56,572,418
-11846,11463,3138,61,87,572,418
-13777,5442,3108,118,16,495,418
-16719,4324,4569,89,35,301,419
-19249,127,4608,21,51,120,420
-20014,-1098,4138,-25,50,-68,421
-20838,-107,3167,-64,79,-276,422
-22142,4000,3334,-83,59,-458,423
-17572,9835,4354,-107,87,-572,424
-12787,16062,4932,-78,208,-572,424
-6982,24908,6864,-47,273,-572,426
3030,30517,13444,-138,260,-572,424
15474,-27998,7217,-193,-12,-572,412
-28341,-3747,4520,-199,-572,-572,424
9629,-24311,-28801,-517,463,-365,400
24417,1206,32067,-80,-106,-90,383
8256,-4138,-18936,119,-322,116,384
2451,-3844,-8668,141,-180,447,390
-9376,-647,-1931,193,-110,572,395
-15985,9737,5599,167,-123,572,403
-18662,19593,8335,32,-15,572,415
-28302,25682,8217,-114,150,572,428
29242,27801,8668,-265,101,572,437
29634,25476,8443,-367,189,572,442
17867,25810,9247,-455,356,572,448
8766,23211,9404,-563,317,572,455
6825,18141,8433,-572,253,572,459
3147,16592,4010,-572,242,572,462
-4697,12405,-1892,-572,151,572,463
-4010,8423,-8659,-524,25,563,463
-11110,4795,-17514,-505,7,537,461
-28487,8041,-29919,-460,41,528,458
26439,8511,25232,-304,167,397,456
-22505,-1235,29361,-76,178,132,455
-7089,-6462,-28556,-120,-32,28,457
-1019,-7276,-25741,-221,-172,147,458
-7766,-1912,-25084,-252,-198,260,458
-15798,2510,-23603,-235,-211,222,459
-18945,7139,-20465,-207,-193,115,463
-20799,10620,-21573,-207,-156,-22,466
-18435,9767,-23368,-152,-112,-127,472
-16651,10306,-22329,-28,-12,-190,479
-15984,12836,-23535,64,74,-308,488
-13581,13248,-24506,199,58,-442,497
-10669,10198,-25516,343,57,-495,503
-9041,9453,-23525,522,108,-489,515
-10051,8698,-21328,572,168,-515,506
-16504,10120,-21828,572,270,-572,512
-16219,11649,-20760,572,282,-572,535
-12424,22927,-6972,572,281,-572,538
-11816,-23712,10610,572,74,-572,542
8698,-21045,16768,572,11,-572,541
14278,-17780,24378,572,572,-572,545
-8041,-23055,-21781,572,572,-572,549
-4667,26114,29203,369,-156,-521,551
-24595,558,18024,367,-489,-342,543
17641,6697,29340,484,410,3,550
-9688,9178,-32754,424,191,-107,553
12983,5256,-23301,405,-83,-304,554
21613,5334,-19898,333,11,-233,554
20897,6383,-17191,159,-101,-130,548
28781,6884,-15995,11,-129,-70,547
22682,1117,-21320,-125,-28,3,537
20681,-294,-27429,-163,-137,34,520
18161,1372,-32195,-193,-160,53,502
15415,1922,27948,-244,-192,77,510
13925,-764,23496,-288,-116,103,489
10502,-1529,17769,-260,-146,99,494
9698,-1941,15170,-180,-129,86,488
7089,-1774,13768,-119,-102,38,484
8874,-2677,13542,-87,-117,4,487
11404,-3481,12914,-39,-88,0,484
9904,-2500,12767,-17,-65,15,482
9963,-1559,12581,-55,-121,24,482
13297,-3736,12326,-81,-52,44,476
9335,-5109,9267,-8,6,33,465
8874,-3294,11640,49,-66,-12,465
