ax,ay,az,gx,gy,gz,flex
17690,3236,3942,86,-220,5,435
17857,3569,2755,157,-319,18,454
18661,4324,2971,208,-453,64,463
17308,6746,725,202,-567,104,469
19367,6648,-2618,224,-572,105,475
21789,7560,-4834,294,-572,154,494
15690,4922,-7384,299,-572,174,499
18779,5344,-7237,333,-562,119,504
17063,8717,-9669,287,-423,117,508
13238,1235,-12424,283,-416,127,510
16415,539,-11855,314,-394,90,511
14376,2255,-12914,261,-249,82,512
7923,-1059,-15317,260,-273,63,512
10610,-7040,-15199,357,-333,-23,509
17572,-3363,-10149,305,-264,-47,510
7815,-6011,-14601,138,-65,27,512
3579,-10453,-18504,241,-322,-62,512
11924,-9639,-14278,339,-392,-132,499
16307,-12140,-6383,133,-55,-59,499
6432,-15425,-9894,60,-97,-104,496
10983,-17004,-12248,67,-215,-142,483
13954,-17847,-12561,112,-216,-158,468
17170,-14052,-13719,100,-175,-143,452
12032,-15856,-17582,93,-113,-100,435
13983,-15356,-15847,194,-203,-104,426
14993,-16092,-11748,99,-110,-40,423
12934,-17886,-12454,43,-47,22,416
10473,-16994,-11198,116,-79,31,416
12326,-16719,-6991,130,-57,38,417
9708,-15111,-3902,85,123,18,420
6511,-16896,-4746,39,200,-34,423
7109,-17945,-7158,37,151,-61,426
9786,-17847,-6246,30,55,-30,429
12208,-18171,-6099,18,57,-22,433
11542,-19857,-6531,-34,75,4,435
13120,-20328,-5658,-48,4,55,442
15582,-21887,-3951,-32,26,70,446
14660,-20720,-5903,6,117,13,447
14317,-22397,-7246,-14,164,26,449
12846,-21456,-6707,-40,148,71,455
12718,-20171,-7697,-71,126,41,454
11444,-18838,-6972,-132,106,20,455
9649,-19161,-7217,-200,75,94,456
10296,-15346,-6099,-237,-11,136,457
10502,-9423,-5520,-327,31,76,458
4981,-10375,-10836,-484,8,84,460
7384,-7511,-12493,-494,-182,88,466
11895,-2804,-14631,-480,-65,65,466
6138,598,-15670,-443,19,81,466
6776,3520,-13640,-484,-18,98,467
4295,3746,-12669,-523,45,91,467
411,7148,-11394,-490,-59,23,468
3304,11238,-13169,-502,-92,-35,468
9051,13748,-13199,-460,5,-40,469
8551,13670,-13826,-443,145,-24,470
7197,11806,-15376,-389,164,-28,471
7472,10983,-18730,-319,67,-50,470
11336,8207,-20318,-238,54,-22,470
9443,6648,-18828,-122,62,-4,470
10237,7992,-15954,-73,9,-6,470
8933,7903,-14611,-80,16,13,471
8453,7423,-15464,-77,-27,1,470
10865,8198,-16180,-64,-9,-10,470
9825,7727,-16258,-69,31,5,470
9570,7952,-16062,-50,-17,4,470
9688,8551,-15641,-63,-10,5,471
9698,8100,-15945,-75,-27,3,471
10443,8413,-15974,-70,-16,9,471
9953,8531,-15091,-85,-17,41,472
9669,8766,-15896,-86,-5,30,472
