ax,ay,az,gx,gy,gz,flex
5785,21436,8776,-62,-230,19,541
8345,21877,9531,-30,-262,12,540
12071,22829,10012,-32,-392,89,538
18583,26457,14925,-27,-480,224,537
23221,30713,16553,-61,-545,341,536
24927,31860,15199,-123,-528,442,530
28320,30762,12659,-206,-393,565,517
32125,30056,9982,-252,-270,572,493
-31479,29379,6413,-243,-228,572,467
-31783,26457,3432,-218,-240,572,438
-31263,23750,284,-250,-174,572,414
32292,21417,-2883,-246,-5,572,394
28036,21348,-5511,-247,152,572,378
21054,20465,-9414,-290,181,572,363
19357,18112,-10316,-287,149,572,354
17720,16356,-11542,-221,269,572,349
13405,16572,-11640,-213,407,572,345
7325,14503,-12316,-256,450,572,339
6197,10590,-9973,-272,476,572,337
1500,10522,-9610,-350,551,572,337
-7913,8355,-13267,-461,541,572,334
-15533,2530,-17082,-486,306,572,333
-15778,2530,-19563,-461,120,572,336
-20132,1696,-23446,-473,69,546,340
-25516,-2294,-28006,-450,-6,478,341
-31115,-3942,-30242,-405,-113,405,344
31528,-5462,-29566,-381,-203,290,348
32224,-11336,-30536,-356,-247,161,353
-30527,-13846,-31262,-318,-256,29,356
-30654,-11816,32224,-322,-335,-131,357
-27526,-5599,26694,-400,-461,-307,357
-18896,1569,23997,-474,-444,-456,358
-11679,6678,23595,-386,-239,-572,363
-8423,13326,28321,7,-35,-572,381
-15464,17543,-32527,534,95,-572,419
-29389,29360,31587,572,259,-572,471
-24339,-8434,-24859,572,22,-572,514
3432,-14377,23633,572,184,-572,554
14248,-14926,-30793,572,375,-572,545
-25664,-1942,-9719,572,572,-572,553
9874,23662,29752,286,-64,-500,563
24309,14081,20936,-82,-165,155,558
14023,10355,6589,81,21,423,554
8433,17572,-2853,228,157,367,550
-11649,17739,-5118,343,119,339,547
-5236,14787,5824,572,-24,209,553
-706,19710,8443,572,128,-24,540
-9678,17876,7197,572,97,-157,552
-9325,20769,3549,572,-221,-232,551
303,29360,7962,572,-342,-317,550
5717,-30999,12905,572,-257,-442,549
1274,-28802,10433,539,-288,-476,550
1225,-23703,5530,391,-482,-462,549
1961,-17887,990,201,-572,-480,548
6305,-13337,-4000,31,-572,-478,543
12257,-7091,-3098,-84,-572,-523,542
16974,-5855,-1235,-100,-572,-572,542
19347,-8326,2441,6,-572,-572,543
25388,-12769,6295,155,-572,-572,545
27183,-20025,8600,267,-559,-572,547
26516,-27007,7825,246,-258,-461,549
22917,32753,6766,150,-36,-346,551
18465,27114,6305,88,71,-282,552
16356,23241,6776,91,117,-237,553
16052,20867,7550,118,112,-198,554
14493,19612,7188,93,84,-183,555
14523,18710,6393,58,-1,-153,556
15091,17523,5570,11,-121,-101,557
16288,17121,3902,-37,-188,-29,557
17161,17347,2618,-65,-204,39,557
17239,17847,1608,-87,-174,119,557
16200,19092,823,-81,-138,191,557
14974,20622,460,-58,-97,245,557
13944,22476,480,-30,-53,289,557
12591,24329,362,2,-7,323,557
11610,26231,362,22,33,351,556
10384,27977,-58,40,72,366,556
9296,29674,0,54,115,381,556
8894,30644,196,52,156,407,555
8139,31301,137,49,194,421,555
7590,31164,19,49,223,432,555
7315,30733,166,42,246,458,555
5834,29056,313,34,258,492,554
