ax,ay,az,gx,gy,gz,flex
28183,19583,13748,-119,29,361,559
31350,17543,15847,-147,84,403,560
-32087,17984,17170,-193,118,468,552
31870,16455,16543,-259,79,511,545
29781,14680,15945,-301,25,513,530
31144,13022,14258,-324,118,572,512
29791,13169,11463,-414,188,572,438
25369,13003,8404,-512,241,572,432
19396,9482,5226,-563,277,572,388
19328,8933,3677,-567,308,572,394
17876,8894,1716,-572,382,572,388
13091,8502,-2549,-572,427,572,368
9355,4599,-3402,-564,382,572,373
10384,4285,-1912,-525,372,572,370
10326,4069,-804,-543,406,572,366
5697,970,-480,-547,427,572,368
5030,-1039,1215,-548,395,572,373
-921,1451,-2078,-572,416,572,371
-6256,3069,-9620,-572,311,507,368
-7756,3667,-18190,-572,219,405,367
-9610,5266,-25633,-572,152,317,362
-11914,4138,-31958,-553,20,267,360
-13434,2579,31450,-398,-35,276,359
-18975,-1716,-32341,-232,-47,253,366
-26457,-2451,-31292,-159,-65,139,365
-27948,-5717,-30174,-191,-111,3,368
-26320,-7511,-31468,-236,-178,-94,371
-25427,-2490,29890,-327,-207,-115,374
-27555,1500,17682,-445,-208,-165,373
-22613,-657,10219,-356,-170,-271,375
-23947,6531,9160,-122,-59,-385,380
-18494,10414,11768,135,-6,-572,394
-8894,9433,19849,534,87,-572,426
-13532,20711,30753,572,84,-572,482
1196,-15171,-18936,572,-306,-572,510
-30400,12424,30664,572,-179,-572,525
-21388,4618,-30126,572,572,-572,541
21652,-24164,-24605,572,572,-220,548
-3069,20367,-29626,572,572,-40,550
-5403,11698,27732,279,41,188,550
-7864,4363,19083,114,-244,333,534
-7648,2137,13434,158,-342,254,544
-9374,166,9178,207,-350,130,542
-6727,-4226,10120,326,-289,36,547
-2618,558,12650,449,-70,-52,542
-1402,7982,11238,493,2,-125,559
1196,8923,7374,469,-49,-126,559
6305,9718,10914,540,-14,-74,553
8364,15709,15641,572,123,-38,530
254,16180,12856,548,88,-28,558
-745,15248,13738,517,-155,-48,557
2098,19955,18416,572,-331,-97,544
1382,22907,18435,524,-516,-195,557
3912,23025,12110,383,-572,-286,557
13768,26418,13209,361,-572,-356,559
21122,32488,19906,397,-572,-455,559
13895,-30175,15935,288,-461,-522,559
12659,-28243,9620,124,-572,-518,543
20809,-24801,9306,74,-572,-546,556
23397,-23987,10218,93,-495,-572,557
23388,-28753,9149,97,-410,-528,556
29595,-31567,12463,178,-193,-442,551
24986,32135,13905,264,2,-343,558
17229,30487,15935,277,-26,-234,560
13209,28958,16102,183,-236,-172,561
13022,26673,13934,70,-408,-135,561
12758,24045,12454,-35,-497,-109,561
12826,21436,10747,-125,-524,-95,561
12826,19034,8766,-171,-515,-98,562
13150,17180,7443,-187,-470,-120,562
13189,15346,5687,-130,-409,-171,562
14297,16160,4814,-60,-303,-180,563
12895,16690,5775,-78,-142,-98,563
14562,17004,5874,-116,-30,-41,563
14454,16935,5471,-101,56,-19,563
13464,16955,4922,-36,92,14,563
14729,17916,6854,12,88,63,563
