ax,ay,az,gx,gy,gz,flex
27967,23829,32429,-448,-509,335,522
31017,24770,-30165,-561,-572,491,515
32508,23839,-29380,-572,-572,572,493
-32322,22005,-32107,-572,-572,572,464
-31567,16886,32763,-566,-572,572,435
-32215,17092,30321,-522,-572,572,407
31390,18073,28163,-512,-536,572,383
25123,17749,24574,-503,-572,572,365
18985,16817,21162,-519,-519,572,350
14395,16415,17867,-487,-451,572,338
10512,15464,14866,-502,-425,572,329
6727,13454,10963,-519,-322,572,324
3814,12179,5913,-513,-272,572,321
1078,8855,-156,-433,-277,572,316
-186,7688,-2549,-356,-294,572,313
892,6344,-4599,-301,-242,572,310
-2294,5726,-7541,-273,-139,572,307
-7197,4510,-10404,-264,-130,572,304
-11826,2549,-14415,-241,-147,470,303
-16396,1372,-18200,-198,-138,407,301
-25123,2020,-22221,-204,-22,425,299
30263,-3353,-28850,-188,126,268,299
-29575,-5285,-27546,-132,-130,-158,304
-11149,-3236,-27408,-205,-352,-304,310
-9855,-4265,-31419,-304,-129,-74,314
-22319,-2461,29753,-344,-77,-64,321
-26202,-833,25419,-277,-101,-212,335
-25300,-88,23242,-87,-24,-345,349
-26800,4628,24340,199,122,-513,376
-25339,8384,29832,572,108,-572,416
-18298,18328,-24859,572,80,-572,467
-8982,24260,-16611,572,126,-572,496
-5746,28712,-12659,572,210,-572,508
-2726,-28782,-3432,572,316,-572,519
-4844,-21643,3657,572,342,-572,525
-5913,-19525,6481,572,175,-572,538
-1274,-16152,16543,572,202,-572,542
1137,-25909,26673,572,57,-572,546
7658,29222,-17878,572,-186,-572,553
21936,15503,-20771,214,572,-92,558
25496,13473,-15053,-68,-51,165,557
21240,7393,-21339,-105,-65,41,557
22338,4138,-26488,3,-149,-55,558
26516,6481,-28370,-11,-276,35,557
28889,6707,31341,-194,-146,189,555
20475,5864,24712,-332,-36,302,552
12208,5638,17229,-410,-101,362,549
10071,6629,11934,-445,-261,385,545
9894,5099,8149,-448,-289,409,543
7452,2412,4432,-420,-143,445,540
4854,774,2726,-350,-17,421,537
2539,1088,2265,-264,61,363,534
3265,-2588,313,-204,42,285,531
2912,-2461,460,-113,82,208,529
4765,-29,1186,7,73,119,528
4716,-5844,-1137,59,64,56,528
5981,-6178,9,129,106,3,527
4971,-4471,2069,201,163,-81,526
3265,-7580,2451,263,186,-198,524
2912,-8560,6609,407,224,-312,522
1892,-1166,15199,494,197,-477,521
5864,313,18357,418,62,-572,521
19534,-245,23623,487,28,-572,521
24682,3353,30605,492,93,-572,521
24162,3491,30419,364,203,-572,521
22868,2559,29556,364,277,-568,521
20995,6217,30154,331,202,-545,521
20583,6972,28173,193,168,-459,521
