ax,ay,az,gx,gy,gz,flex
19377,21279,30948,-366,-544,262,528
24790,27202,-30832,-506,-572,388,521
28634,27467,-31440,-572,-572,548,509
26271,26016,-31332,-572,-572,572,491
27712,25398,31860,-570,-572,572,466
31713,23760,29085,-521,-572,572,429
30487,23839,26153,-469,-572,572,416
28516,24878,25006,-447,-572,572,393
23976,24672,21211,-494,-493,572,372
17504,22613,17455,-469,-403,572,357
12336,21005,14925,-457,-365,572,346
10071,19328,12081,-494,-314,572,337
6854,16759,8021,-532,-228,572,331
3226,13650,3363,-528,-182,572,329
-970,11620,-3991,-499,-161,572,326
-1931,8413,-7727,-401,-162,572,324
-4432,7609,-10836,-329,-89,572,322
-6403,5756,-13532,-300,-64,572,320
-8070,2020,-16003,-247,-36,572,318
-11277,1176,-17808,-189,-6,562,316
-16700,9,-19632,-181,18,524,314
-23809,-657,-21828,-196,112,503,314
-29291,-3922,-26320,-146,123,279,315
-23682,-4922,-25692,-70,-195,-93,319
-6413,-4167,-24849,-101,-346,-207,322
-7276,-5158,-28516,-211,-144,2,324
-21064,-5883,-32419,-288,-170,14,326
-26496,-2785,29106,-328,-346,-143,330
-25418,1245,23840,-341,-363,-227,337
-28869,3304,18692,-262,-183,-313,351
-32468,7305,17015,-34,15,-570,380
-30350,14738,20172,421,70,-572,427
-21005,23898,30489,572,38,-572,478
-9306,-26488,-21740,572,36,-572,498
-8619,-11700,-7629,572,154,-572,523
-5677,5177,9737,572,237,-572,537
421,8139,13719,572,27,-572,542
18847,-2570,31537,572,349,-572,549
24927,-28714,-12661,572,448,-572,556
4118,16180,-14161,269,149,-378,563
13934,1461,-22232,28,-213,219,561
27742,1353,-23899,-8,-123,262,559
16974,-1657,-30253,-26,37,74,559
11012,-2412,29213,-96,-99,27,557
17847,-411,23996,-151,-185,81,555
16788,2108,16670,-215,-125,148,553
9512,2392,11071,-265,-125,211,551
5677,2147,7335,-271,-214,220,549
4324,804,3422,-232,-257,188,547
4599,-578,1823,-164,-187,155,546
2677,-156,1784,-94,-61,111,545
657,-1490,1029,-35,-35,16,545
1186,-4050,-1000,0,-45,-96,544
4363,-2265,921,68,10,-201,542
6884,-1902,1961,124,144,-288,542
6511,-961,4148,161,196,-395,541
9002,3912,7325,187,96,-516,540
16435,5972,10443,197,-31,-572,539
23907,6658,14258,236,138,-572,539
24594,12826,20946,305,250,-572,538
28379,13571,25133,254,167,-572,538
30527,11914,25869,206,162,-553,538
29468,13218,27673,184,225,-487,538
26702,13993,27389,140,214,-458,538
25241,14081,25427,121,117,-454,538
24309,14513,21907,104,114,-410,538
20946,14483,19946,95,140,-341,538
19593,12934,19396,97,161,-299,538
