ax,ay,az,gx,gy,gz,flex
-31763,31566,22025,-88,-47,379,535
26810,-23869,23986,-239,-189,465,522
-31361,-19908,24662,-289,-26,572,507
-30881,-15053,24741,-384,31,572,475
-31940,-9621,23290,-468,49,572,436
31399,-5335,21956,-572,108,572,397
24251,-6169,19416,-572,113,572,351
22083,-9130,16974,-572,1,572,315
21897,-13131,13650,-572,-88,572,284
24408,-15828,11316,-572,-98,572,262
26849,-18996,7315,-572,8,572,244
24966,-18554,6717,-514,113,572,247
20652,-22889,4246,-497,115,572,248
15798,-27027,3569,-457,198,572,252
8198,-32636,-637,-375,319,572,256
2059,31654,-2559,-333,352,572,259
-1578,28163,-6089,-395,327,572,262
-2304,22368,-12679,-438,358,572,264
-6383,18024,-20456,-400,453,572,266
-16209,17955,-25398,-436,516,572,268
29184,13925,32499,-439,422,572,268
17819,15258,27988,-313,551,457,270
24909,9139,27821,-171,572,52,271
-2098,-1186,-30831,-92,362,-138,272
7874,-10698,-31919,-96,205,-56,272
-7344,-8678,31646,-159,94,34,273
-26849,1323,30479,-351,8,62,276
-29703,-647,23909,-455,-68,-131,278
-18014,-3461,21025,-443,-113,-276,281
-11257,-4167,19653,-424,-183,-323,284
-10120,-813,19623,-421,-252,-326,293
-18445,5628,17240,-439,-240,-277,305
-30958,10875,6855,-316,-252,-343,318
27655,18563,-3530,84,-163,-572,353
30557,28261,-372,572,-121,-572,412
32322,-28076,-4245,572,0,-572,524
-16719,32086,31832,572,-159,-572,599
-30595,-7179,-21593,572,78,-572,610
-16387,-16201,-2099,572,536,-572,611
7707,26427,-20741,572,572,-572,613
-117,30762,30997,-572,125,-572,601
24878,-22270,-15003,-295,-572,354,610
8923,6462,23064,350,-354,464,608
-15072,5266,30507,109,-60,211,606
-4863,-4932,19955,-77,214,61,602
-2304,-8511,13366,46,284,66,599
568,-2647,16906,180,136,97,597
1372,3971,20387,213,23,119,593
1127,7590,18161,135,-49,144,589
2785,8109,12630,66,-121,174,584
3961,6501,11875,82,-89,230,580
2127,7884,11345,105,-46,234,575
-911,9453,8149,75,-156,197,572
-284,6030,7874,95,-328,192,570
1186,5589,7178,206,-418,189,568
1176,5981,8227,242,-556,163,567
5942,4550,10473,275,-572,115,566
7011,5864,9159,246,-572,20,566
8649,6864,12699,287,-506,-159,564
8080,10600,16307,327,-439,-358,564
8129,16170,13670,226,-487,-479,561
13797,20093,6256,29,-545,-537,556
17151,22005,4197,3,-395,-572,550
