ax,ay,az,gx,gy,gz,flex
19102,21319,29997,52,0,216,535
17288,28310,-30155,-40,41,328,530
17916,32292,-25948,-149,-30,421,504
29644,-29233,-18917,-276,-200,507,506
20946,-25340,-17495,-411,-143,572,489
14738,-28763,-20849,-552,-188,572,477
11797,-29194,-22712,-572,-156,572,452
8384,-29214,-26762,-572,-101,572,431
8502,-29263,31929,-572,-78,572,417
8364,-28635,22113,-572,51,572,399
10571,-30253,14081,-572,110,572,372
13993,-32303,5736,-572,191,572,342
14709,28095,460,-572,168,550,316
17798,25065,-676,-572,156,572,292
22221,24957,-774,-572,252,572,267
17121,23309,-4883,-572,344,572,252
14552,21662,-7737,-572,256,572,246
15758,18916,-11640,-572,308,572,243
5403,16190,-19455,-572,351,572,245
-402,12542,-22378,-491,268,502,252
-1794,9414,-25614,-399,222,412,257
-3461,4000,-31419,-317,248,375,259
-9933,-68,27645,-219,230,291,260
-13532,-1402,24311,-163,117,189,261
-16121,-4040,21398,-177,53,150,263
-19877,-8551,18123,-155,14,75,267
-19710,-8923,19790,-87,-44,-25,269
-11924,-8580,24909,-106,-152,-119,272
-3343,-8845,28292,-184,-242,-156,275
-1559,-10326,27282,-226,-296,-168,276
-2324,-8404,27311,-200,-337,-179,273
-5295,-3236,27262,-180,-349,-238,276
-6658,1510,28351,-172,-379,-298,282
-7217,5707,28468,-152,-384,-354,294
-12718,10796,24997,-61,-324,-415,298
-14513,12846,19417,235,-291,-546,330
-21838,19053,10886,572,-56,-572,390
-19034,-26439,18329,572,-32,-572,514
-3971,9806,30646,572,-16,-572,558
-9149,28487,-10630,572,572,-572,609
-10022,-20045,3951,572,251,-572,603
-17514,18837,-4923,572,531,-572,615
1667,-23183,-16152,409,-185,-572,615
-26625,24574,-17731,8,48,-164,614
13287,15778,-15279,-129,201,189,613
2824,14366,-23497,-368,-14,357,611
-196,5805,30929,-492,160,282,609
-2834,58,24123,-409,196,160,607
-215,-4304,24927,-252,2,99,588
2951,-5658,24525,-163,-123,109,599
2941,-5707,23849,-137,-103,90,599
3589,-6756,22309,-158,-110,27,599
4050,-8963,19857,-99,-168,-3,599
7668,-8825,20711,-73,-160,15,598
7001,-8080,20004,-78,-35,56,598
6070,-8149,20760,-121,35,69,597
5677,-9041,20701,-188,13,104,595
