ax,ay,az,gx,gy,gz,flex
1990,17720,11218,-70,-144,-59,512
1068,17622,10453,-41,-166,-74,510
1569,15719,10178,-44,-229,-92,497
1480,15601,11375,-39,-80,-32,472
3216,16288,11993,-88,-42,-19,434
2324,16366,11836,-150,5,-25,391
2775,16151,13169,-202,15,-40,357
2029,14503,13925,-216,-15,-67,333
5118,13101,14209,-195,-65,-98,316
9257,13062,15474,-174,-68,-110,309
13052,13709,17092,-136,-48,-101,306
17435,13395,20485,-136,-31,-78,306
16356,14101,22682,-138,-96,-28,305
24878,15072,24260,-135,-222,21,306
31831,15837,25869,-142,-191,118,308
-29008,18308,28026,-127,-250,281,310
-26674,22946,-31881,-144,-263,470,313
-31067,26604,-26713,-136,-286,572,315
-32038,-30224,-18672,-172,-342,572,316
-31057,-24821,-14965,-295,-320,572,317
30840,-21457,-14602,-427,-216,572,318
20014,-22251,-17005,-524,-193,572,318
14268,-25203,-19133,-572,-268,572,318
11267,-28714,-24016,-572,-253,572,320
7197,31723,-31783,-572,-242,572,321
5550,27163,27712,-572,-233,572,322
3922,25408,24241,-572,-197,572,324
3098,22574,20210,-572,-176,572,326
-215,19906,14640,-572,-179,572,327
-245,19495,11198,-572,-197,572,328
-2196,19004,8207,-572,-202,572,329
-4344,14758,2608,-572,-186,572,330
-6550,13777,-1059,-572,-210,572,330
-8355,16386,-4481,-572,-235,545,330
-10061,15856,-11051,-572,-224,544,330
-15494,16141,-18190,-572,-213,530,328
-23201,21750,-22554,-572,-166,439,327
-29595,22917,-28487,-572,-91,367,327
-31399,18720,30753,-357,0,251,327
-22878,19583,-25898,-131,79,59,328
-9276,14827,-20730,-131,82,-43,330
-6383,14376,-22662,-149,68,-66,331
-11394,19504,-26516,-111,28,-147,331
-17484,24349,-28173,-51,43,-231,331
-22995,26320,-30703,40,112,-295,331
-28448,31076,32146,184,202,-417,331
-32684,-25311,29734,348,307,-517,331
27586,-17181,28537,572,479,-566,332
28802,-14112,-28320,572,572,-572,336
-14915,-24634,-9610,572,572,-572,361
3000,-3796,31213,572,572,-572,400
9149,-19349,18886,572,530,-572,491
1667,20563,-23193,572,373,-572,528
-22555,12797,-19633,260,-572,-572,546
-10248,-7413,27820,255,-244,-310,554
22760,2373,27349,16,427,290,545
10473,235,28526,-275,360,296,540
3569,-6923,16817,-285,135,201,518
4138,-7805,13699,3,-35,90,509
6148,-3118,13375,169,22,38,521
2765,1235,10414,156,142,73,524
-2069,2618,7031,107,166,93,519
-5570,3177,4520,127,117,38,514
-9208,3638,1461,146,106,-54,510
-7452,6364,882,192,258,-132,505
-5442,7237,3138,325,373,-155,503
-4442,11895,9776,433,269,-207,502
1971,15111,18190,460,137,-240,503
7943,17857,24035,555,152,-281,508
10296,22113,30174,572,258,-274,509
