ax,ay,az,gx,gy,gz,flex
3667,17671,9855,54,-27,-25,505
3451,19563,11551,49,-43,-19,507
4991,19730,11296,22,-59,0,507
4010,19642,10590,6,-28,30,508
4834,19387,9541,-5,-11,43,507
4285,19485,9355,-9,9,48,507
6403,18838,10296,-17,49,79,506
9776,18945,13189,-49,128,131,502
10943,21564,15474,-113,240,210,494
10345,23760,17788,-245,239,282,482
9982,21730,20299,-353,125,364,471
10384,19083,24653,-383,-66,403,460
13346,17700,30095,-460,-178,398,435
17337,16425,30223,-530,-215,409,423
25163,15013,-32528,-549,-254,426,404
31762,17876,-26831,-572,-234,523,375
29948,21230,-26350,-572,-257,572,349
30282,20760,-26115,-572,-314,572,325
28055,19357,-26429,-572,-280,572,308
24810,20956,-29655,-572,-290,572,300
22172,20397,31900,-572,-316,572,303
20956,17239,26712,-572,-303,572,292
18828,16651,22780,-567,-241,572,292
15650,15268,18122,-568,-190,572,294
11944,13758,14434,-553,-194,572,282
12081,12385,12591,-572,-234,572,289
11149,9463,8825,-572,-181,572,298
6903,11179,6364,-572,-90,572,292
833,11679,2785,-572,-54,572,288
-4108,9433,-2206,-572,-94,572,298
-6589,11287,-3500,-568,-136,572,298
-7580,13267,-4991,-572,-100,572,291
-10512,12973,-10002,-562,-18,572,298
-14974,15033,-13473,-514,29,572,296
-21005,16219,-17690,-465,87,554,290
-26143,18828,-21005,-418,94,431,291
-25869,19681,-23643,-363,97,297,304
-24319,19132,-25369,-262,158,176,303
-23800,19141,-24584,-160,130,-14,304
-18230,19230,-21613,-143,83,-160,307
-16788,18553,-22603,-178,125,-177,310
-21201,19377,-26918,-153,192,-227,310
-22074,23378,-27359,-112,198,-378,304
-18416,26104,-26977,-91,248,-488,314
-17886,28801,-30988,-13,367,-511,316
-20063,32743,31646,225,498,-557,319
-21132,-30822,32656,572,572,-572,327
-15170,30164,-25251,572,572,-572,353
-1500,-23536,-1696,572,572,-572,412
5707,-1295,13522,572,572,-572,478
-1961,-32489,22809,572,572,-572,536
19,29144,3647,572,572,-572,550
-17004,-2305,-4198,572,572,-572,565
32478,28193,-25311,-240,-439,-572,566
-20437,-11110,-30724,-160,-254,-17,561
24015,3755,-25693,278,102,329,556
4520,9874,-28400,42,125,216,552
6589,2883,31596,-155,112,-2,546
10551,-3451,27045,-44,200,-15,541
9767,-3559,27045,124,158,-28,541
9080,156,28055,133,72,-27,540
8560,3128,25045,-17,-23,8,538
10296,980,18180,-134,-94,51,530
11404,-2059,13807,-97,-96,49,521
12473,-1735,13591,-6,0,24,514
10796,686,14729,-9,195,43,513
