ax,ay,az,gx,gy,gz,flex
2412,19906,5158,39,40,-142,355
5226,19710,4893,136,65,-150,365
6648,21652,6315,155,89,-98,378
5452,22103,9139,115,51,-51,398
5766,21593,9051,65,0,-31,416
12885,21034,8708,26,-88,47,421
12738,23152,8335,-64,-31,188,428
10316,21466,7237,-49,-139,279,436
13434,24221,10365,-102,-320,368,424
14680,24721,5471,-86,-471,394,411
22750,24054,4952,-9,-482,484,390
24898,31458,3922,-6,-481,572,365
24476,31684,2628,-10,-499,572,341
25574,32439,2392,1,-531,572,318
25280,30487,-480,76,-480,572,310
26947,29830,362,164,-385,572,307
24839,24104,843,146,-173,572,306
22554,21524,-1206,218,-114,572,305
23348,20299,1569,232,-115,572,305
20563,13797,1608,216,77,572,306
16111,13640,2108,170,83,572,306
16749,7599,1196,140,-2,572,306
15415,4962,2324,131,-1,572,306
12875,1892,1971,76,-6,572,305
8708,-1843,764,76,-46,572,304
8570,-3030,961,51,-74,572,305
7982,-5756,137,34,-77,572,304
7403,-7913,274,42,-128,572,303
8168,-8443,1284,2,-123,572,302
686,-6893,1716,-41,-77,572,302
-9394,-6746,1412,-75,-107,572,301
-20426,-7492,1784,-85,-98,482,300
-26084,-9776,1667,-69,0,302,301
-16533,-14493,676,-34,78,150,302
-3608,-20220,961,-22,125,124,304
147,-24721,88,-68,95,182,305
-2127,-26143,-2196,-112,92,256,307
-4363,-23868,-3226,-172,117,361,310
-8972,-22534,-7050,-189,96,397,312
-7207,-19877,-7923,-180,104,434,314
-2471,-13964,-4403,-237,167,538,319
-10855,-11012,-6736,-425,364,572,330
-20887,-9267,-14415,-458,250,572,342
-18249,-3314,-14356,-418,170,498,361
-22358,2579,-21779,-396,266,431,381
-24927,186,-27801,-207,155,223,408
-19828,3981,-22603,-11,23,67,433
-15690,6197,-23927,0,72,2,465
-16562,3216,-25702,209,99,-118,502
-16562,4285,-20112,383,121,-229,519
-20161,7393,-21269,424,134,-326,532
-14925,7756,-16817,502,129,-395,538
-14699,4559,-14621,543,188,-424,545
-15268,4020,-14042,572,135,-485,549
-13993,10335,-13503,572,214,-536,551
-13003,7217,-10277,572,220,-572,554
-8531,9168,-5707,572,181,-572,557
-7717,15984,-3873,572,165,-572,557
-215,26565,862,572,263,-572,547
12503,22946,19779,572,572,-572,552
-1363,21171,29428,572,572,-455,553
-8570,19475,21789,428,215,-443,545
10355,1108,15886,277,-413,-497,529
27761,-804,15190,499,-308,-349,524
12503,6884,23358,554,403,-220,524
-951,4138,27859,557,310,-369,530
15484,6276,-26537,572,79,-429,536
23966,5903,-18907,417,66,-231,539
24270,4059,-14190,266,48,-142,540
20750,3412,-16211,158,77,-126,542
22034,2226,-18289,70,-30,-84,543
22603,3569,-22516,-35,-41,-17,544
18298,3108,-29410,-127,-32,37,545
15827,2069,29791,-160,-25,62,545
10826,1774,24094,-180,-19,83,546
10090,1549,20524,-173,-37,81,548
9208,902,17759,-167,-25,82,550
7472,-333,16102,-152,-7,82,551
6638,-794,14768,-129,-26,67,551
7109,-1010,15160,-125,-38,63,551
6805,-2098,15111,-130,-66,71,550
6942,-2206,15386,-129,-69,73,548
6070,-2353,14925,-150,-127,82,544
4491,-3579,13336,-158,-285,70,531
8913,-1657,11728,-134,-385,70,520
6354,-1206,11895,-134,-321,86,508
4775,735,10149,-147,-432,59,489
5609,3981,5844,-103,-549,47,477
8600,6295,2932,-19,-538,69,464
10414,6442,3187,-10,-253,112,448
2137,6011,3726,71,-21,61,440
-4785,7766,2157,86,-28,-97,430
-3559,6756,-147,64,-161,-227,418
117,6158,1353,130,-107,-372,408
402,8894,2235,195,22,-572,391
3314,11600,6266,271,90,-572,373
8119,24790,10806,279,22,-572,368
20044,32076,14062,250,-85,-572,358
31066,-30783,20671,316,164,-572,355
25594,-20643,26928,300,384,-572,357
22456,-18770,24878,185,273,-572,354
26369,-20937,18534,239,34,-572,355
32027,-25046,15582,364,-28,-572,359
31174,-28419,21152,300,139,-535,364
19308,32007,22034,-14,227,-319,363
13983,22348,14876,-155,153,-252,351
12856,18632,10600,-35,74,-244,348
14640,21475,11267,37,-31,-193,348
14817,22211,11434,0,-75,-128,344
12522,22338,8207,-56,-49,-38,340
9423,20583,6344,-75,-57,25,335
6766,19828,6678,-41,-44,55,332
3834,20495,7678,-26,-29,91,329
