ax,ay,az,gx,gy,gz,flex
21956,-2167,2902,-91,-26,0,376
20838,68,1696,-20,54,5,389
22623,-1441,4089,33,40,-38,395
25918,-2863,3795,60,121,-23,398
27310,-1333,3657,116,75,13,399
-31989,0,7129,162,88,98,399
32351,774,12022,128,234,183,397
31635,19,13287,17,288,245,395
-32391,1676,16200,-95,285,372,389
30674,2902,17592,-297,331,535,379
28948,-1206,15297,-341,376,572,368
24927,2020,17671,-339,384,572,357
22613,3687,20505,-458,383,572,351
13856,2559,15994,-520,370,572,346
9051,1392,13983,-533,209,572,341
9433,-941,11218,-505,160,572,337
3902,-3981,6403,-474,130,572,332
2510,-3569,5599,-439,72,566,327
-19,-5491,3294,-397,35,528,324
-176,-6727,1166,-371,41,489,322
-2530,-5216,-29,-413,50,480,318
-3912,-5991,-3285,-397,33,411,318
-3804,-3079,-5354,-389,33,378,318
-3706,-1519,-7894,-399,13,359,320
-3696,-1304,-12395,-385,41,328,318
-3451,-49,-16896,-372,31,306,317
-5668,49,-22662,-381,34,289,316
-9943,-1265,-29654,-362,-34,249,315
-20220,-1804,-30860,-319,-124,270,314
18495,1941,32597,-369,26,317,313
12641,-1255,31361,-237,155,40,321
-20299,-5148,-22074,-186,206,-149,328
-1019,-8806,-22309,-264,102,-33,332
-4795,-5687,-24574,-313,20,95,337
-14533,-715,-25565,-338,5,136,345
-22123,3343,-25977,-320,-24,93,354
-24280,5795,-25751,-275,28,47,365
-22829,8580,-27026,-178,78,-70,379
-19406,10198,-25349,-82,67,-198,397
-13013,9963,-24300,27,93,-255,426
-10316,8796,-27281,210,142,-291,461
-7962,8511,-24898,429,135,-381,480
-4883,5050,-29291,572,121,-444,500
-3696,4599,-15611,572,11,-490,517
-39,4824,-6707,572,39,-485,554
-3559,2647,-7197,572,73,-415,550
3392,8963,3098,572,-27,-437,545
-8109,5236,-5216,572,45,-425,556
117,10404,372,572,-53,-481,568
-1284,12963,4805,572,168,-451,569
-1990,15395,8051,572,152,-463,581
804,18396,13022,572,95,-506,580
2539,19426,17926,572,156,-491,575
402,14866,15621,572,41,-437,573
8629,13120,16151,572,-70,-441,572
8511,18073,25643,572,69,-360,574
8374,13660,27663,567,24,-272,564
8982,14582,-31077,572,44,-285,584
11032,18739,-21486,547,-62,-276,584
19181,15631,-14681,282,-111,-124,572
21848,15033,-12543,147,-115,-45,547
19926,15866,-16152,-50,-289,10,560
28605,10581,-17897,-221,-175,120,533
16974,6491,-28822,-300,-70,167,527
14130,4226,32390,-331,-282,176,503
14013,3373,25927,-313,-352,137,500
16131,2284,20142,-265,-329,127,486
14621,2431,18583,-270,-232,173,453
10659,2108,15798,-318,-218,169,448
8256,-353,11924,-296,-291,108,411
9139,-2206,9688,-225,-377,53,405
10718,-1843,10943,-211,-411,12,393
14395,-1912,10080,-240,-372,3,377
14317,-4520,8178,-222,-208,15,369
12101,-4805,6727,-158,-164,-13,350
13238,-3873,8158,-125,-210,-49,360
15474,-3834,7805,-145,-182,-57,357
16229,-4952,5520,-139,-150,-47,350
16719,-5354,4844,-95,-145,-59,348
18033,-4550,6452,-84,-111,-64,348
16955,-4246,5187,-87,-85,-69,347
17219,-4030,3824,-78,-142,-83,345
20132,-4471,4197,-57,-163,-96,347
21309,-4010,4540,-68,-94,-58,346
19848,-4069,3255,-61,-35,-36,344
