ax,ay,az,gx,gy,gz,flex
6864,21495,11512,-46,-37,-181,515
3098,21976,11610,-70,-45,-222,515
-813,20720,10934,-68,-180,-288,512
-402,21495,9992,-81,-311,-373,505
-2235,21436,9718,-72,-306,-459,498
-362,22682,10198,-61,-202,-561,490
313,25172,9080,-89,-126,-572,482
3422,29860,6687,-128,-165,-572,472
11708,-30479,5599,-189,-263,-572,460
28722,-32568,5442,-174,-230,-572,444
-24409,30419,4010,-51,-23,-572,431
-24105,-30881,1549,-83,82,-342,417
-16367,29889,2471,-54,83,-117,410
-15691,-29400,6580,56,108,148,415
-22143,-20771,14493,87,57,490,415
32155,-14357,21387,73,30,572,414
20426,-4708,26938,14,89,572,419
11159,6540,31919,-80,68,572,427
3471,9208,-32528,-215,-43,572,429
-2304,4961,-31597,-298,-95,572,429
-7089,-1481,-29194,-336,-92,572,430
-10198,-6130,-29596,-487,13,572,431
-19367,-13651,28771,-572,136,572,430
-26094,-21937,20436,-572,130,572,429
-28565,-30391,12748,-572,59,572,430
30596,26702,8119,-572,-37,348,430
-32468,19926,2284,-572,-154,82,433
-23270,20269,-2853,-572,74,-42,435
-25153,18357,-10816,-572,396,-146,433
-23800,18328,-16641,-572,572,-338,430
-23407,20956,-18916,-572,572,-572,432
-19318,28340,-15945,-362,572,-572,433
-20779,-24742,-14042,-68,572,-572,432
-22397,4942,-10728,172,358,-572,436
17798,-17976,-16925,205,176,-572,446
-18554,-25733,-23486,161,572,-572,438
3294,26349,-15798,423,572,-504,426
-1217,5471,-8668,572,572,-33,424
-2217,9747,4452,572,311,323,429
12257,15101,21515,572,531,572,440
-1462,-30018,-27841,572,572,572,452
19926,-26154,-14867,572,572,572,455
-4579,20004,-16926,146,572,572,447
-4206,-756,-25733,-76,289,572,440
-931,-10366,32478,-144,346,572,436
-5315,-15357,25114,-281,572,572,433
-12444,-18270,19985,-441,572,572,435
-20779,-25438,12905,-572,572,572,434
-26869,28144,5766,-572,471,393,430
-25722,20769,3118,-572,157,134,427
-19642,17720,578,-572,-27,-78,427
-13797,12326,196,-540,12,-191,426
-13542,11316,-39,-522,203,-284,426
-14189,12140,-1716,-567,383,-417,430
-12748,14130,-4108,-572,485,-572,435
-10355,14660,-5315,-496,519,-572,436
-10375,20357,-5226,-325,552,-572,437
-10384,-32479,-2902,-191,572,-572,440
-6158,-19721,-2549,-84,567,-572,443
-6933,-1903,-2971,114,415,-572,444
5167,32331,1323,313,137,-572,451
-7728,30860,10718,309,484,-572,454
16749,9639,2118,378,572,-505,451
31419,-6757,-8717,17,572,-73,415
-2746,-15024,-13915,186,324,116,409
8413,431,-7256,572,572,442,428
-2325,32360,14964,572,572,572,440
-25497,-20378,26379,572,572,572,444
23839,-19486,29948,456,572,572,447
12248,-27174,25712,45,572,572,454
2461,23790,19877,-141,426,572,471
-2363,8423,14650,-71,69,572,494
-2029,-5943,10463,84,-180,572,513
-1922,-18966,7472,207,-287,572,511
-529,-30283,8757,241,-256,572,530
-4118,28232,6736,165,-129,572,535
-8874,23221,6040,84,-27,572,537
-12375,16837,4962,-12,-24,491,529
-11953,10100,3118,-50,-35,386,538
-8639,5883,2706,-27,-29,322,542
-6913,4079,2696,-12,47,262,544
-7590,2402,2314,-17,72,184,545
-7805,372,2431,0,4,103,547
-5256,-1049,2814,24,-61,23,549
-3442,-1117,3579,36,-69,-44,549
-2118,-1412,4089,29,-12,-110,549
-3039,147,3608,29,50,-193,549
-1814,2324,3608,43,12,-287,549
764,3392,3383,44,-53,-357,549
3775,4177,3304,30,-49,-432,548
6785,7560,4167,51,20,-518,548
9727,14199,3275,57,60,-572,548
14944,18779,5167,57,35,-572,548
18445,20573,7217,43,101,-572,548
18435,26231,6972,58,158,-572,548
20387,30978,9267,104,111,-572,533
22025,32488,14856,153,109,-572,541
18151,-29047,16592,109,154,-572,544
13758,-23281,15945,10,145,-572,541
11816,-17799,13640,-53,73,-572,534
13258,-14043,12061,-28,-49,-572,545
19867,-14210,11797,55,-155,-572,546
26045,-19859,10992,172,-139,-572,542
27045,-26860,8511,236,-89,-572,549
25800,32655,6648,227,16,-410,543
19769,29095,6795,165,63,-182,551
15101,26212,7168,56,44,-56,551
11394,22986,5334,-26,23,38,551
9355,20181,4324,-33,-19,71,551
8070,17661,3814,15,-80,38,551
7835,16337,3883,60,-143,-18,551
8943,16249,3804,59,-179,-29,551
10414,16347,3628,28,-197,-12,551
11218,16866,2520,-19,-198,5,550
12140,17170,902,-27,-172,40,550
13885,17484,588,2,-150,100,550
15356,18906,1294,9,-81,146,550
