ax,ay,az,gx,gy,gz,flex
21848,-431,5560,-39,-44,77,483
18171,29,5118,-49,-7,73,484
15346,-333,4981,-40,56,57,484
14395,-49,8766,-50,77,48,483
24457,-3275,16611,-106,93,103,484
23378,-755,18936,-175,304,198,475
20573,3422,20152,-217,289,180,451
17553,3804,20259,-235,196,161,447
16906,5775,24555,-238,130,162,439
20142,6972,27036,-298,180,229,430
18239,5285,25771,-362,247,289,426
13238,6295,21652,-429,297,254,416
8070,2520,16435,-456,313,168,418
3177,1108,12356,-459,320,0,418
1235,1774,10541,-443,268,-216,416
4814,3206,15121,-441,253,-399,414
4942,9835,19691,-537,323,-541,422
5668,17170,17906,-572,247,-572,418
9943,22770,16219,-572,192,-572,409
10865,32409,16033,-572,243,-572,398
14493,-28194,13317,-572,361,-572,374
4148,-15426,4599,-572,510,-572,363
2539,-736,-3245,-572,-141,-572,358
-19908,-11249,-7521,-572,433,-572,354
12120,-10199,-12758,-387,572,-302,359
3245,-4678,-1490,142,572,-572,369
-20741,-6120,7913,572,572,-572,376
-3835,-3266,5109,267,572,33,375
20897,-21830,-21485,78,224,283,363
-25360,-21624,-16866,572,14,195,368
-23506,2000,5579,572,270,427,377
-31469,13650,23103,572,373,572,381
22701,10924,27143,572,255,572,384
26310,14434,-26684,572,230,572,388
16582,17337,-15387,572,208,572,391
7305,3010,-19309,385,126,572,391
8953,-5482,-19829,363,76,572,391
9031,-11415,-19868,171,247,572,391
4432,-16515,-24252,-104,512,572,391
-12816,-20378,32007,-387,572,572,389
-17788,32115,21750,-568,414,572,385
-16582,22485,16278,-572,318,572,380
-21387,19544,13777,-572,270,406,374
-21368,17131,6462,-572,224,174,371
-21524,14582,-1529,-572,378,9,366
-29664,19191,-5050,-572,547,-240,360
-25398,19318,-8757,-572,572,-544,356
-19593,20103,-8766,-572,572,-572,352
-15327,29791,-3128,-376,572,-572,348
-8207,-28331,1716,-348,572,-572,341
-24192,-7561,-1745,-112,572,-572,341
-10728,17523,-8845,287,149,-572,340
29556,26830,2255,341,-42,-572,343
-13837,12963,-2069,-172,572,-572,345
23162,-13043,-31713,-77,572,-268,342
28644,-1687,-24094,384,572,-168,346
-27203,17013,-19818,572,572,175,351
-28812,-30351,-13209,572,572,572,355
28536,-11925,5177,572,572,572,360
29213,1313,24074,572,572,572,366
5648,-579,24613,547,572,572,368
-8649,-22673,25300,342,502,572,369
-3265,27330,28379,231,19,572,374
2471,8296,23309,206,-69,572,386
-4726,-4943,16219,235,15,572,403
-7854,-18093,13385,228,22,572,431
-10365,-28086,11375,69,146,572,466
-15160,25378,7178,-5,120,553,485
-16562,16425,4461,19,-29,386,509
-12503,8992,4010,12,-113,261,536
-11336,5687,715,-13,-77,171,545
-7923,2343,323,10,-59,78,551
-3412,-2422,1716,3,6,17,554
-1618,-4618,1765,0,106,13,558
303,-4903,1794,37,72,13,555
5089,-4540,3991,14,-26,-14,563
9678,-5903,4157,-54,-44,-23,564
10345,-7374,2657,-63,40,-15,567
9012,-7943,3912,-10,37,-33,569
9835,-7040,5893,-13,48,-60,570
8590,-6079,5726,-32,69,-94,571
7237,-5324,5099,-13,73,-119,572
4883,-588,5422,-7,83,-165,572
2275,961,3814,-32,67,-230,573
2333,2108,2088,-16,0,-286,573
7099,4030,4304,-10,73,-328,573
