ax,ay,az,gx,gy,gz,flex
1510,18033,17680,-135,61,107,513
11208,20711,16170,-258,121,109,516
14925,21289,13297,-270,263,159,487
20220,22829,21162,-266,46,188,465
31664,27300,22956,-313,-22,395,442
29899,30576,27712,-297,103,572,390
20103,31958,-28606,-272,-46,572,376
20112,-21888,-16426,-286,-293,572,358
20867,-9925,-9758,-455,-386,572,344
12012,-8483,-9268,-572,-257,572,332
-196,-10729,-13298,-572,-300,572,329
-6668,-14181,-18956,-572,-289,572,329
-12895,-25125,-29910,-572,-186,572,326
-16680,-28272,25986,-572,-65,572,328
-19524,-31332,16376,-572,-28,572,331
-20299,28928,7982,-572,-44,513,336
-16082,24790,2569,-572,24,391,338
-14287,20181,-2853,-572,208,252,341
-14464,16356,-8688,-572,303,91,340
-11287,11404,-11345,-572,328,-68,343
-6599,9296,-11836,-544,439,-212,344
-3804,11816,-12463,-410,572,-389,346
-5001,15552,-13189,-273,572,-572,347
-1755,22848,-12081,-46,572,-572,347
16582,-32568,-9698,63,474,-572,347
-31665,-32724,-15278,110,572,-572,345
-28351,29360,-12316,494,571,-572,343
-1893,-26860,362,572,483,-572,348
833,31223,11944,572,572,-311,351
-520,21485,26506,572,253,-142,349
5560,14984,32037,572,-16,-52,352
6324,11542,-30930,572,-161,158,352
-1109,12561,-27860,572,-149,443,352
-13994,14160,-20908,558,-79,572,351
-27645,21554,-13004,460,-85,572,353
25153,24025,-12769,203,-150,572,358
17180,21681,-19300,-22,-194,572,358
9433,21358,-27576,-164,-164,572,361
2588,21269,30027,-304,-104,572,363
-2755,19328,22838,-422,-21,572,365
-6746,17965,16052,-513,62,572,365
-8698,15258,9198,-572,112,572,364
-8355,11130,4050,-572,162,462,363
-7315,7070,441,-572,237,344,366
-6011,5109,-1892,-572,359,200,367
-5932,4844,-5315,-572,488,36,366
-5913,5923,-8737,-572,556,-130,364
-4354,8953,-10061,-554,572,-323,366
-1412,13375,-10581,-460,572,-524,369
-2441,21122,-10090,-359,572,-572,367
1431,29164,-5864,-340,413,-572,368
-23232,-30273,-470,-390,572,-435,371
-29763,19749,-16092,-175,572,290,359
12434,30654,-11757,572,572,-274,359
-20623,-20829,23780,572,572,-572,367
-14857,-28978,26898,572,572,-437,371
-20025,-23614,31135,572,572,-388,377
-17936,-22487,32439,572,572,-459,385
-13484,-22330,21995,565,149,-521,394
-14867,-29930,14533,572,-193,-141,402
-25938,-20957,19671,572,330,443,426
21142,-8061,31625,572,415,572,457
14444,-13092,-29792,572,229,572,478
10306,-23703,31252,572,47,572,478
10865,-26213,26947,572,-67,572,503
13346,-25419,26094,572,-49,572,492
8874,-28616,23064,572,116,572,498
3481,30723,19593,502,180,572,492
1863,23976,16043,343,176,572,516
-4255,17072,13983,159,257,572,515
-6168,9276,9335,18,201,555,516
-4638,3118,6040,-33,147,421,520
-2137,235,4099,-12,108,306,521
-1745,-921,3608,-26,75,205,523
6040,-2677,2637,-59,37,169,524
8453,-4030,3118,-92,126,161,525
9188,-4873,2431,-117,158,122,525
