ax,ay,az,gx,gy,gz,flex
30027,8286,11934,39,323,28,514
-23820,12630,19700,173,352,48,501
-11572,23201,-30204,254,491,165,487
-15593,-30832,-22644,-55,572,448,456
28330,-22859,-21094,-393,443,572,407
21162,-17525,-17191,-572,368,572,358
10031,-8160,-18584,-572,306,572,331
3236,-5012,-23359,-572,107,572,316
107,-7297,-29390,-572,-2,572,305
-745,-12455,28438,-572,46,548,302
-5501,-17436,21230,-572,121,499,303
-10610,-20123,14278,-572,145,396,307
-16092,-20574,6835,-572,126,281,310
-18465,-21781,-1608,-572,160,179,311
-18985,-24879,-9159,-572,313,-12,311
-18073,-30243,-15248,-572,414,-259,310
-12914,31831,-16415,-572,450,-447,311
-2147,-28822,-17622,-572,572,-548,313
-2226,-25497,-25339,-520,572,-572,312
-5775,-26242,-31498,-148,572,-572,311
17072,-9581,-24643,255,410,-572,315
-22830,1804,-30752,265,550,-572,314
-15828,8550,19054,518,362,-572,311
20210,9237,21928,572,185,-572,314
29301,10374,-28928,572,572,-452,320
24643,17298,-7070,572,572,121,320
-32715,21456,14601,572,572,572,322
20985,30929,-9670,572,572,572,324
-14181,-3129,-32264,572,572,572,330
28301,-4384,-18888,202,572,572,333
-6285,-19221,26565,-449,572,572,329
-18475,-30577,-667,-572,479,572,331
-28193,22221,-31763,-572,360,572,332
-29526,13748,9453,-572,238,572,333
-27202,6560,-7060,-572,150,384,333
-20063,803,-18141,-572,330,249,330
-14278,-17250,-28222,-572,572,15,324
-9727,-26458,32313,-493,572,-290,323
-9688,-16887,-30438,-163,572,-572,324
-5913,-18378,-30625,-107,572,-572,321
5530,-14867,-30272,143,445,-572,322
-31303,-4649,-31321,125,309,-572,323
-22153,-8228,16397,176,452,-572,321
-13278,-3364,2923,456,73,-572,319
26378,4059,6983,572,-84,-572,325
-14044,24790,24065,572,572,-494,329
-18064,28016,-8453,572,572,289,327
32194,30007,-31920,572,572,572,325
10492,-28145,19769,572,572,572,328
-21222,-18564,-24507,572,572,572,331
16935,-17564,30497,-39,572,572,330
-14317,-31381,676,-572,572,572,330
-17622,16876,-28115,-572,448,572,331
-16847,2137,14935,-572,347,572,332
-13160,-10101,-117,-572,373,463,332
-11110,-12229,-11591,-572,443,255,333
-5530,-14200,-18239,-572,567,74,334
-1098,-23663,-19485,-572,572,-80,334
-2471,-29645,-20171,-572,572,-128,334
-3883,-30106,-21319,-537,572,-176,333
-6383,-27321,-22142,-290,572,-352,334
-5501,-27096,-22172,-55,572,-572,335
-657,-20006,-16268,164,572,-572,340
6815,-5953,-11424,292,500,-572,356
26928,5216,-11130,192,-95,-572,378
-15495,7599,-17778,46,-163,-572,402
-11386,12404,-26604,135,9,-572,425
-11376,7707,28027,403,211,-572,444
-25134,15827,24340,572,306,-572,476
32390,-28204,23026,572,178,-572,525
-28096,-2031,25203,572,114,-572,548
-19094,5510,-27585,572,457,-572,571
-15465,8511,-25594,572,472,-572,577
-12170,19867,-10532,572,572,-533,588
-31803,-14181,32233,572,514,-69,595
17769,18435,-26782,572,200,511,596
4138,-9944,23329,168,292,544,583
-10688,-32509,16298,546,414,202,590
-15101,27477,14405,524,215,83,573
-7560,18779,13317,331,148,65,585
-6717,6158,10002,178,131,82,584
-3893,470,3765,68,-3,64,583
1873,-3373,-676,-7,-42,46,581
6403,-6736,-4236,-27,-39,31,580
9708,-7335,-7178,-66,-39,-3,584
13032,-9119,-9570,-69,-27,-38,583
15170,-9639,-10600,-63,-24,-48,582
17200,-9110,-10463,-74,-8,-31,580
17043,-9002,-9953,-116,18,-36,579
16023,-9610,-10316,-158,21,-49,576
16641,-9492,-11953,-100,17,-16,572
15699,-8266,-12110,-73,0,-7,570
15219,-8639,-11865,-74,5,-19,569
13993,-8413,-11659,-103,29,-30,567
12914,-7992,-12081,-101,63,-27,566
12522,-8100,-11904,-74,47,-16,565
13101,-6501,-11502,-60,0,-12,564
13542,-6158,-11100,-71,-13,-4,563
14150,-5805,-11434,-88,-16,0,562
15180,-6570,-11522,-91,33,25,560
