ax,ay,az,gx,gy,gz,flex
29281,23192,6099,123,544,-134,531
-32430,24996,8433,97,572,-103,530
-27125,23486,10286,111,572,69,526
30105,29173,9825,153,572,225,506
-28920,-29920,12101,105,422,352,500
-21075,-17946,11149,-18,539,546,475
-24909,-2629,4716,-246,572,572,431
24721,14032,3746,-380,572,572,400
9021,23750,6589,-572,572,572,379
-2873,26359,11434,-572,571,572,358
-12924,20181,13013,-572,254,572,340
-20848,9512,14327,-572,12,572,322
-24408,1294,13758,-572,-175,572,316
-21848,-5286,10796,-572,-211,572,313
-20622,-10386,5952,-572,-182,567,307
-19828,-15848,637,-572,-191,471,316
-19132,-23399,-4756,-572,-175,379,318
-17572,-29675,-10002,-572,-125,300,320
-19622,27859,-13817,-572,-57,233,322
-17533,22407,-16258,-572,97,109,317
-9463,17131,-19220,-572,518,-16,315
-8580,17523,-27722,-572,572,-166,316
-14993,26437,32538,-572,572,-510,317
-22338,-29106,-27408,-410,572,-572,319
-15013,-10395,-15494,-430,191,-572,321
13434,-1285,-12287,-572,-87,-572,323
31752,-20731,-12767,-572,280,-572,317
16710,-16054,-8845,-169,572,-572,321
1647,17955,4216,-121,572,-572,327
-30547,13964,4412,-263,572,-572,329
264,7540,-6266,160,572,-572,337
27957,14846,-5648,174,572,106,347
-27125,17602,-17523,-234,572,572,335
24211,-11582,362,-46,572,572,333
22387,10119,22181,572,572,572,338
19406,-19564,-24771,572,407,572,342
1794,-10229,-22575,482,340,572,342
1951,30585,-28223,167,305,572,343
2834,16739,31007,-17,378,572,343
-4030,5530,24437,-214,475,572,342
-13630,-3286,17671,-419,450,572,341
-20348,-10003,10433,-572,326,572,340
-20946,-17319,2775,-572,164,572,333
-16837,-22271,-1990,-572,129,572,327
-16151,-28763,-6217,-572,199,510,320
-12483,31615,-9482,-572,313,379,323
-1519,29997,-13209,-572,572,269,321
2098,30380,-26741,-572,572,105,316
-3824,20838,27351,-572,572,-186,312
-5785,16729,-31752,-572,572,-496,313
558,26133,-19465,-232,572,-572,317
8933,-18927,-13611,-151,572,-572,321
10865,-12327,-17671,-342,273,-572,324
29164,-25409,-23005,-476,183,-572,327
21838,-26635,-27604,-436,352,-572,334
15013,-24762,-28340,-212,428,-572,356
17229,-14073,-22642,99,572,-572,406
15729,11247,-16092,501,572,-572,481
29399,22122,-19043,572,572,-572,539
-14612,29713,-16268,572,572,-572,575
-11651,-25821,-28065,572,572,-170,579
21877,-22183,-31762,572,572,572,599
18779,-19408,-12199,572,-97,572,604
23858,-12298,-6648,572,-572,572,603
25878,-10925,-2608,572,-520,572,603
24241,-31028,11865,572,203,572,602
4942,7403,16670,572,572,572,593
-18347,-14083,21593,572,572,572,600
-27604,-25458,22495,572,275,572,600
-27546,25290,25908,494,84,423,595
-27222,11689,24339,301,34,216,601
-20465,4530,17876,139,-40,17,600
-7089,-2412,13130,41,-69,-90,600
2118,-8266,9629,-36,-17,-74,598
5658,-11944,5736,-132,-7,-60,598
6825,-14474,58,-221,-50,-77,598
13003,-17396,-6099,-202,-109,-87,597
14572,-17327,-7962,-137,-69,-79,597
14729,-14503,-8472,-149,-67,-53,596
13179,-14523,-9718,-179,-81,-47,595
