ax,ay,az,gx,gy,gz,flex
12571,11502,11659,100,53,51,474
21015,9208,18896,292,166,26,474
21623,15297,25084,429,291,-18,476
23162,22358,29095,451,342,-14,476
25261,30164,29948,307,507,110,472
18151,-28616,26653,110,572,198,453
11002,-26546,21417,-85,572,268,436
6334,-26821,16219,-263,572,354,421
2696,-28655,11885,-452,572,492,408
-4265,-30449,8884,-572,572,572,389
-10512,28938,7982,-572,334,562,385
-7217,23319,11081,-572,-44,507,396
-1215,22172,17288,-572,-165,506,393
-1765,24486,17916,-572,-103,396,385
-3461,24947,14366,-572,-53,249,383
-6266,22986,9021,-572,-37,149,377
-8060,20828,5099,-572,-56,17,363
-7315,21573,2226,-572,-65,-105,353
-7443,22260,-19,-572,2,-147,348
-11012,19955,-3324,-572,88,-231,347
-12405,21152,-5442,-572,91,-419,352
-8001,21750,-5177,-572,72,-572,356
-1392,22829,-4726,-572,181,-572,362
5775,27389,-4089,-572,379,-572,367
11130,-30822,-4795,-572,468,-572,368
20269,-19515,-7482,-572,407,-572,364
28948,-13798,-14376,-572,406,-572,350
28281,-13357,-19877,-572,500,-572,340
-29027,-5453,-7992,-443,551,-572,340
-28694,-17162,-6942,-112,572,-572,341
22878,-11906,-7776,303,572,-572,343
-32695,-10954,-8904,572,572,-572,351
-16230,-5777,-12983,572,572,-437,362
-13710,11796,1461,572,572,343,375
-22781,1980,11463,572,572,572,380
29438,1431,9227,435,572,572,383
12846,2735,3128,275,572,572,385
-970,2402,4726,-29,572,572,387
-19759,-5757,5148,-517,572,572,384
-23368,-27311,5256,-572,572,572,382
-17200,25329,4658,-572,572,444,375
-11963,19406,1578,-572,537,235,373
-9669,16886,137,-572,542,110,374
-10139,15739,-500,-572,528,-15,374
-7913,12522,-529,-572,474,-216,363
-1745,15582,-902,-572,480,-364,356
-1265,19034,-2510,-572,503,-442,355
-1519,25359,-3118,-572,456,-552,358
-2892,29262,-3059,-572,320,-572,357
1784,-22212,2549,-572,150,-572,354
-25301,-19898,755,-572,462,-572,352
32145,24800,-12356,-572,572,-572,340
17523,-1472,-2961,-491,572,-572,323
18926,-10807,-5030,-459,334,-572,318
-24909,-5502,-2637,-179,572,-572,313
-22487,-17554,24996,293,572,-572,328
-21437,17317,1745,572,572,-107,349
-7032,32586,-12474,572,572,-459,366
-27488,-4924,4942,409,456,-572,344
8403,7433,-15180,572,572,-143,342
31458,19759,-28163,572,572,572,365
-30105,7422,3835,572,572,572,380
21956,-28695,20210,572,572,572,351
2678,-4698,29938,572,572,572,327
22536,-11209,-6591,572,184,551,331
2059,-25026,-25046,-186,323,230,334
5638,23927,-500,-226,572,168,333
-6982,22633,-3157,42,572,297,333
-2686,21750,1980,34,-61,406,334
-3442,15101,3746,-21,-330,451,336
-3089,9414,5324,-10,-263,391,337
-4216,5266,5619,51,-110,315,340
-10267,1990,7884,74,24,218,345
-10326,2804,8305,-48,54,103,356
-7070,-637,5619,-112,123,0,364
-5197,-3089,7992,-94,219,-109,366
-6982,-696,9933,-94,268,-216,368
-5393,3187,11041,-169,267,-323,370
-4922,3402,10757,-270,213,-438,368
