ax,ay,az,gx,gy,gz,flex
18906,12895,23290,7,-66,56,409
24270,12081,25790,93,56,130,408
23221,16406,26889,219,212,172,412
20446,26810,32155,282,277,215,420
19141,-27939,-30371,123,342,365,420
15013,-21879,32321,-66,431,492,423
8560,-18966,26398,-207,572,572,421
3932,-15828,20514,-409,572,572,415
-1676,-14651,17876,-572,572,572,402
-9482,-16181,15405,-572,448,572,392
-18906,-23546,9306,-572,175,572,373
-27006,-32460,1873,-572,-167,410,366
-28114,-31518,-1892,-572,-398,242,360
-28055,-29145,-8305,-572,-472,-87,366
-25369,-30204,-11179,-572,-476,-349,373
-9914,-30469,-6295,-572,-306,-386,377
-1980,-29567,-5109,-572,377,-381,383
-7668,-28410,-8345,-572,572,-572,386
-7590,-8091,-2157,-572,377,-572,384
11002,13552,-5540,-572,6,-572,378
-14730,3235,-10953,-572,330,-572,365
-31048,-1266,-23760,-572,572,-572,360
15788,10875,-14807,231,572,-572,361
-29508,12110,-6785,572,572,-572,368
-10523,5824,-13424,572,572,-572,378
2804,21181,-17455,572,572,361,380
-15132,-3433,-10924,572,572,572,378
-22693,8070,8874,572,572,572,383
26026,27683,27055,572,572,572,388
18926,16190,-30420,178,572,572,387
7295,5775,28801,-175,572,572,383
-13670,-3384,15288,-533,572,572,384
-21505,-20525,4069,-572,572,572,385
-20975,31017,-1755,-572,572,572,385
-15150,22995,-2235,-572,572,476,381
-13042,22211,-2647,-572,572,230,374
-9423,25280,-1794,-572,572,-66,378
-3726,26016,-2834,-572,572,-338,383
-1166,23947,-4079,-572,572,-428,384
-3226,22427,-5187,-572,564,-502,384
225,27124,-1814,-529,475,-572,384
8815,30860,1235,-572,572,-572,385
11414,29978,1657,-572,572,-572,374
9463,-27154,4226,-500,572,-572,362
28938,-11808,15072,-464,572,-572,358
31909,6727,16955,-310,572,-572,353
-22869,21583,29978,-245,572,-572,351
-19309,10482,-32264,-131,572,-572,357
-16740,20416,23231,343,572,-572,375
-31773,-677,8894,49,572,-572,363
11738,2598,-4079,572,572,-35,354
20524,-32293,7462,572,572,572,369
1127,-1835,18975,572,572,572,380
-22289,-19525,11630,572,572,572,401
-5354,12012,12571,572,572,572,414
20485,26447,24731,572,572,572,392
-8521,-21153,16415,507,572,572,369
-21073,-1815,15552,380,572,572,371
-19092,-18868,18220,361,393,572,372
-10090,-27517,19995,131,195,572,372
-6766,29232,14415,-81,269,572,368
-8668,18926,9129,-59,328,572,365
-15160,14003,6638,25,311,526,366
-18887,10453,8060,-119,219,379,371
-15984,3971,7001,-216,195,295,372
-14366,-872,5050,-156,243,196,371
-16886,-147,4658,-107,224,139,369
-17651,1137,5952,-266,117,62,364
-17219,-3147,2559,-356,83,-45,353
