ax,ay,az,gx,gy,gz,flex
22103,23868,28467,521,370,-327,472
23388,29928,31713,572,466,-253,479
15729,-29910,-26233,316,548,-4,483
7845,-25056,-28253,-194,299,194,483
2402,-25919,29879,-457,187,332,476
4118,-21016,24594,-476,154,421,475
-2167,-12710,20485,-465,178,483,480
-9090,-4757,17014,-572,80,546,485
-10532,-7699,12552,-572,-48,572,487
-12718,-14269,8747,-572,-60,572,488
-11767,-21025,7590,-572,-90,572,487
-9531,-25036,6913,-572,-53,572,487
-6864,-25821,6766,-572,-24,531,489
-7119,-29645,4520,-572,72,431,489
-9178,31801,1706,-572,106,285,489
-8325,29115,-1931,-572,67,131,489
-7393,27075,-3353,-572,68,16,489
-7148,27242,-4079,-572,82,-81,491
-7364,26388,-4363,-572,150,-163,494
-7188,23937,-3844,-572,211,-280,496
-5972,24280,-2265,-572,300,-403,497
-5256,26614,-2392,-572,361,-569,499
-6903,32498,-4736,-572,280,-572,499
-7521,-23712,-6128,-572,44,-572,500
-1333,-8522,-1539,-572,-205,-572,501
8835,14493,-460,-572,-367,-572,501
29448,16827,598,-572,-235,-572,501
-24350,23378,-10561,-572,398,-572,501
-24801,8688,29547,-572,572,-501,487
28428,-19427,19084,-8,572,-127,479
22280,-21761,22134,528,572,-187,477
30586,-15387,26135,572,572,-453,486
-3894,-8846,-29399,572,572,-251,491
15072,4049,-31674,572,572,572,498
-13239,29722,31783,572,572,572,506
16553,-29675,-19289,572,572,572,509
-9708,19867,431,-133,572,572,509
-21044,-6806,12110,-509,572,572,504
-21446,-30773,13140,-572,572,572,494
-15876,23182,13405,-468,529,443,489
-7492,22436,12081,-343,436,199,489
-4403,20661,9119,-292,515,55,488
-5334,17249,7521,-278,572,-90,490
-4255,16337,7786,-270,572,-256,494
-4785,13836,6982,-295,572,-398,496
-6884,13640,6227,-320,562,-540,498
-6442,16209,5373,-369,320,-572,500
-4334,20357,2814,-450,47,-572,503
-1902,24280,-186,-571,-200,-572,505
-39,27183,-4108,-572,-391,-572,507
-1618,29948,-8688,-572,-542,-564,508
-1274,-31793,-12679,-572,-572,-517,509
1068,-28312,-16445,-572,-572,-457,510
8492,-25066,-17651,-572,-572,-349,510
16945,-21271,-15935,-572,-136,-179,511
11963,-22340,-19877,-572,404,-191,511
26173,-19388,-17759,-572,572,-268,513
15866,-19368,-25035,-151,572,-491,515
9051,-12876,-17082,542,572,-572,517
58,1568,-4432,572,572,-572,521
-1588,-6296,9208,572,433,-572,532
16170,-10200,15141,572,-572,-572,532
1431,6197,-2735,-108,572,-259,505
-19849,4157,10631,-29,572,200,493
32351,-20408,31097,572,572,520,507
-20829,-7385,-7374,572,572,545,527
29821,-13955,-509,572,572,572,514
4932,17759,12169,572,572,572,533
3039,-16387,14385,466,230,572,533
11522,28742,15170,471,-93,572,525
7443,26879,14072,243,23,572,526
2853,21770,12454,44,-65,533,516
-1010,21083,11198,-127,-120,395,515
1549,22280,8923,-261,-110,204,503
1500,21976,6138,-293,-133,79,494
529,18328,2078,-303,-271,31,482
5893,13140,-9,-260,-368,-2,474
10473,5295,-1519,-192,-175,-2,463
13719,4157,-1637,-64,15,41,463
12983,2932,588,-67,157,132,460
8217,706,-549,-69,148,176,450
6795,529,-2451,-29,57,126,445
7599,-882,-1843,2,-4,48,443
11404,215,-1333,-36,-20,26,436
14209,-970,-3638,-71,4,23,430
13807,-3000,-6099,-4,43,-4,429
15856,-1196,-5011,42,5,-27,430
