ax,ay,az,gx,gy,gz,flex
17504,19475,12238,144,41,70,413
21730,22015,14719,304,135,107,433
27359,27173,16592,391,436,203,445
24162,-29341,16023,310,572,336,458
22485,-20417,15552,143,572,433,470
14032,-16995,13993,85,572,516,478
5746,-16318,17210,-74,572,572,482
-5717,-18495,17827,-381,513,572,481
-2804,-24821,19563,-572,179,572,474
-2775,31615,16759,-572,-79,572,459
-1863,26702,14013,-572,-18,572,447
-3167,22740,8933,-572,124,458,448
-6903,24574,5226,-572,316,234,457
-10757,28232,1716,-572,277,29,458
-6678,30448,-2177,-572,156,-201,458
-3255,31360,-4226,-572,142,-276,460
1265,-29773,-4667,-572,255,-216,463
-1363,-29528,-8266,-572,572,-217,465
-8100,-29057,-15042,-572,572,-481,464
-10149,-29116,-18877,-572,529,-572,464
-7354,-28900,-21672,-572,393,-572,461
-1941,32331,-14974,-462,438,-572,453
1569,-17162,5785,-114,536,-572,465
9620,23760,16209,34,572,-572,479
431,-7061,8345,-175,572,-572,484
30997,9237,28223,55,572,-228,470
-24203,-4315,11062,572,572,572,451
14964,-15603,-22691,572,572,572,461
-22094,17778,9580,572,572,572,476
-20908,-23987,13483,572,572,572,478
58,-26802,13444,572,572,572,478
-26643,16239,19524,572,572,572,478
-26281,-2364,18661,333,572,428,479
-15768,-16250,11630,-137,486,332,474
-13787,27850,1549,-411,465,253,460
-14513,12885,-2029,-332,282,77,460
156,15984,-980,-353,145,-101,468
7119,18759,-3285,-572,319,-60,476
1706,26987,-14640,-572,269,26,480
-4187,-32273,-26947,-572,209,128,483
-4275,-28008,-29870,-572,198,178,486
-7148,-31852,-22584,-572,346,235,489
-8815,29085,-12032,-572,274,109,489
-58,-30077,-5079,-572,284,63,489
7374,-28047,-7854,-572,572,11,489
2559,-28959,-15886,-572,572,-208,488
3520,-26654,-13934,-572,572,-543,479
13719,-20427,-11767,-193,572,-572,472
5942,-12504,-3824,503,572,-572,482
-13934,7109,5619,572,572,-572,492
-10855,20965,-26743,572,572,-572,498
29605,-9258,-30194,293,572,-572,505
3431,20769,10366,572,572,572,442
30587,-19692,-27232,572,572,572,452
-3559,16219,7197,572,-572,572,479
-4149,23034,-17917,572,-486,572,493
28899,-2717,-28341,541,572,572,485
-5854,-26733,18131,184,381,572,466
5717,-30930,16082,75,-422,544,476
15386,-28106,11375,-23,-409,380,482
11385,-32460,2657,-83,-430,307,467
14944,23966,1461,79,-315,218,455
13013,24996,7413,181,-45,172,459
8335,25486,9816,-51,31,240,456
10110,20259,5128,-171,69,285,434
5874,15572,-1245,-151,182,305,439
4236,8305,-892,-39,149,306,435
5717,7217,1519,43,84,308,432
5972,5628,2118,19,124,300,433
1637,1353,931,10,137,238,428
2275,-706,598,9,-24,133,422
7178,-1480,961,-21,-38,91,417
8462,-2559,-657,-49,-3,40,416
11365,-3324,-2206,-32,-52,-10,411
