ax,ay,az,gx,gy,gz,flex
15984,17720,7237,-19,-183,-26,564
23417,18367,11973,5,-139,-10,564
28114,23407,14503,13,-103,50,563
-29920,28408,21201,-6,-60,173,560
-26223,-31106,26830,-91,68,309,559
-27988,-22340,28124,-232,248,416,559
29497,-18299,30056,-452,289,510,560
27614,-18348,-31793,-572,284,572,560
30095,-13955,30262,-572,363,564,558
-31401,-9415,21034,-572,544,464,556
32694,-10788,9178,-572,572,379,556
22770,-19270,3795,-572,572,381,556
24231,-25595,-5187,-572,572,433,555
19897,28614,-11532,-572,572,386,554
13571,15621,-16533,-572,572,241,555
13758,7276,-19377,-572,419,152,556
13444,4314,-25310,-501,340,106,557
14287,1637,-25996,-269,217,123,558
15258,1902,-22995,-44,114,214,558
15268,2530,-21573,77,98,287,558
13140,3383,-21211,253,103,314,556
14101,4265,-20593,455,93,319,557
11355,6766,-18553,572,119,352,550
7668,9384,-14513,572,-36,416,549
8619,14650,-14366,572,-269,442,547
18455,29752,-9580,572,-572,496,557
31870,-11190,6276,572,-572,572,552
3069,21564,19141,572,-572,572,556
-26252,-13465,29507,572,-572,572,564
24564,-23448,-26380,572,-244,572,556
-9179,25457,-30695,232,293,572,559
30468,6050,30399,-13,277,572,557
18612,-7100,30370,-232,246,572,558
8158,-19280,28781,-537,287,572,554
-1314,-31920,22956,-572,263,572,560
-6325,24868,16151,-572,193,572,562
-5089,21603,10414,-572,157,572,562
-7717,18808,7393,-572,326,387,562
-14601,15278,2402,-572,491,236,561
-18220,10904,303,-572,359,111,558
-16151,8394,490,-571,203,-47,562
-11973,8256,1490,-525,262,-199,561
-9884,7923,2785,-498,347,-312,560
-10335,8521,3373,-389,326,-425,557
-9296,15974,5520,-330,281,-572,561
-7717,22005,6580,-318,250,-572,559
-4295,30772,8619,-344,210,-572,553
-1000,-27135,12032,-421,258,-572,563
3716,-16554,14640,-453,375,-572,564
7089,-1109,14474,-413,225,-572,563
19593,11581,23084,-429,-40,-572,559
-18231,16798,23780,-516,163,-572,565
-17623,441,17788,-483,481,-572,563
-22830,-15593,11953,-362,503,-508,567
-22516,-25409,14101,-134,514,-377,567
-28753,-30655,14817,-18,472,-266,565
31321,27869,15337,7,324,-137,566
25359,21976,13826,36,173,-31,567
22093,19043,12365,56,114,2,566
18700,16484,11365,76,84,12,565
16474,14915,10463,95,64,34,566
13346,13552,9325,144,44,58,565
15229,14944,12267,163,16,91,565
12826,16003,11944,106,53,92,565
11051,15219,11806,65,-6,86,565
10139,15062,10159,77,-98,85,565
10424,15121,9894,131,-157,84,564
12169,17896,10875,127,-98,96,564
11228,18200,11100,85,-38,119,564
10757,18180,10473,73,0,170,564
10541,19504,10590,91,24,214,564
10188,21103,10404,84,60,224,564
9316,20750,9953,62,81,224,564
8825,20397,9874,60,86,230,564
9051,20024,9982,78,128,247,564
8021,20289,9649,104,188,264,564
7403,21054,9610,93,241,281,564
6609,20416,9276,43,295,277,564
5638,18259,8717,62,315,256,564
