ax,ay,az,gx,gy,gz,flex
24221,15827,22564,-270,-341,187,496
25025,14925,20701,-290,-364,184,500
32096,14807,20593,-291,-320,250,504
-29008,17837,18808,-304,-145,395,509
-29783,19593,17112,-329,1,503,514
-27606,21456,14768,-366,104,569,518
-25095,23849,11287,-409,271,572,522
-26831,23290,9423,-400,396,572,524
-30067,20024,6236,-396,516,572,525
29203,15386,5207,-388,567,572,525
26290,13238,3942,-372,572,572,518
23260,12287,68,-346,572,572,525
12297,8482,-1490,-306,572,572,533
12522,5874,-2333,-255,484,558,529
11444,4971,-4863,-189,441,510,531
9296,4255,-7933,-120,433,460,522
6668,3412,-10757,-69,397,419,531
7511,2755,-10698,-40,275,397,537
9247,2039,-12493,1,186,391,535
9982,1578,-13042,107,126,397,537
10326,2628,-10992,208,49,409,536
12954,4216,-10590,272,-58,422,534
15229,4942,-8551,354,-107,461,535
14866,8305,-4814,470,-139,528,542
15847,12807,2059,572,-225,561,543
20936,22152,12326,572,-316,564,543
21583,-32009,23966,572,-379,572,544
12022,-20084,-28753,572,-572,572,543
18308,-12219,-24722,572,-572,572,542
-24791,-4570,-30557,572,-572,572,542
-22232,5922,-28959,572,-553,572,539
-30047,16278,-27802,572,-325,572,540
25565,13875,-30371,342,-170,572,541
16533,7737,-31106,211,-57,572,543
11385,774,-28871,101,43,572,540
3089,-9885,-29557,-98,158,572,537
-1873,-23810,-30420,-277,185,572,550
-2853,-32156,32380,-416,183,551,550
-4040,27712,26889,-572,172,436,546
-3167,24976,21779,-572,119,351,553
-2608,24427,16543,-572,78,281,537
-1971,22740,10698,-572,99,208,550
-3883,19867,6217,-572,160,156,540
-6354,17818,4187,-572,159,97,542
-7992,15052,2147,-572,153,-2,549
-4687,10796,2814,-572,181,-79,554
-8305,12257,2912,-520,175,-119,555
-6334,14876,4491,-516,148,-256,556
-4638,14474,4471,-507,172,-336,556
-1186,17268,5991,-462,220,-361,556
-1519,20848,6746,-425,313,-427,556
-2265,24015,7031,-388,334,-542,557
-3991,27487,10129,-328,326,-572,557
-3177,-28743,15454,-263,275,-572,557
117,-15583,17043,-214,253,-572,557
5972,-6610,20642,-147,204,-572,557
12758,7766,23819,-151,1,-572,558
31331,18671,20142,-245,-148,-572,558
-23212,14895,15582,-264,44,-572,557
-20957,10875,16925,-261,220,-572,556
-23624,666,8835,-307,52,-572,557
-21967,-15995,-196,-327,-129,-572,557
-25281,-31204,-3147,-257,-206,-498,557
-31038,26712,392,-174,-242,-264,558
26928,23692,3343,-137,-233,-74,558
19740,21054,4981,-140,-191,26,558
14287,19063,5726,-131,-159,64,559
11679,17014,4461,-117,-169,67,559
11542,15160,4854,-88,-169,57,560
12002,14081,6099,-50,-142,47,561
11179,13974,6374,-15,-108,39,561
10228,13944,6629,7,-111,31,562
10159,14062,6668,32,-126,16,562
10973,13944,7119,99,-122,-7,563
12414,15042,9639,172,-79,-13,563
12110,15837,11002,197,-36,8,563
12640,16611,11130,185,4,41,563
11424,17425,9904,172,60,63,563
11140,18308,10708,187,93,65,563
10894,18906,10453,191,95,88,563
10453,19132,9620,186,93,108,563
10443,19298,8570,202,91,120,563
