ax,ay,az,gx,gy,gz,flex
2245,20887,7492,-96,-93,45,550
5952,20838,9041,-171,-162,110,532
8060,19946,7707,-210,-273,183,527
13209,20514,9590,-192,-383,265,532
16435,21976,8511,-245,-558,328,514
21240,20593,8727,-211,-572,391,475
24731,22162,6991,-158,-572,450,478
28428,24898,3755,-112,-572,444,462
30027,26712,-1431,-37,-572,372,447
-28527,28359,-7639,169,-572,323,430
-29410,32449,-11228,388,-572,293,414
30076,-31616,-16337,563,-572,198,396
22829,31733,-17984,572,-572,56,394
17180,-32352,-21132,572,-572,-100,386
9512,31066,-21623,572,-572,-242,378
7982,26212,-18112,572,-572,-297,373
3775,22397,-12630,572,-538,-280,373
-951,18318,-6344,572,-434,-236,372
-3118,10100,-3118,572,-374,-216,368
-3971,3618,-1735,572,-322,-212,370
-4216,-2765,1235,572,-269,-198,370
-6050,-6903,3834,525,-225,-183,370
-7139,-9394,4883,348,-182,-182,370
-8188,-11522,7423,209,-171,-200,371
-9080,-8580,9816,29,-133,-241,372
-9129,-7305,8668,-158,-114,-290,374
-6001,-3991,6423,-296,-117,-329,375
-2785,578,5717,-407,-48,-326,382
-1166,4324,4648,-535,52,-343,386
-902,8688,3275,-572,32,-398,388
6678,14689,4000,-572,77,-417,390
8845,17798,3775,-572,257,-415,393
5775,27791,1245,-572,199,-496,395
19210,-31067,-4844,-572,-23,-572,397
-31263,-30243,-16484,-572,-95,-473,398
18406,29056,24203,-572,-216,-128,390
7119,-4491,-23074,-572,-572,-144,382
-28439,21407,-8041,477,-137,-269,390
14827,15091,-29222,-19,572,14,391
8041,11669,-18592,-96,299,133,389
8237,11120,-24025,-46,-115,17,388
14787,8659,-25104,-76,-28,-26,388
17219,8678,-22387,3,122,49,390
