ax,ay,az,gx,gy,gz,flex
29752,22780,11600,-88,-521,219,528
-17838,24349,18612,-54,-572,298,531
-8924,25947,19877,-96,-572,387,535
4304,30046,16082,-197,-562,553,539
3079,-27419,9021,-247,-316,572,541
-1815,-18397,3432,-206,-120,572,543
-6502,-11386,2029,-209,128,572,544
-18240,-7395,1402,-230,340,572,546
-29626,-4404,725,-320,431,572,547
27869,-7179,-2382,-410,525,572,547
27310,-11994,-7246,-426,572,572,546
22848,-17103,-15513,-289,572,572,544
13297,-26095,-14552,-68,572,572,544
10482,-29420,-13571,13,467,572,544
9257,-32568,-16141,-2,332,572,543
6079,29320,-17965,8,277,572,543
3971,20848,-21534,24,138,572,543
7001,16572,-22760,177,-21,537,544
8168,18367,-19769,397,-108,538,544
10482,22956,-15327,533,-180,546,544
13287,30487,-10296,572,-154,540,545
18367,-25693,-5520,572,-16,572,545
16543,-15593,-4765,572,139,572,545
14866,-2952,-911,572,151,572,546
18798,6364,-1117,572,247,572,546
12620,19602,303,541,448,572,546
1323,-29008,6423,457,572,572,546
-14993,-25919,13228,395,546,572,545
-25261,-28273,29978,456,293,572,546
-29526,30468,-26674,392,177,572,547
-27242,25810,-20672,228,148,572,548
-20818,24407,-23467,-2,167,572,549
-16651,24603,-26801,-201,173,572,549
-12101,17239,31399,-430,196,572,549
-9296,2353,23280,-572,257,572,549
-8472,-11660,17357,-572,294,542,548
-7295,-22467,13660,-572,317,411,548
-7678,-28037,9894,-572,313,224,549
-5726,-27949,6668,-572,278,33,549
-4167,-26556,1392,-572,223,-113,549
-2794,-24144,-2245,-572,166,-192,550
-3500,-23291,-5491,-572,153,-263,550
-7089,-24389,-8747,-572,107,-370,550
-7168,-25350,-8845,-572,82,-514,550
-5932,-24673,-6815,-572,124,-572,551
-4275,-21526,-5707,-572,235,-572,551
-5746,-18760,-5334,-572,304,-572,551
-6835,-12651,-5373,-572,251,-572,551
-6570,-4355,-4569,-572,189,-572,550
-9159,10541,-4530,-529,115,-572,550
-6727,31321,-4726,-514,-67,-572,551
-5177,-16142,-12454,-572,-198,-572,551
14503,-5090,-20534,-572,-539,-572,550
-23301,-27821,-13209,-442,-65,-572,551
-28822,10306,-18828,-219,531,-572,551
32508,9580,-11561,-72,432,-572,552
31399,578,-7286,21,-18,-572,552
-28792,-9121,-6315,58,-347,-494,552
-26772,-21173,-5266,75,-406,-338,552
-29773,-28782,-2088,85,-283,-209,552
29840,30546,-1078,53,-173,-121,551
22329,25839,-1519,21,-171,-31,551
16513,22672,-549,15,-214,32,549
13169,21279,607,33,-211,49,548
11336,19946,1902,45,-161,52,547
8158,19975,2226,37,-106,79,546
5511,21260,2059,12,-74,133,546
3589,21475,3206,6,-54,162,544
2304,20701,3255,18,-27,150,544
480,19681,4167,56,-22,136,544
598,20004,5658,96,-25,116,544
813,20328,6481,94,-6,78,544
1127,19347,7344,85,1,72,542
666,19004,7776,65,-4,74,541
1451,19622,7256,59,2,40,541
1500,19132,6570,59,11,4,542
1127,19985,6756,46,25,-8,542
