ax,ay,az,gx,gy,gz,flex
23672,24476,-25104,73,-572,394,559
32635,-32764,28390,176,-572,521,559
-22840,-22967,26488,409,-572,494,558
-9807,-26949,32440,556,-572,541,557
-2511,25741,-31478,539,-222,572,555
-13347,24800,31871,523,289,572,556
-10954,32272,-25545,535,431,572,560
-15534,-21516,-19024,157,572,572,566
27575,-10807,-23790,-302,572,572,571
9649,-20388,-22181,-572,572,572,573
7325,-31911,-19710,-478,572,572,574
14336,30870,-16082,-377,572,572,576
7482,24662,-16003,-301,572,572,577
5844,18122,-12905,-134,458,572,579
6736,15690,-11473,-15,189,390,581
10178,15984,-9590,77,118,311,583
8266,15052,-11473,157,141,311,585
6374,13797,-13709,221,142,314,588
3020,10767,-17219,342,144,263,590
1784,12101,-16768,530,104,128,594
3500,13699,-15023,572,84,66,596
5354,15052,-16023,572,142,81,595
3500,17435,-14699,572,265,106,584
2265,21093,-12787,572,324,121,596
2314,25653,-11355,572,391,168,592
7913,31458,-10012,572,368,217,592
11846,-24889,-9492,572,572,342,597
-1686,-14494,3687,572,572,572,597
-19563,-3227,15190,572,572,572,597
-19583,1411,19573,572,572,572,597
-23084,2323,25457,531,572,572,596
-25280,7138,25937,342,572,572,596
-27045,15307,26065,186,531,572,594
-30066,20416,28310,77,394,572,593
-27683,19651,26908,-127,306,572,592
-22476,13895,23397,-375,285,572,591
-18602,7227,20348,-572,399,572,589
-18838,-3707,17435,-572,495,572,586
-17337,-13543,15866,-572,493,572,570
-15660,-24320,14091,-572,471,443,579
-16680,30321,12669,-572,412,236,578
-18651,23466,11169,-572,206,106,576
-16572,22034,8560,-572,-55,21,574
-12787,21877,5324,-572,-191,-29,572
-9914,21152,3951,-572,-203,-58,572
-9835,21230,1696,-572,-139,-114,571
-8835,21662,-539,-572,-84,-207,571
-8668,20554,-1892,-572,-75,-277,571
-8031,20328,-2510,-572,-89,-329,572
-7315,20652,-2941,-572,-74,-401,572
-4962,21348,-1735,-572,4,-492,572
-3628,22270,-1794,-572,156,-572,572
-4197,24202,-3569,-572,237,-572,572
-784,27948,-2206,-572,308,-572,571
-2304,29330,-1265,-572,462,-572,571
-5844,-27517,176,-498,447,-572,572
-10129,-13043,2020,-452,232,-572,573
-7501,-834,1098,-457,31,-572,573
-3638,16935,2618,-346,-221,-572,573
12728,28193,5952,-232,-13,-572,563
15690,-30734,12140,-158,330,-572,568
32164,-28527,6648,-196,244,-572,583
-18515,7187,-6442,-212,9,-572,587
-20643,-8052,-4962,-80,-32,-345,586
30684,-13435,1039,9,7,-155,584
21642,-23791,2883,71,-67,-137,584
20142,-30881,4520,125,-173,-79,583
19289,29232,4687,124,-214,-45,582
16886,26437,4128,90,-172,4,578
13366,25182,3304,41,-107,75,563
8217,23221,3236,14,-53,140,569
4481,21475,4344,0,-48,172,563
1519,20348,4903,-13,-64,162,571
-68,19377,4814,-14,-63,144,564
-1598,18857,4981,8,-63,128,573
-2137,19377,5589,26,-50,91,572
-3059,18759,6089,27,-29,56,573
-2431,19112,6805,17,-18,33,573
-2029,20161,6619,-2,-16,7,573
-1127,19857,7001,-38,-21,-6,573
1049,19269,6952,-57,-6,-1,573
2755,19200,7952,-63,31,23,574
3147,20671,9080,-127,38,67,576
