ax,ay,az,gx,gy,gz,flex
1304,22319,9090,-93,-111,-41,519
1284,21456,9659,2,-56,-69,520
-402,21466,11218,111,-110,-112,522
2922,21446,11130,237,-184,-136,523
6050,22780,12865,256,-173,-167,524
5393,22603,12709,223,-111,-200,526
5677,20652,11551,186,-90,-178,528
4687,17994,10433,135,-125,-131,529
4726,16562,9306,85,-190,-81,530
5275,17661,9296,52,-237,-64,532
4942,18259,8766,14,-273,-64,533
5736,18661,7727,-36,-292,-51,533
5824,19573,6707,-56,-283,-33,534
6472,20730,6089,-51,-273,-31,535
7639,20632,6168,-40,-243,-46,535
8786,20279,6276,-30,-191,-49,536
8913,19053,5815,-29,-140,-32,537
8727,18583,4814,-27,-106,-4,538
8806,19240,4491,-18,-83,23,538
9414,21475,5570,-2,-71,43,539
14297,23535,8276,11,-44,48,540
22574,25918,11659,9,28,76,542
30742,29222,16896,-25,115,169,543
-27939,32429,22897,-65,171,315,546
-23810,-26027,27801,-98,267,486,550
-25733,-18456,29036,-213,281,572,537
-27321,-10121,25016,-430,285,572,549
-31136,-5296,17906,-572,354,572,540
29615,-4188,10345,-572,502,572,543
21917,-9444,2686,-572,572,572,549
16455,-17525,-2216,-572,572,572,549
16866,-27694,-8639,-572,543,572,543
17553,29801,-17749,-572,572,572,547
16562,26790,-24280,-572,572,524,549
15513,24408,-23760,-453,572,379,549
18720,22466,-25408,-248,521,241,557
24437,22152,-24388,-20,277,155,559
23358,21985,-19867,247,161,249,560
21573,29095,-14650,491,-8,451,561
22515,-25242,-1500,572,-22,572,562
15356,-18692,16229,572,143,572,535
-1225,-1256,31684,572,88,572,559
-9835,10169,-21624,572,-325,572,568
3893,19455,-15936,279,-455,572,570
9806,16062,-11288,-11,-181,572,570
-156,1853,-16495,-114,18,572,570
-1059,-9042,-20349,-207,-182,572,569
3422,-18388,-26968,-296,-319,572,570
5109,-25654,31458,-386,-313,572,566
372,-32646,23937,-475,-265,572,564
-1696,27036,21250,-477,-239,572,547
-4148,23142,21319,-451,-117,572,560
-7570,19426,21623,-456,71,572,549
-15543,16562,20965,-483,206,482,543
-21358,13444,20456,-560,202,318,558
-21397,11394,17906,-548,54,128,528
-14229,10326,16572,-508,49,-38,559
-9247,10355,16376,-515,268,-144,560
-11620,10983,13209,-551,361,-246,560
-7501,13875,12709,-564,314,-404,560
-921,19210,12905,-572,409,-563,560
2324,24721,11532,-572,572,-572,560
6580,30262,11679,-572,572,-572,559
15268,-28410,16268,-546,572,-572,559
29978,-20084,23250,-393,572,-572,554
28252,-16024,27379,-265,572,-572,552
23368,-11160,28987,-354,572,-572,552
-27115,-14681,28663,-511,495,-572,532
-21192,-23291,26908,-403,572,-572,551
-27321,-30106,29026,-197,572,-459,557
19514,31252,31321,3,572,-327,559
4471,26830,-29037,34,572,-236,557
3020,21564,-28645,36,340,-232,547
6246,18024,32125,80,-14,-259,546
10100,16680,29262,156,-127,-239,543
10914,16759,28987,175,-91,-221,551
11012,16121,27242,88,-131,-209,540
14513,12934,24623,3,-158,-138,553
14062,12002,22338,2,-81,-35,548
10728,12807,22338,-27,-32,19,548
7805,11483,22093,-91,-94,60,539
