ax,ay,az,gx,gy,gz,flex
16170,27065,16396,-39,40,207,564
17445,27016,18112,-178,77,270,564
16984,25849,20661,-249,102,301,564
18534,25506,24074,-296,78,310,563
26261,28252,30890,-384,80,316,563
29683,32321,-28106,-522,152,375,563
29242,-27056,-27586,-572,209,466,563
26310,-21712,-31067,-572,297,524,562
18681,-18770,27997,-572,345,536,561
15768,-19496,22446,-572,360,504,561
9669,-19849,12748,-572,354,480,561
9276,-26792,8619,-572,236,454,561
8786,32478,5187,-572,166,437,560
9080,28928,2883,-572,134,412,559
10149,25329,480,-572,172,395,558
10639,21966,-4344,-572,198,404,558
10737,20573,-9257,-533,159,420,558
10237,21269,-12052,-473,24,451,558
11316,20250,-13689,-352,-82,490,557
10502,16955,-12277,-128,-176,516,557
9090,19808,-7266,58,-192,550,556
6207,22025,-3608,128,-164,572,556
4314,23270,-715,199,-179,572,556
2549,25878,1765,339,-217,572,556
2706,-31969,7305,501,-240,572,557
1088,-20839,11355,572,-182,572,557
-29,-9974,18014,572,-207,572,558
990,39,27163,572,-392,572,560
1706,11865,-21820,572,-446,572,562
8796,27006,-7071,572,-523,572,563
20701,-10778,8482,572,-162,572,562
13787,4785,11767,572,385,572,562
-2804,2147,294,482,409,572,562
3432,-14769,-11033,0,38,572,562
8806,23593,-21339,-318,-113,572,562
9296,-5737,-31940,-393,-101,572,563
6393,-26017,24770,-386,30,572,564
3589,32557,17014,-417,181,572,564
-1961,31635,10767,-568,258,572,564
-7668,29036,6187,-572,191,572,564
-9492,27310,3667,-572,31,572,563
-8590,26467,2481,-572,-16,542,563
-8933,28820,3216,-572,37,494,562
-10943,28046,4089,-572,223,451,562
-15905,20201,4981,-567,338,342,562
-18386,14787,7237,-417,334,156,562
-13140,13905,11032,-332,417,-46,562
-8198,14837,13444,-339,572,-240,563
-6589,19367,13346,-400,572,-392,563
-1176,25251,14346,-451,572,-552,563
6079,-31567,15601,-467,572,-572,563
7197,-20751,17474,-470,572,-572,563
8835,-2266,20171,-572,572,-572,561
11718,20348,23849,-572,572,-572,557
16278,-28145,27928,-572,572,-572,555
21573,-17152,-31048,-457,572,-572,557
-31381,-26478,21672,-501,572,-572,560
-29851,-344,17033,-185,572,-572,562
20348,-2050,27820,233,572,-505,561
1314,-550,-31705,331,572,-489,561
4373,-15985,-32558,269,374,-542,562
14915,-21241,-30999,254,231,-479,563
19946,-26282,-32764,162,147,-331,563
17082,31792,25751,63,6,-200,563
12797,25878,20524,55,-176,-104,563
8717,23054,16768,101,-352,-45,562
7550,21554,13954,141,-460,-34,562
6835,21152,11208,126,-428,3,562
6364,19916,10757,88,-281,73,561
2235,17072,9982,34,-135,128,561
-2441,15886,8639,17,-83,167,560
-3736,16798,8806,19,-137,150,558
-3265,16376,8217,27,-151,111,556
