ax,ay,az,gx,gy,gz,flex
10924,22505,14287,80,4,-29,404
11855,24408,20367,43,-58,30,429
15278,27595,26575,-92,-221,96,455
20426,29291,28536,-179,-290,154,484
22740,-31097,31605,-239,-227,259,500
18053,-26821,31900,-396,-203,368,509
15386,-25252,29066,-488,-280,445,515
12473,-23869,28055,-520,-378,510,521
13640,-23703,26526,-572,-360,567,526
12120,-26919,22299,-572,-293,572,529
13552,-25821,21319,-572,-194,572,534
12297,-29822,15415,-572,-28,572,537
13787,32213,15494,-572,129,572,541
9737,30448,10737,-572,374,572,547
5471,25937,7099,-572,309,572,556
10110,21397,4707,-572,368,572,563
2961,19141,-2461,-503,343,572,568
6629,14150,-2647,-445,270,572,572
1333,8600,-7070,-382,290,544,574
-68,3902,-10757,-278,177,461,575
-627,568,-12375,-178,139,384,576
-2932,-2402,-14032,-64,98,288,577
-3167,-4099,-13719,82,18,182,577
-715,-2902,-10757,181,-73,113,577
2853,-1343,-8580,260,-76,83,578
3481,676,-6570,359,-61,73,578
4040,4628,-4707,444,-94,64,578
6070,7393,-921,506,-82,100,577
6580,9384,4628,572,-48,138,577
7511,15837,9492,572,-15,149,577
8698,17759,18681,572,38,203,577
9119,23084,27467,572,1,300,577
11385,25418,-29380,572,-56,371,577
10463,29271,-21506,572,-83,438,577
12199,28811,-14828,571,-120,507,577
13611,-30753,-10572,492,-104,564,577
11924,-28674,-8875,329,-91,572,577
9590,-27213,-9268,220,-79,572,576
7619,-26399,-7640,150,-50,572,576
1637,-28263,-9778,68,-107,572,576
2530,-31450,-14857,7,-121,572,576
1794,-32666,-20712,-53,-12,572,576
-1755,28791,-27478,-161,44,572,576
-2569,22662,30880,-233,46,572,575
-2785,18975,25359,-276,92,572,576
-2020,15994,22613,-342,149,504,576
-3608,12512,20544,-397,273,404,576
-5560,10610,17170,-436,304,294,576
-4010,10394,15915,-483,351,180,576
-4324,8698,13983,-524,411,74,575
-6550,7050,11777,-561,427,-8,575
-6776,4432,8786,-545,372,-84,574
-7050,3275,6344,-466,322,-161,574
-8031,2147,4638,-394,228,-228,574
-6079,1000,5060,-327,149,-293,574
-4962,519,6148,-284,125,-339,574
-5520,725,6109,-260,91,-377,573
-5903,1716,4942,-257,31,-435,573
-4981,4059,3883,-256,-19,-507,572
-3451,4618,1480,-264,-78,-568,572
-578,5883,-303,-267,-102,-572,570
1961,8776,-490,-233,-52,-572,569
3363,11463,-480,-180,-17,-572,569
5746,15798,892,-149,-20,-572,568
9247,23192,2637,-125,-121,-572,567
19063,30134,2049,-176,-364,-572,566
-31332,-30773,2461,-320,-161,-572,564
-31136,30046,-1314,-392,75,-572,562
-23310,29370,-1333,-279,-18,-572,559
-19309,28977,-2216,-239,-97,-572,556
-15014,25378,-5373,-260,-189,-451,555
-11101,19210,-8600,-193,-231,-299,557
-12906,15288,-7266,-60,-129,-149,558
-16622,15690,-4108,8,21,-11,560
-23977,14611,-1186,-2,47,92,556
