ax,ay,az,gx,gy,gz,flex
20416,5226,3157,-57,-145,-41,339
18671,4265,2686,-105,-190,-58,342
23152,5638,1765,-86,-274,-91,348
-31420,6736,3059,-101,-309,-41,355
-21457,7943,6913,-233,-155,139,370
-9336,9443,5874,-485,318,441,395
-22487,3549,3589,-531,572,572,402
-24281,7237,4736,-572,572,572,407
-27723,4275,5717,-572,572,572,423
29683,1255,2177,-488,572,572,456
21770,3363,3089,-390,572,572,483
14846,813,1539,-352,536,572,533
11983,1412,-931,-306,448,523,568
8619,0,-5981,-313,486,493,577
1627,-2775,-14130,-223,410,383,575
4540,-1559,-15670,-136,424,312,569
3402,-4942,-18337,-30,426,235,573
4167,-2912,-19043,151,341,158,573
6178,-1215,-14336,221,319,146,575
6256,-1559,-13307,276,273,147,575
5726,1108,-12885,369,246,130,566
4569,2137,-9708,482,195,114,573
1588,7482,-5520,567,126,104,568
6540,11816,2363,558,5,88,566
5815,14493,4000,572,57,147,571
58,20240,9855,572,-53,148,576
9531,27183,18435,572,-153,116,579
12297,25055,23064,572,88,231,577
3667,-32430,-31557,572,4,303,566
12826,-30871,-19888,572,-65,310,568
14503,31419,-13004,572,27,375,569
12120,-30096,-7846,540,-58,464,566
18161,-31273,186,462,-107,559,565
14415,-32136,2990,356,-56,572,568
11453,-31714,4765,216,-43,572,571
9982,-31126,1127,67,2,572,562
6727,-28214,-2952,-36,13,572,544
4334,-25938,-10474,-183,72,572,575
-4501,-27557,-15397,-270,48,572,569
-5844,31880,-24056,-433,-26,572,569
-5579,24202,31743,-524,56,572,560
-7619,19416,23750,-543,165,572,573
-8678,14052,19161,-530,225,541,573
-7913,11326,17955,-521,265,395,575
-7050,8698,15817,-533,299,286,574
-7952,6619,14189,-482,310,184,569
-11404,5903,12306,-431,259,59,563
-12022,5275,10237,-409,151,-76,569
-8727,4481,7992,-372,71,-174,564
-7060,3549,6766,-345,108,-203,565
-8404,2314,4579,-341,157,-214,567
-9257,1392,2579,-321,164,-253,578
-8482,-392,1510,-254,164,-307,578
-9561,-254,1451,-195,185,-361,578
-9482,804,2490,-154,155,-426,578
-9110,3549,3030,-118,143,-497,577
-9208,6442,2579,-89,129,-572,577
-8266,9531,4157,-75,69,-572,577
-6991,15101,4206,-74,26,-572,577
-2049,20916,4226,-68,0,-572,577
882,25359,3422,-66,41,-572,577
3608,31517,2804,-29,-40,-572,576
17249,-27262,7972,75,0,-572,568
22456,-22408,15091,57,112,-572,562
29556,-15661,23770,-102,-23,-572,572
-26321,-23408,8953,-223,162,-572,565
-19270,30919,13640,8,331,-572,556
-23918,-26595,20740,69,179,-572,569
-15965,-31675,13101,3,-235,-501,572
-11288,24545,10757,3,-171,-244,575
-21477,23976,12542,-9,137,-45,571
-29822,20671,11002,-23,4,1,582
31331,17268,8796,17,-175,50,581
27751,15660,8737,44,-175,141,581
21436,15876,9531,31,-43,227,580
12267,14876,9894,-15,47,247,579
4834,12807,8374,-35,2,190,576
2637,11473,7482,-11,-69,96,571
1235,10012,7050,14,-84,18,554
1814,10757,7747,52,-81,-69,549
558,11394,7747,65,-40,-140,561
882,12032,9051,66,-55,-178,559
3265,13983,10482,25,0,-246,554
1863,14121,9159,28,123,-278,541
5118,17857,11002,16,153,-261,537
6383,18602,11826,-26,238,-256,522
6658,16660,11600,-6,367,-275,487
3628,20711,13807,40,379,-311,485
6766,23133,14111,27,227,-315,489
9129,22515,10885,97,122,-354,493
