ax,ay,az,gx,gy,gz,flex
25780,19946,14307,3,49,-136,536
-31136,22946,19455,-37,120,-22,522
-32293,28281,19445,-202,39,205,481
-25899,-31018,21672,-258,-136,346,448
-25811,-26468,25212,-308,-168,475,428
-30155,-23536,28752,-337,-267,560,411
-28037,-18593,31419,-310,-334,572,411
30664,-10484,27320,-450,-339,572,410
27869,-7120,20985,-517,-451,572,410
25427,-6532,14434,-517,-349,572,408
23005,-10023,8904,-357,-213,572,411
19514,-11670,10208,-255,-25,572,411
12895,-12386,11306,-299,127,572,410
9953,-15348,7462,-415,271,572,405
2941,-19809,-372,-402,294,572,403
-4795,-26743,-7727,-357,255,572,400
-11100,30340,-13974,-292,166,572,396
-14189,22701,-16366,-93,41,572,399
-14758,19102,-12620,73,-7,572,403
-23211,17661,-9453,134,8,508,404
-26437,12159,-8786,185,-66,375,405
-24643,8972,-10208,315,-115,215,405
-24947,5834,-8963,447,-77,133,405
-29762,5236,843,554,26,68,398
27566,2520,11267,572,83,-74,390
20614,-823,22427,572,34,-243,386
19702,-5011,-31165,563,132,-356,395
20927,-5962,-20506,545,226,-520,398
29988,-4314,-2825,572,180,-572,394
-12238,-2804,21034,499,156,-572,395
4128,1245,29448,187,129,-572,395
26388,-431,17641,-168,-73,-572,393
-25919,-1098,3765,-306,-92,-560,395
-16917,4716,-8846,-456,-210,-414,395
-9680,11591,-29959,-572,-211,-193,393
-13171,16474,17896,-565,-212,62,389
-23055,19230,9217,-524,-211,285,387
31390,17641,1402,-488,-146,434,386
21426,15866,-1784,-366,-160,466,386
12532,15905,-1882,-269,-230,463,387
6256,14474,-4148,-247,-210,512,388
-3089,12591,-7550,-159,-147,513,388
-10257,10659,-6835,-43,-180,447,387
-13218,8394,-7256,71,-228,345,388
-15317,6991,-5707,163,-216,291,388
-19004,7295,-2216,240,-140,257,381
-25977,5942,2402,313,-170,156,390
-27428,4775,6246,369,-212,20,389
-27810,4932,8825,418,-192,-84,386
-28732,4942,13434,474,-114,-152,388
32126,4697,22044,530,-6,-228,387
26939,4314,31399,516,12,-367,395
30871,3265,-23967,505,-1,-537,391
-27585,7531,-13445,510,78,-572,400
-14837,11375,-707,505,-71,-572,405
12120,12189,11963,356,-204,-572,412
-32460,8041,16248,20,-123,-572,415
-25929,2382,7423,-266,0,-483,415
-20555,78,-4198,-351,-203,-409,415
-17328,4020,-15142,-538,-237,-142,416
-24654,5432,-31381,-572,-100,56,416
-28508,5893,27575,-572,-217,118,417
30311,6648,24819,-557,-187,224,419
23858,9796,20956,-564,-229,236,422
23750,10257,15258,-519,-374,254,427
22505,10551,6030,-364,-460,343,438
21730,14846,5295,-230,-536,506,444
15660,15111,3706,-283,-336,572,447
1225,9600,-2657,-250,-318,520,441
58,6374,-2422,-131,-456,426,437
-2883,2196,-4922,-78,-341,404,435
-5364,-2294,-6040,-19,-246,390,431
-9070,-4422,-4844,23,-96,353,424
-10561,-4177,-2941,81,-62,243,421
-10277,-1922,-1539,136,-110,143,422
-4765,961,-882,147,-86,104,424
-6168,1206,-2765,145,180,111,418
