ax,ay,az,gx,gy,gz,flex
26535,21152,-26468,-536,369,572,471
17827,20495,-26831,-572,410,572,457
6305,18622,-30646,-572,365,572,441
-813,14385,26653,-572,318,572,421
-3775,11169,17769,-572,220,426,407
-5295,10394,8796,-572,232,329,396
-6021,11444,343,-572,171,194,387
-1353,10679,-3932,-477,178,117,391
666,10012,-4432,-297,191,25,389
8502,6972,-8815,-151,121,-42,388
15082,4304,-10777,-2,92,-28,388
26565,-529,-7139,185,18,-34,393
-32352,-7531,5560,309,27,86,396
31654,-19553,17563,256,-49,209,378
26477,-28585,31576,167,-96,329,383
11561,32254,-26664,18,-84,460,378
-6736,31871,-20123,-110,-128,438,377
-12365,-28154,-20231,-272,-96,387,385
-20897,-19544,-25340,-348,4,330,393
-24859,-10845,-30018,-390,21,226,395
-26241,-4412,28418,-406,88,174,397
-26035,519,21230,-414,138,116,399
-22162,2706,13709,-381,229,75,400
-20652,3500,6952,-302,287,0,400
-15523,4716,2588,-210,320,-84,401
-11071,6325,-441,-124,333,-152,404
-6207,8178,-1716,-33,350,-195,406
-3608,9325,-1539,45,332,-236,407
627,9953,-961,117,290,-260,407
5069,10473,-951,191,248,-252,408
8904,9855,-529,262,217,-228,409
13836,8217,-578,347,165,-210,410
21564,6756,1863,427,95,-190,410
27251,5001,4412,521,38,-173,411
-32215,-1549,5452,572,-11,-115,411
-27351,-11081,14905,572,-56,-9,410
32164,-18769,-27772,572,-86,91,398
28987,-30046,-13278,544,-174,188,410
25741,30312,-1942,382,-241,239,409
19906,31185,5393,201,-272,343,401
6481,32205,7031,-52,-268,494,394
-8668,-29389,-413,-301,-254,512,396
-13111,-22623,-8875,-411,-220,466,403
-19965,-14062,-15426,-508,-126,416,404
-19563,-7325,-24154,-571,-72,334,405
-17543,-1902,32635,-572,0,273,406
-18475,1108,25545,-562,95,228,408
-20112,2559,20416,-527,151,142,411
-17053,4089,14444,-476,211,58,414
-14032,5481,8001,-404,272,8,416
-10688,6432,3353,-307,320,-31,417
-8619,7109,1265,-181,339,-90,418
-3422,7894,303,-91,341,-117,419
-1892,7639,-343,-9,378,-122,419
-804,7070,-147,81,358,-156,420
1814,7315,-1010,157,302,-188,420
6619,8041,-98,217,259,-182,420
9884,6795,-1686,298,240,-186,420
14886,6413,-1451,398,177,-196,421
23417,3412,353,517,121,-173,422
27398,-2108,6619,572,63,-134,422
-31881,-7344,17082,572,-36,-123,422
-26321,-15905,28193,572,-112,-37,412
-27831,-22613,-26380,572,-166,93,409
-31763,-25094,-19515,507,-259,188,426
29762,-25947,-16171,381,-312,330,426
17318,-24859,-11425,219,-299,494,425
4844,-24290,-9601,45,-324,534,414
-2559,-23741,-13318,-87,-316,512,422
-9512,-21338,-13023,-203,-249,480,416
-14111,-20181,-15877,-323,-191,407,420
-13640,-16494,-19564,-387,-141,317,425
-12169,-11787,-23703,-453,-67,265,427
-8188,-8335,-30018,-498,2,242,428
-6491,-5040,29468,-497,61,224,428
