ax,ay,az,gx,gy,gz,flex
8649,19573,9286,-85,124,48,529
13522,20456,11218,-142,123,104,528
20593,21573,12610,-209,195,236,526
23584,23260,14395,-288,291,416,518
23996,23339,15484,-392,363,572,504
23711,22299,13140,-377,323,572,491
22623,21593,13062,-325,350,572,479
21436,20642,13248,-364,352,572,463
20965,18641,10296,-425,404,572,448
21377,18534,6236,-373,406,572,432
16307,15601,4942,-267,358,572,420
19161,14738,4295,-191,314,572,403
22015,11502,2618,-99,311,572,384
20995,7639,4981,53,298,572,367
21397,5040,11296,105,222,572,350
25712,-764,20142,153,150,572,346
21652,-1912,-31695,156,219,572,344
12306,-1598,-18593,-89,200,572,339
10237,-2245,-12268,-265,130,572,338
2637,3569,-11101,-410,243,572,338
-6364,6011,-13269,-530,274,552,339
-7648,8237,-16975,-560,178,345,344
-8188,14101,-22722,-571,197,234,349
-10384,17602,-28351,-572,211,170,352
-9139,16474,30870,-572,224,149,353
-9590,15091,22554,-572,289,116,354
-10865,13611,17072,-572,327,68,354
-10198,11483,12463,-555,369,19,355
-9992,10571,9178,-459,383,-67,355
-8894,9767,7413,-387,341,-172,357
-5677,9845,4324,-328,295,-235,360
-2696,9678,-156,-276,335,-232,364
-2873,8207,-3373,-212,404,-227,367
-3098,7658,-4834,-111,405,-264,367
-774,7756,-5344,-6,381,-315,368
2726,7815,-6001,94,409,-336,369
5550,9227,-4932,191,408,-371,370
10208,9806,-3961,314,380,-446,371
16915,9159,-5040,430,238,-524,373
30948,10453,-460,553,193,-529,374
-26488,10188,6256,572,246,-448,375
-22634,7188,11816,572,178,-339,375
-16926,2029,17867,572,40,-244,375
-10935,-313,25584,572,-91,-152,375
-10278,-9110,30497,572,-132,100,373
-13308,-15346,-22447,572,-124,344,371
-18260,-18279,-10641,572,-184,534,370
-29331,-21201,676,572,-73,572,366
23299,-19710,7786,306,-44,572,366
15327,-16072,7992,28,-75,572,366
6393,-7413,2912,-216,75,572,366
-1304,176,-4374,-390,137,572,368
-3618,5481,-12818,-471,188,572,370
-8070,10747,-21025,-535,281,572,371
-8560,12091,-27449,-572,263,412,372
-7874,11846,31556,-572,245,262,373
-6168,11944,25957,-572,281,170,374
-6531,11826,21230,-572,345,110,374
-7011,11345,17239,-553,389,38,375
-6844,11355,12571,-510,393,-51,375
-5305,10718,7060,-457,354,-132,376
-3481,9659,2726,-391,345,-167,377
-1794,8276,-764,-327,390,-161,378
-1382,7305,-3540,-249,437,-160,379
-1559,6776,-5344,-150,435,-204,379
421,5266,-5815,-41,422,-256,380
2441,5099,-5354,58,444,-296,380
4344,4363,-4746,155,432,-355,380
8698,3363,-3628,253,387,-400,381
12512,5383,-1814,332,438,-422,381
14846,4873,235,446,419,-512,382
21721,6315,4393,549,211,-572,384
31782,8649,7629,572,151,-572,387
-30106,6756,8168,572,274,-539,388
-29322,3010,9208,572,214,-512,389
-26458,6972,17131,572,50,-531,394
-23899,5040,25702,572,-65,-444,396
-25046,-4040,-32420,572,107,-237,396
30017,-3049,-25487,572,132,-135,396
22456,-3285,-22614,529,-59,-140,395
20279,-2059,-24556,412,-208,-178,397
15768,539,-30204,309,-288,-235,402
15582,3834,31233,219,-302,-245,413
13101,4726,25143,135,-190,-223,430
10012,5050,20897,168,-96,-247,460
7511,8855,17131,206,-140,-306,485
7433,13267,14787,201,-262,-359,500
16141,16611,13787,203,-315,-386,511
17416,20093,8443,95,153,-273,517
12032,19083,6599,44,355,-196,520
9335,17778,7178,54,332,-189,522
7560,17572,8560,93,244,-242,525
5903,19269,8453,103,82,-321,527
6531,20220,7560,69,-125,-389,529
8453,19651,6629,79,-295,-418,531
10747,20769,5717,94,-332,-423,532
11159,22123,4893,79,-281,-429,534
12336,22250,4383,78,-286,-397,536
13287,21250,2824,95,-206,-323,537
13130,22848,2284,81,-90,-278,538
11277,21976,1853,54,-30,-241,539
9953,21181,2265,47,14,-187,539
8531,20750,2412,54,41,-136,539
6746,20230,3108,53,35,-107,540
