ax,ay,az,gx,gy,gz,flex
13238,26820,6374,-171,289,58,437
24819,19043,1421,-322,318,103,384
25643,23819,1255,-141,572,340,350
-32754,31272,-3098,-70,572,546,337
-22016,-28998,1490,-133,572,572,334
24221,-25174,9620,-186,572,572,332
18788,-25733,-30096,-262,572,572,331
22358,-23958,-9974,-370,229,572,336
17239,-7650,3363,-572,327,572,341
-4275,4971,2784,-572,480,572,334
-15533,9453,-3609,-572,349,572,325
-17337,7609,-13171,-572,212,572,324
-15954,2980,-21428,-572,182,534,327
-16974,-5914,-30832,-572,210,399,328
-17033,-14504,24545,-572,245,224,325
-15866,-20064,16111,-572,232,32,325
-13317,-22673,8913,-572,234,-102,326
-11993,-25674,2020,-572,288,-199,327
-10581,-27880,-2941,-572,330,-304,328
-6432,-29753,-4187,-534,344,-390,331
-2304,31939,-3569,-404,403,-421,333
254,29056,-4128,-273,458,-421,334
2902,29928,-5128,-174,536,-433,334
2686,26055,-7707,-62,572,-442,334
4295,27467,-7158,88,572,-483,334
8609,28634,-7217,195,567,-566,333
16572,31772,-3500,362,483,-572,334
-31155,-27704,-9,510,389,-572,335
-11092,-22173,-68,572,457,-572,336
-3394,-20496,3128,572,437,-504,338
8923,-19947,17308,572,547,-107,340
-2138,-28076,-31342,572,572,317,339
-7571,28987,-10464,572,490,535,339
-3502,26408,6491,572,463,572,337
-17436,27781,25153,572,559,572,336
25339,29674,-29616,355,445,572,337
6187,30458,-23791,-65,310,572,336
-9139,-30773,-32499,-475,310,572,332
-15523,-26752,18837,-572,248,572,327
-16660,-21653,3108,-572,214,572,324
-14121,-23134,-11817,-572,166,428,324
-9296,-28714,-25360,-572,191,283,324
-7590,32233,30556,-572,269,202,322
-8600,29693,23025,-572,330,129,322
-9080,26447,16268,-572,323,10,323
-7541,24280,12463,-572,330,-94,324
-6138,25065,9973,-572,338,-184,324
-3971,24927,5413,-523,311,-266,325
-176,23260,1549,-457,335,-300,325
1716,22515,-1333,-352,367,-311,326
3971,21544,-2579,-253,382,-287,326
5069,19465,-3932,-180,463,-233,326
3569,16504,-7423,-89,549,-220,326
3049,15572,-9776,57,548,-284,325
8433,16043,-6589,193,494,-365,325
14748,16258,-4844,293,475,-414,325
21368,17416,-3853,417,454,-460,325
30056,21338,2775,572,394,-530,325
-24762,22789,10600,572,272,-572,327
-13641,20514,14601,572,245,-452,327
-13386,18259,18710,572,263,-266,328
-8620,19455,28967,572,140,-193,329
-6257,18730,-26880,572,148,4,331
-18133,12424,-18741,572,134,286,332
-26272,14650,-15818,572,38,377,333
-32656,14189,-10621,572,73,483,333
14993,15013,-6061,572,182,572,333
-2314,20250,-5777,438,123,572,334
-14003,17926,-18280,195,120,538,333
-15503,13905,-29949,127,133,445,332
-18465,13571,26585,87,158,347,331
-15729,12905,20681,69,59,161,332
-7550,11718,17425,89,-5,25,335
1265,13944,18141,98,50,-45,339
2343,12493,14542,130,45,-137,346
4363,13581,13670,202,-35,-210,364
8090,12973,13415,260,-90,-240,396
13591,13895,17210,231,-107,-241,438
13013,13532,14503,156,46,-172,465
9610,13728,12836,107,32,-166,478
8453,13277,12728,73,-56,-180,479
9688,13532,13169,68,-100,-197,477
8551,13826,11591,82,-79,-214,471
9296,15013,11502,79,-55,-198,468
7864,15033,10443,66,-77,-176,468
