ax,ay,az,gx,gy,gz,flex
2275,21122,15523,-32,23,-35,538
637,20289,16121,-80,181,-67,543
5118,17033,21181,-152,331,-5,543
-254,18141,20701,-170,360,40,524
6079,20828,24153,-210,323,46,484
10149,22299,23182,-285,398,103,431
13787,22838,21564,-388,440,176,378
18779,29468,17602,-385,572,321,344
17190,32096,18632,-433,572,463,320
12532,-31616,23947,-503,572,545,304
10365,31311,28938,-483,410,572,301
10129,-31332,-25105,-505,219,572,303
9188,-29675,-24919,-572,179,572,300
1225,-29665,-23771,-572,157,572,299
-3628,-28027,-23987,-572,96,572,304
-6825,-26566,-25850,-572,108,572,309
-13699,-28694,-31479,-572,145,470,311
-19455,-31410,29281,-572,77,334,313
-17906,31144,25123,-572,28,231,316
-19534,27408,22378,-572,101,122,317
-21309,24731,19387,-572,114,-34,319
-17288,22211,15935,-572,99,-136,320
-13807,18602,11424,-572,131,-188,321
-10129,17739,8502,-572,179,-233,322
-6011,14483,3255,-572,218,-282,323
-3657,12699,1010,-447,274,-278,324
-3932,11934,519,-343,299,-272,325
-3304,11267,303,-290,276,-293,327
-480,10071,-617,-251,287,-317,329
1569,7629,-2226,-154,372,-324,328
2520,7697,-3785,-50,440,-351,328
6227,8237,-4354,36,452,-393,328
11336,8806,-2549,163,464,-416,328
17121,10492,823,293,464,-415,328
21407,13071,4873,363,441,-396,328
24702,13709,6766,428,372,-391,328
28556,13503,7246,544,315,-403,328
32498,13807,9198,572,240,-413,329
-27017,8021,12895,572,171,-333,329
-21937,4746,16572,572,201,-229,329
-19692,2637,20328,572,112,-188,329
-12121,353,23790,572,16,-100,329
-8228,-2402,32557,572,22,132,328
-4031,7315,-20329,572,40,373,328
-3629,12473,-17132,572,109,572,328
-14798,15974,-9307,572,266,572,327
-31665,23986,-7277,339,362,572,325
20397,17759,-432,205,364,572,327
3157,23427,5050,-88,444,572,329
-9247,23633,-560,-418,376,572,331
-11875,25212,-7189,-566,333,572,334
-14582,26692,-17515,-572,299,408,335
-13062,24045,-27017,-572,240,272,336
-11130,20632,30448,-572,273,176,336
-9414,17445,24770,-572,300,102,336
-7658,15631,21044,-572,305,44,337
-5442,13709,17004,-572,309,3,336
-5236,11826,12385,-568,328,-46,336
-5030,10698,8315,-504,322,-113,336
-3873,9610,5403,-443,302,-175,336
-1657,9688,3422,-382,316,-215,336
-990,8913,1343,-328,325,-242,336
392,7639,-353,-260,339,-264,336
1421,6717,-990,-185,364,-285,336
2431,5207,-2686,-121,402,-299,336
4089,4118,-4314,-45,425,-330,336
7423,4658,-3353,91,450,-384,336
11394,6354,-68,177,444,-407,336
14444,5619,68,214,428,-406,336
18092,8149,3402,342,404,-455,337
20858,10375,9149,436,334,-515,338
29320,7766,11140,428,248,-495,339
30576,5550,10237,450,293,-426,340
30134,7158,12993,544,231,-408,340
-32352,7011,15366,572,195,-364,341
32243,5913,15621,572,198,-278,341
32155,6658,15552,572,137,-248,342
-30518,6109,19328,572,86,-230,342
-27694,7501,25133,572,94,-132,342
-28929,8051,25300,572,78,7,342
30988,6589,30036,572,84,137,343
25849,10718,-30744,572,75,300,342
21201,11404,-30106,572,154,386,343
12346,9639,-24007,572,201,467,343
4559,17112,-24134,531,243,457,344
-1980,17043,-32548,298,162,254,344
-2245,13866,26712,229,49,82,343
2569,14680,24221,230,24,18,343
4618,14827,21623,152,133,22,343
4962,13885,18288,85,245,41,344
3863,13807,14827,56,297,35,343
2098,14307,13944,64,198,32,345
5128,15523,15346,92,75,44,349
6638,16415,15768,18,192,-93,357
1990,13562,12101,39,43,-206,381
7786,14140,11571,137,-85,-192,426
11718,14278,15758,178,-46,-261,471
8413,13807,12512,186,61,-256,493
9570,17602,15052,120,84,-187,503
6727,16759,16425,-34,109,-138,511
6119,15601,14974,-92,73,-121,520
4393,14856,14287,-90,43,-137,529
1843,15435,12179,-21,-25,-178,534
3873,15219,13660,35,-99,-214,537
