ax,ay,az,gx,gy,gz,flex
14886,19004,17818,60,414,42,482
10796,20210,21397,-19,225,17,483
17739,19789,22103,-53,90,11,484
20514,22603,20995,-29,127,87,484
21446,26663,21475,-93,193,244,484
19004,30370,21054,-219,290,415,483
16533,32341,19014,-342,376,519,477
11453,-32185,18220,-462,382,572,466
8492,-31773,17494,-560,302,572,448
8708,31292,16915,-572,274,572,427
6825,27565,16082,-572,327,572,404
3089,26300,16386,-572,283,572,371
4716,21721,18279,-572,232,548,361
5981,17641,16680,-572,260,516,356
5501,13317,18484,-551,253,498,345
5393,8256,21368,-501,228,504,350
6825,3589,24535,-498,274,544,345
1765,-3285,28046,-463,469,572,338
-12061,-2069,31517,-480,469,563,342
-14434,-6648,30674,-518,137,329,342
-11855,-5481,30115,-484,195,204,341
-20289,19,23976,-480,201,72,338
-22701,3157,16759,-463,18,-119,335
-19926,5736,9747,-412,-40,-222,327
-19965,7462,4050,-360,7,-245,328
-18759,8198,-853,-289,31,-253,317
-17514,7452,-4059,-216,89,-274,320
-14807,8051,-5266,-157,85,-314,324
-11257,6913,-7747,-84,98,-354,325
-6040,6903,-8943,11,152,-366,328
-2333,6374,-7884,114,217,-354,327
2284,7197,-4736,143,166,-320,327
9090,5766,-2726,167,154,-271,328
14905,3589,-509,231,181,-236,329
16886,1804,2373,388,149,-238,330
23505,1117,11453,492,-19,-301,332
-31077,-1441,21495,460,-32,-241,331
-25880,-9806,28683,491,20,-107,330
-26703,-12316,-21486,494,34,65,326
-32038,-14297,-11866,240,22,276,313
27428,-21887,-13475,73,18,444,315
18131,-18710,-10356,3,74,572,321
3010,-16935,-9984,-147,65,572,311
-12150,-16102,-12043,-310,-12,572,318
-21583,-16170,-21594,-394,-97,446,317
-26889,-12748,-29224,-396,-129,293,317
-30458,-9247,28144,-435,-125,150,320
-29252,-5589,19514,-450,-131,38,322
-27173,-3108,11865,-423,-94,-14,320
-23603,-1314,7227,-384,-38,-53,328
-22270,-882,3049,-330,34,-107,330
-18838,303,1108,-253,43,-194,331
-14621,1353,480,-207,60,-263,334
-10885,1794,-1137,-170,87,-286,335
-8815,1873,-5030,-114,69,-338,336
-3687,2069,-4422,-46,36,-397,339
1206,-921,-3294,4,190,-350,341
3196,-1049,-2392,81,209,-331,344
7354,-1000,1618,149,162,-372,348
14042,-2402,8570,131,126,-362,351
18612,-4501,11444,82,161,-281,353
21358,-5687,12081,70,108,-240,353
23927,-7344,12434,107,32,-240,354
27497,-9208,13385,114,20,-183,355
27751,-11502,14837,106,79,-44,344
25937,-14013,17102,81,85,78,353
23417,-17896,21054,35,63,158,355
17847,-20103,20789,14,10,198,367
13326,-22015,20848,-2,-43,174,371
12257,-23966,20877,8,-86,157,360
9080,-21985,22329,-10,-77,169,374
4501,-21564,20014,-61,-94,145,377
4648,-21887,17219,-49,-119,98,373
5020,-20191,15415,3,-92,80,379
3677,-16278,17239,3,-87,97,384
3138,-15572,15778,-47,-61,131,384
1421,-15964,13601,-41,-64,109,383
1323,-15376,12758,1,-61,59,388
480,-12071,13238,15,-78,7,390
3049,-11983,12522,-30,-82,11,394
3196,-13032,9806,-12,-42,40,406
2608,-13071,9404,56,-31,28,430
