ax,ay,az,gx,gy,gz,flex
31105,21554,21152,88,347,513,418
30350,24182,26643,-82,347,572,409
31664,22868,28791,-198,364,572,399
25810,22260,-30646,-244,377,572,387
22868,23878,-21349,-327,340,572,383
18896,20701,-12161,-498,268,572,377
15768,15513,-6944,-572,218,572,371
8570,16327,-2354,-572,325,572,369
-11738,21250,-2040,-572,470,572,368
-26938,23319,-12278,-572,329,450,367
-23701,19651,-25448,-572,120,74,368
-12267,18543,-31244,-572,86,-58,372
-10463,19455,31390,-572,308,21,377
-15994,19553,27320,-572,402,-2,378
-19926,18318,21093,-572,346,-172,379
-15807,19906,17533,-543,291,-337,380
-15513,23123,12385,-515,382,-353,382
-18955,26153,4854,-461,454,-364,383
-18955,28350,-1088,-319,454,-450,383
-14179,29252,-1637,-205,465,-501,384
-6560,27124,-196,-121,544,-440,387
-1892,26938,1765,-1,572,-274,389
-519,30733,2608,112,572,-172,390
3451,30801,9580,284,572,-131,392
4354,-30292,22907,475,572,-172,394
13974,-28361,28948,513,520,-375,396
27261,-29067,30772,572,455,-542,398
-19368,-26311,-22271,572,361,-552,403
-9277,-32391,-11484,572,500,-147,407
-16662,24496,-9444,572,447,181,408
-17907,18377,-2884,572,262,262,408
-18711,6030,3863,572,236,472,407
-29204,-1274,15807,572,167,572,405
28281,-7717,20622,421,-22,572,401
19995,-15386,21152,174,-82,572,393
4000,-15170,21593,-99,-73,572,389
-7560,-9551,17445,-369,-126,572,386
-12071,-2510,7521,-571,-111,572,382
-13856,1000,-2423,-572,-74,572,379
-14444,6462,-8209,-572,-33,572,380
-16435,10355,-15367,-572,-17,408,381
-16288,11669,-25919,-572,-20,231,380
-14434,12463,32076,-572,19,127,381
-15209,14837,25104,-572,107,84,382
-14915,14964,17523,-572,173,32,383
-14140,15003,9825,-549,265,9,384
-14572,16866,5599,-435,318,-39,385
-14680,19789,941,-350,342,-112,386
-12199,20181,-4412,-260,375,-162,386
-7776,19759,-6795,-118,402,-212,388
-3039,19396,-4785,22,430,-233,389
2069,19240,-1088,103,451,-215,389
4893,18632,1049,189,482,-183,390
6570,19191,5216,350,402,-274,392
16121,20465,10934,439,297,-393,394
25702,18651,14140,509,347,-333,395
31331,16690,24290,572,309,-306,396
-27468,14925,30948,572,189,-324,396
-21025,9845,30340,572,194,-226,397
-13720,11542,-31087,572,182,-109,398
-9993,11345,-17711,572,189,159,402
-17201,5795,-1442,572,234,572,404
-32489,-3687,-3541,419,73,572,404
-31763,-10551,1137,376,-35,572,404
18279,-9227,13395,191,53,572,403
-9404,-10188,16297,-168,40,572,400
-18788,-13601,8629,-394,-197,572,397
-16945,-9247,3245,-429,-230,572,398
-18945,3530,195,-572,-37,572,399
-25682,4863,-15112,-572,111,528,394
-25849,3177,-27409,-572,73,298,394
-20760,5256,-30469,-572,50,62,395
-15395,7227,31056,-572,187,11,397
-15856,9561,25565,-572,251,-41,397
-15650,11198,20112,-571,241,-167,399
-13513,14415,15366,-517,210,-271,400
-9933,15974,10139,-512,275,-246,402
-10708,16611,3736,-455,346,-217,402
-9884,16121,-323,-343,373,-233,403
-7423,15337,-1500,-224,424,-236,404
-5432,14993,-1598,-137,475,-207,405
-3491,14346,-1353,-65,520,-184,405
-745,15974,49,20,551,-171,406
3294,16935,2804,115,563,-169,406
5785,19877,8747,230,518,-191,406
12150,22015,13473,348,401,-354,406
25869,20691,21613,463,355,-438,407
32449,22387,28595,481,305,-414,407
-23497,20838,29056,460,224,-398,407
-16730,13483,28242,572,243,-199,407
-20986,8835,-28419,572,245,3,407
-20506,10188,-22183,572,87,-37,407
-8640,-431,-21124,572,-3,129,407
-12062,-12002,-14583,572,58,544,407
-31469,-14591,401,543,-34,572,408
25614,-19524,-1589,290,-265,532,408
28791,-24408,-5002,214,-267,572,408
19102,-19573,-2031,164,-145,572,408
1196,-9845,764,-66,-69,572,411
-7992,-8521,-5110,-324,-136,572,414
-10845,-5089,-14034,-466,-154,572,416
-13522,-2029,-23448,-542,-121,504,423
-15297,1255,-29959,-572,-71,376,433
-16102,970,25476,-572,-47,226,434
-13042,941,21260,-521,-29,89,435
-11002,784,17592,-458,29,5,440
-8806,1559,14336,-401,69,-39,450
-7688,725,11434,-342,84,-72,468
-5942,-294,9492,-280,81,-107,483
-4275,-480,8276,-243,116,-99,494
-3814,558,7011,-250,152,-101,497
-3569,-215,4471,-226,144,-140,501
-1853,588,2078,-181,146,-175,508
-686,1931,509,-152,187,-184,517
-156,2461,-480,-124,232,-200,526
156,2373,-1147,-72,231,-246,525
4099,2402,-362,5,229,-289,530
5344,3638,-166,85,278,-264,532
6334,4863,1500,141,234,-279,539
10845,4216,4648,197,216,-257,542
13297,5275,5805,283,218,-254,545
13728,3128,6187,395,180,-277,541
12071,5079,8894,572,91,-275,542
14689,13297,13228,572,54,-356,550
12228,17690,11797,572,61,-513,549
10826,22593,12924,572,-10,-572,547
12640,27957,17161,572,-177,-572,545
17671,32076,18563,572,-97,-572,542
21681,-29341,17788,503,71,-572,536
22172,-29086,22456,515,328,-572,537
18553,-28812,25192,498,474,-572,536
16327,-26635,28252,436,451,-572,527
20779,-28949,31615,404,373,-556,527
21544,-31322,32439,242,304,-421,520
21328,28771,30782,59,169,-251,510
19779,24368,30076,-37,-17,-118,499
18455,20004,30438,-133,-107,10,488
14591,13875,28565,-129,-95,89,485
