ax,ay,az,gx,gy,gz,flex
4177,27212,9816,-487,-31,284,413
9090,28850,10875,-502,-22,369,417
10375,29899,13189,-476,121,486,425
7433,31821,13846,-444,208,572,431
6374,-30979,15837,-456,161,572,433
6972,-31185,18906,-458,50,572,435
10453,31301,21377,-391,-17,572,428
8913,30311,24427,-371,-30,572,417
13483,24506,25496,-398,-78,572,416
11669,20769,26173,-463,41,572,415
9061,14503,24721,-495,-39,572,401
7521,10708,23260,-481,42,572,396
8688,9335,23182,-481,-46,572,395
10551,8904,21358,-494,94,572,392
5138,4520,18514,-491,149,572,387
4344,1696,16327,-449,168,572,384
3098,-1745,14493,-417,237,572,381
-1657,-4520,12679,-412,299,522,379
-3804,-7707,9561,-373,277,417,379
-5099,-9502,8590,-335,326,347,380
-9423,-10845,7845,-317,355,258,381
-10228,-12071,6305,-256,403,170,381
-14189,-11826,4069,-177,389,57,381
-12924,-10306,6079,-155,311,-34,381
-11189,-8472,6511,-141,408,-54,382
-14837,-6432,4618,-113,351,-137,382
-11090,-7246,4334,-107,291,-221,383
-10777,-3206,4687,-3,326,-259,384
-11032,-1235,4746,7,196,-333,386
-4324,-578,6030,-12,176,-350,388
-5913,1117,4393,52,168,-363,392
-3392,2226,4393,62,71,-410,393
-49,1912,3275,47,73,-432,394
500,3481,1618,109,56,-450,397
3275,4873,1990,133,22,-481,401
8256,3363,1314,213,42,-488,406
13728,6844,5187,279,58,-497,406
21309,8109,9757,308,26,-504,405
29879,6089,12512,361,55,-429,405
32037,6766,12444,407,86,-349,395
-23310,1235,10737,498,-42,-305,393
-12945,578,15141,553,77,-74,394
-18721,-3275,23633,572,134,190,392
-23909,-9306,32586,572,20,285,390
-27351,-12159,-22438,556,-63,380,387
31213,-17425,-14906,399,-67,525,385
25006,-18583,-13710,250,-101,572,385
20446,-15150,-12847,126,-95,572,386
10335,-12218,-13308,-47,5,572,387
892,-10541,-17956,-191,30,572,388
-2137,-7511,-23536,-281,18,572,391
-2392,-4383,-29488,-366,66,564,394
-3628,-2735,29723,-414,159,521,396
-5648,-3647,23476,-414,206,448,397
-7070,-3765,18426,-405,271,384,398
-8659,-4579,14268,-371,333,317,399
-9933,-4040,11247,-330,364,234,401
-10090,-4618,9247,-291,378,148,401
-9629,-3422,8109,-255,384,64,402
-8855,-2559,6982,-229,346,-22,402
-8011,-1843,5932,-202,311,-100,403
-6913,-1225,5471,-187,270,-173,406
-6148,-1059,3706,-159,214,-236,412
-4854,-353,2392,-139,151,-292,421
-3559,-539,823,-123,117,-340,426
-2314,-764,-1402,-86,81,-379,426
-902,-1441,-2569,-54,76,-408,424
1088,-519,-3795,-18,101,-425,414
3804,-1098,-6021,62,122,-439,401
6089,-941,-4648,165,158,-442,393
7040,1657,-2588,243,179,-462,392
11306,4373,-774,326,163,-481,393
15386,4559,1578,407,201,-472,394
21426,6246,6334,507,171,-495,396
29713,9904,11679,563,170,-448,402
-31361,8904,14317,572,193,-324,404
-27939,5001,16278,572,176,-224,405
-25046,4452,23525,572,200,-73,405
-24958,2186,-30891,572,202,119,405
-26507,-627,-17672,572,125,278,404
-27478,-3383,-11484,543,55,413,400
30654,-6501,-9268,391,-36,572,399
21122,-6236,-7257,202,-34,572,398
9129,-5834,-7483,6,-45,572,399
4893,-4422,-11788,-163,-193,572,400
372,-2824,-17279,-312,-224,572,402
-2765,-853,-22879,-461,-212,572,403
-3991,-1814,-31842,-544,-215,516,405
-3422,264,27438,-572,-250,409,408
-549,-539,20465,-572,-373,363,410
480,-3696,11561,-572,-261,326,412
235,-3098,5413,-506,-141,247,417
-2500,-4295,2588,-421,-182,143,421
3147,-5942,1117,-338,-161,81,427
2735,-7756,-1823,-281,-64,35,427
-745,-9757,-3844,-171,40,-66,428
-1627,-8394,-1745,-81,-55,-137,430
-245,-8031,-607,-74,-67,-185,430
941,-7462,-2226,-29,8,-235,428
-372,-5207,-1265,59,93,-296,428
-2039,-4697,-921,89,178,-384,427
-4108,-2441,-941,146,186,-473,424
-2785,568,264,176,187,-562,423
-696,2726,1353,215,256,-572,423
-1549,7374,2657,269,245,-572,422
3138,12257,5383,254,98,-572,420
8433,14935,7227,286,134,-572,420
9669,20740,8070,375,232,-572,424
15062,27771,11522,359,217,-572,426
17229,30066,14415,334,259,-572,430
14189,31900,17494,263,316,-572,432
11571,-30351,19769,209,278,-572,433
10963,-25370,20769,225,189,-572,434
10139,-20859,20818,227,65,-572,435
14670,-18986,20377,181,-46,-572,434
21309,-21575,18180,105,-81,-572,435
22633,-29037,14866,7,-82,-474,433
19799,27330,13052,-11,-55,-281,431
14984,22584,13522,13,12,-176,429
12022,20828,13630,1,62,-128,430
9002,18857,12659,-16,75,-79,430
6227,19102,12012,-15,41,-69,430
7246,19995,11041,-22,5,-50,430
7031,20495,10178,-28,-15,5,430
5236,20867,10159,-40,-58,48,430
3589,20328,9512,-36,-69,79,429
2922,20210,9306,-24,-73,92,429
666,19749,9237,-30,-77,113,428
-225,19818,9512,-34,-81,113,428
78,19818,8982,-36,-73,119,428
-353,19171,8904,-25,-50,136,427
-1843,19200,9718,-25,-23,137,426
-2392,18328,9659,-25,12,126,425
-2481,18200,9874,-26,22,120,424
-4099,18230,10571,-41,22,110,423
