ax,ay,az,gx,gy,gz,flex
16347,3647,3451,-45,58,42,416
18867,3196,1686,-2,11,29,416
20779,3098,1676,39,2,30,417
18632,3736,4363,59,27,39,417
21721,5001,5736,10,75,47,418
23849,4569,4373,-48,171,112,418
27398,4844,5972,-108,395,242,418
21887,5668,5903,-110,542,318,418
17896,4677,8355,-82,388,383,417
25780,10492,13826,-93,246,448,422
23319,15543,12973,-194,441,558,426
10110,12002,9394,-294,530,546,426
9639,7796,12179,-259,300,465,425
7237,7531,10581,-297,555,463,419
-4314,1176,5109,-260,481,376,408
-3069,-2098,1108,-93,235,204,407
-500,-4373,1235,13,140,91,410
696,-6197,2029,123,102,18,413
1823,-9904,1353,229,86,-114,404
13042,-15925,-313,392,-54,-281,394
20348,-19034,8227,572,-90,-313,395
31615,-11287,23172,572,-202,-210,400
-24517,-19622,31674,501,-242,-106,402
-29400,-21917,-30096,442,-143,24,408
-30459,-17543,-22673,321,-118,233,398
26477,-13640,-20417,230,-46,405,392
19426,-9325,-25752,51,116,446,389
12767,-3638,-28616,-96,162,500,389
10178,-3628,-31636,-266,220,520,389
4216,-4658,29262,-304,272,471,380
1372,-4520,25388,-345,288,382,378
-1059,-5354,22917,-425,326,320,375
-4197,-6766,20122,-424,356,235,381
-6982,-6423,17926,-414,339,116,386
-4834,-6609,15562,-427,341,39,387
-7403,-7550,13297,-383,395,-28,387
-7541,-5540,11120,-316,326,-151,385
-3147,-3402,10129,-342,277,-204,384
68,-3530,9433,-252,270,-213,385
-1519,-2029,8502,-204,195,-241,387
2284,-2059,8080,-216,175,-248,390
470,-2069,5883,-144,215,-257,387
411,-2775,3177,-94,137,-312,391
3373,-4020,2520,-37,147,-308,389
980,-3275,2343,28,201,-335,385
2167,-2618,961,69,150,-411,384
8100,-1990,823,181,159,-455,386
11140,-176,147,255,134,-478,393
19828,284,2618,346,87,-467,393
24476,2785,9629,436,140,-419,392
28095,3618,15395,489,86,-370,391
-28841,1000,20338,520,-12,-267,393
-28272,-2294,22584,509,72,-106,394
-30547,-1490,25565,533,-23,-17,394
-31048,-6089,31056,503,-59,115,395
27967,-8580,31860,429,-45,221,394
26173,-9335,-31548,396,-125,282,395
25016,-8276,-28772,314,-84,401,395
18926,-7619,-28831,216,-73,498,395
15101,-6285,-28625,141,-49,538,395
10708,-6011,-29430,47,-1,559,395
7403,-7011,-30802,-40,7,547,394
6913,-5295,-30753,-111,57,516,394
4912,-4903,-32479,-206,135,492,395
3432,-5481,30183,-241,146,445,396
2814,-3951,29056,-265,184,402,397
274,-3451,26800,-316,260,359,397
-1323,-4569,23554,-330,267,290,398
-2324,-4363,21583,-317,276,214,398
-2863,-4285,20004,-324,290,142,399
-4246,-5481,17494,-334,318,91,399
-5501,-4599,14993,-300,311,19,399
-4824,-4187,13013,-283,300,-57,400
-4795,-4275,10443,-256,321,-112,400
-5717,-3471,8433,-217,288,-170,402
-3432,-3412,7756,-193,260,-222,402
-2265,-2843,5305,-142,250,-269,402
-1402,-1892,4403,-93,211,-309,402
961,-1637,3128,-50,194,-345,403
2186,-1765,1049,10,190,-362,402
3118,-990,1931,66,163,-380,402
4206,-421,1215,143,149,-412,402
7001,833,3138,203,155,-429,402
7923,1480,4510,277,150,-451,402
11620,3157,5501,365,123,-473,403
16337,5628,10649,431,92,-468,403
20505,8001,15435,456,111,-462,404
25516,8933,15670,506,49,-431,404
30899,7776,21250,524,68,-342,404
30076,7344,23211,563,100,-261,405
-30842,8090,24888,572,-27,-206,405
-24673,3647,-30489,572,-26,-11,405
32586,215,-25782,555,16,141,405
30880,19,-26870,502,-118,175,405
31517,-2392,-24762,430,-102,327,406
26084,-3255,-25889,336,-25,488,406
19475,-666,-25360,280,34,572,407
10953,2667,-26390,152,98,572,407
6903,1284,-29988,26,102,572,407
5069,-1941,31370,-63,17,534,407
6982,-2559,29723,-152,-95,433,408
10855,333,28144,-243,-110,366,408
9845,-598,24672,-324,-97,326,408
8580,-480,23819,-368,-180,250,409
12326,2226,23780,-380,-323,177,410
18279,2971,23898,-521,-184,265,410
12248,-1637,19092,-572,-26,300,413
2412,-7796,9217,-401,-186,198,423
4197,-6785,5707,-281,-437,43,423
8198,-9492,2726,-262,-378,27,428
9894,-13532,4912,-237,-285,36,427
6266,-14248,1980,-189,-154,-9,424
6776,-12836,892,-121,-179,-104,424
9786,-13875,1265,-92,-178,-175,423
9394,-11875,-1559,-17,-265,-247,420
13415,-10806,794,8,-257,-295,417
13503,-10365,657,-15,-167,-310,416
13807,-10208,147,-23,-101,-307,414
10688,-4628,-1127,-34,-63,-323,416
14582,-4216,29,-28,-126,-359,416
16111,-2834,1137,-2,-3,-351,415
10875,853,-784,35,-45,-386,409
15082,3353,1108,43,-129,-386,408
14748,8443,1117,15,-43,-350,417
16886,8227,1245,-63,-29,-353,414
17504,8619,-1667,-44,45,-330,409
21211,12189,166,-73,9,-227,408
24535,9188,686,-195,82,-142,408
20456,6207,-3304,-184,111,-118,402
23672,6668,-3108,-67,-72,-109,401
26339,6580,-676,-57,-42,-33,402
22348,5099,-490,-39,14,18,401
20357,5589,166,-25,16,-20,401
20858,4844,1274,-41,18,-22,401
20308,3785,294,-35,14,-28,403
21191,4912,598,-14,3,-41,405
22319,5315,1431,-50,-5,2,407
21132,4246,78,-55,-14,25,403
22123,4912,637,-34,7,-2,405
