ax,ay,az,gx,gy,gz,flex
8227,21426,4530,11,58,191,534
8217,21417,4550,-2,93,182,533
8806,21995,5069,16,137,154,528
9031,21672,3844,27,168,108,521
14179,22711,2892,79,163,117,510
21779,25280,6707,124,173,195,498
22682,32566,7344,63,245,338,480
22142,-30322,12081,-163,225,503,432
22574,-32313,14895,-267,146,561,383
19955,29938,15729,-260,81,509,356
18906,24005,15072,-283,46,432,337
18053,21907,13571,-343,27,414,321
16660,19102,11630,-379,21,419,310
17720,17435,9541,-391,89,409,305
13954,15601,7031,-439,141,401,300
10816,13424,4550,-489,148,368,293
9570,9247,117,-495,108,310,289
10345,5216,-3030,-415,88,264,286
10541,1755,-4912,-390,126,234,280
6511,-3696,-8041,-358,124,177,277
8207,-9982,-9208,-225,24,65,277
8619,-14601,-10796,-278,113,107,276
7021,-23839,-14866,-191,78,61,276
8972,-30556,-14895,-44,-45,71,278
12287,28459,-11473,97,-153,179,279
15837,27655,-3834,227,-102,299,280
13179,32293,3079,350,-28,384,284
8482,-31448,5628,420,23,464,286
11512,30361,1000,445,-28,506,287
16670,29694,-2932,466,28,511,289
12895,30940,-2490,448,40,506,290
10296,-31615,-421,430,0,377,292
6903,-25820,1108,475,107,71,294
657,-8688,-1108,363,237,-147,297
598,10365,-686,362,200,-292,300
264,30733,961,355,130,-287,302
902,-8258,8511,543,-43,-565,307
16621,12110,27006,444,302,-572,312
11777,-5100,-32666,298,309,-572,311
13777,31841,13169,9,-154,-261,309
14787,18994,6893,23,-218,116,309
1510,17484,9669,16,-12,209,311
-4373,15660,3618,11,103,155,311
-5118,13836,-2402,105,124,80,312
-7717,9178,-5501,178,103,32,313
-7335,5815,-4138,254,42,-37,315
-5373,9070,-1657,340,44,-136,318
-4638,12395,1215,400,-17,-207,322
-3275,14268,3147,446,-113,-269,327
-902,20269,3069,477,-183,-350,333
2000,27565,9669,549,-231,-431,344
1294,-31793,10836,549,-360,-488,365
3030,-29488,6580,441,-534,-481,378
5187,-25683,-2235,332,-572,-468,385
12306,-19790,-1049,254,-572,-444,398
18082,-14534,951,169,-572,-530,421
21328,-16426,215,106,-572,-527,446
20063,-21947,-588,55,-572,-435,465
20711,-27105,156,64,-569,-314,479
19092,-32038,1470,82,-535,-237,491
16955,30497,2735,62,-504,-181,501
15346,27016,2373,33,-466,-143,508
13650,24888,3089,-6,-404,-125,513
12238,23290,3451,-53,-349,-142,515
11914,21377,3706,-55,-273,-144,517
11522,20122,3461,-38,-219,-141,518
12277,19367,2981,-10,-196,-139,518
12924,18700,2069,21,-160,-103,519
14523,19583,1931,24,-124,-47,520
14631,20044,1657,-41,-49,-20,520
15621,19691,1255,-40,-33,40,521
13493,19063,706,10,-13,127,522
15111,20907,2745,51,-82,210,523
13660,21250,2500,-5,-56,236,524
12807,20495,2373,27,-27,297,524
