ax,ay,az,gx,gy,gz,flex
25378,18632,23613,45,20,78,440
28046,20299,25114,-47,-90,179,441
-32195,22074,26790,-110,-201,256,437
-31332,22378,25182,-163,-245,337,422
32596,20514,21701,-195,-253,420,403
29938,19495,19249,-245,-189,533,374
24898,19563,15150,-260,-99,572,353
20750,20799,11944,-284,-81,572,333
18426,21093,10012,-352,11,572,303
14346,21230,6913,-501,182,572,292
7129,15415,-3216,-456,148,571,292
2726,6893,-9041,-233,2,397,292
3206,1274,-12002,-89,-56,318,292
-3500,-9306,-18573,-36,-75,211,291
-14081,-24810,-23535,61,-7,175,292
-21662,-32674,-11649,213,-100,58,296
-5491,31538,4648,261,-113,-16,302
11130,29714,5334,224,54,133,305
14591,21526,313,234,54,291,306
17680,19770,2137,246,69,383,307
9629,18172,-431,274,191,332,309
4716,28390,2078,279,212,176,312
2990,-24280,4873,224,332,-57,315
-6638,-1755,7668,206,285,-286,318
862,22270,17445,94,163,-370,320
4236,-24752,23211,184,320,-569,325
2873,1686,-30685,269,376,-572,329
16170,-3698,28712,73,134,-572,330
-15259,23290,12199,-17,-79,-346,327
31262,6158,12503,112,259,123,325
4079,8845,23564,37,61,293,326
-4089,5795,19347,-41,59,277,327
-8286,1235,15317,20,21,164,328
-1421,-1284,18896,56,-46,29,329
5226,-2500,23446,48,22,-32,330
5619,-2265,24270,7,31,-76,331
9904,-1686,22289,-24,-23,-87,331
14513,-1166,21319,-26,-55,-61,332
15445,-843,22456,-27,-3,-14,333
13160,-549,21534,-53,51,6,333
12120,-1245,19240,-50,13,2,333
11934,-1392,19004,-29,-15,1,334
12463,-1470,19759,-31,-25,3,334
12659,-2000,18249,-34,-21,6,335
13013,-2647,17553,8,-19,6,335
