ax,ay,az,gx,gy,gz,flex
11865,25359,17004,-203,59,276,525
12846,26398,19416,-259,120,383,517
12150,27183,21132,-324,157,481,499
13650,28006,21573,-402,143,545,476
18367,22584,23113,-410,114,572,442
19818,17916,23329,-380,90,572,404
21328,15111,23211,-343,-64,572,376
26908,10296,23142,-327,-74,572,351
22436,7207,20279,-328,23,572,336
20387,3392,15454,-336,-93,572,333
20769,607,10836,-253,21,572,331
14513,2029,10581,-134,-4,572,325
11993,-931,7835,-123,-47,572,320
11473,-1941,5628,-71,-4,572,317
7197,-4403,3304,-103,102,572,314
2304,-9688,3363,-100,106,572,310
4393,-15484,1186,-45,119,528,309
4638,-18534,500,57,220,436,309
-19,-21701,2196,86,169,351,309
2814,-23044,2255,167,156,231,310
696,-22103,5207,243,253,126,311
-2314,-15768,8266,203,224,22,311
-843,-12718,8158,172,261,-52,309
-7580,-4824,6040,287,350,-198,310
-11532,7697,7786,358,359,-311,313
-16072,20681,9463,489,401,-404,316
-25202,-24624,14689,572,360,-506,320
-13964,-19486,29575,572,215,-568,322
24182,26849,-18329,272,282,-347,322
-8031,18749,-30410,-169,193,164,321
-22554,5981,16670,-311,-572,269,323
-4873,10188,21397,-218,-407,224,325
-8100,10610,18936,-311,47,176,328
-11630,8776,17484,-320,-134,205,332
-6707,10502,22181,-316,-300,236,338
-3481,10747,21976,-389,-180,239,348
-5932,9188,18690,-408,-184,239,361
-3549,8423,17955,-388,-298,228,389
2020,11836,15758,-206,-339,212,430
5589,7541,16455,-2,-315,222,464
1019,-745,12718,35,-274,250,482
0,-7217,9090,-42,-258,186,492
-362,-14356,8443,-83,-272,109,497
-3912,-19622,6727,-63,-321,9,501
-6511,-25506,6472,-21,-412,-95,502
-4089,-27271,7472,54,-567,-250,504
2618,-23113,8394,39,-564,-425,505
6011,-18622,9492,-28,-381,-557,508
6521,-13552,9070,-44,-195,-572,511
9159,-8982,11316,1,-92,-572,513
10836,-6570,12679,66,-41,-572,517
9414,-3147,13964,32,-85,-572,518
10326,-745,12542,-134,-237,-572,518
19632,-460,11787,-140,-174,-572,519
24368,3491,14464,-27,72,-572,519
15082,5736,11149,-20,280,-481,519
17082,10473,14533,37,224,-525,520
21544,18524,19259,165,331,-522,520
16317,22927,18534,153,186,-478,521
13954,21868,17504,115,68,-453,521
14307,23388,20024,239,47,-518,522
12297,30487,19436,243,96,-530,522
12375,30262,17386,106,-56,-517,523
16680,23966,16151,105,-197,-467,525
