ax,ay,az,gx,gy,gz,flex
17592,-4912,6648,-243,129,540,486
6942,-9904,4863,-258,48,451,470
11816,-14179,5030,-222,90,434,446
14170,-17494,3402,-153,73,451,407
13042,-17759,3677,-98,115,501,369
2343,-16082,431,-85,184,512,331
-7099,-17641,205,-124,128,378,290
-10718,-25898,-3206,-65,114,252,278
588,-23731,-9129,240,166,211,290
1853,-22956,-4726,304,300,267,296
-2971,-29948,-5520,377,278,234,299
-2471,32685,-4393,491,296,188,301
-2706,-28134,-353,505,341,151,303
-3392,-27143,1392,351,337,143,305
-5942,-31733,-1059,329,266,47,306
-7727,-21005,558,355,174,-81,308
-4775,2873,4569,298,168,-148,311
-4236,27967,10777,314,241,-205,313
-1627,-14092,25310,572,343,-398,315
3608,-4266,-17554,572,303,-529,318
24506,28820,-23477,66,-114,-359,319
15699,12826,-30106,-69,-245,188,320
-9963,29772,31752,-183,-172,400,320
-10463,-27262,21966,-391,-105,395,321
-6952,-31754,17367,-404,-156,411,322
58,28212,17641,-342,-60,340,322
-1127,20044,16249,-312,5,319,323
-4550,7727,12630,-250,-100,269,323
-3304,549,10728,-212,-137,211,323
-4373,-7639,8276,-194,-125,111,323
-2520,-16180,8031,-152,-153,-5,323
-5364,-18386,8413,-198,-185,-62,323
-7599,-22564,7894,-264,-271,-190,323
-5285,-26006,7943,-270,-243,-261,323
-9816,-26163,7796,-320,-280,-305,323
-9051,-26035,7129,-371,-357,-376,326
843,-28546,5628,-397,-240,-338,335
5746,-31184,6442,-255,-102,-395,346
10071,-28673,8717,-73,5,-439,355
13022,-23692,9678,-62,-41,-402,363
17994,-22172,7707,-71,-115,-330,372
24849,-22280,10061,-19,-27,-223,394
16562,-20034,7648,30,9,-128,417
11287,-20073,5109,27,4,-102,447
12238,-20191,6785,144,-5,-130,476
13758,-15091,10924,170,45,-41,490
10345,-12787,12444,114,18,-43,496
12856,-13826,12709,69,-23,-41,500
12581,-14278,12228,85,34,-12,506
16719,-12248,15552,115,-14,-18,513
17504,-10698,14248,37,50,58,517
9639,-10688,13307,-17,60,53,521
15121,-11463,15307,-16,0,32,524
