ax,ay,az,gx,gy,gz,flex
13120,17151,9414,-149,289,144,527
18583,17367,8629,-131,219,112,527
26663,18681,9757,-91,144,180,527
30046,22201,11581,-75,183,347,520
30095,24506,11973,-66,206,505,493
31792,25104,15003,-3,107,572,473
29487,28526,21220,65,-36,572,450
30125,28399,25212,-20,-128,572,415
25231,24761,25986,-80,-201,572,383
26653,23319,28369,-161,-214,572,351
24721,26006,26379,-304,-102,572,331
20505,25476,21368,-426,-55,572,313
17965,23250,18210,-453,-56,572,300
18818,23113,15337,-464,-70,572,294
16984,21760,10610,-465,-27,572,296
5530,20191,4775,-520,-1,572,300
-1971,11610,-2588,-475,-63,572,303
-1588,5315,-7080,-345,-34,572,304
-6933,-1461,-9894,-258,103,548,303
-13689,-9600,-13199,-200,114,423,307
-15101,-19367,-14895,-112,32,299,307
-13787,-26967,-15611,-19,10,208,306
-14052,-32517,-16131,66,11,118,305
-9198,29488,-14689,168,12,20,308
-3765,26066,-13385,275,11,-21,309
127,24007,-12895,332,-59,1,313
2765,24811,-12914,353,-72,35,314
137,28351,-13748,371,10,20,315
-4942,-32351,-14523,411,79,-82,316
-10090,-20152,-11434,439,84,-251,318
-12228,-558,-3804,452,129,-427,320
-7678,24957,6060,380,269,-572,323
-8129,-15759,15405,327,392,-572,324
-4285,-1128,21524,409,140,-572,325
16847,-16642,32586,449,-104,-572,325
29468,24054,-26684,237,-140,-320,324
25359,6874,-29743,64,-2,-80,324
14856,3491,30076,-31,38,87,325
6501,3657,26143,-56,3,143,325
8100,3491,22750,-76,-39,155,325
12924,4981,23584,-60,-3,168,326
14689,11600,25231,-109,-4,217,327
17778,16131,24672,-191,-159,296,327
20103,18357,23613,-227,-177,381,328
16759,19063,21142,-232,-86,392,328
11159,11708,16317,-244,-124,398,328
7462,2245,12316,-222,-100,415,328
1627,-5266,8423,-201,33,328,328
-970,-15847,3696,-199,133,193,328
-3108,-24927,1971,-149,130,122,328
-4540,-31233,5197,-55,66,15,330
-2706,31803,5756,-52,65,-49,333
-7845,30361,6178,-83,95,-88,344
-3128,30930,5677,-11,-1,-134,370
-2157,32293,4707,39,-51,-128,405
2490,-27801,6795,58,-111,-115,437
6285,-24839,9365,39,-81,-135,471
6442,-21005,7894,45,-51,-147,500
8541,-18053,8511,52,-100,-154,520
9688,-15552,7982,65,-126,-143,533
11973,-14042,8443,81,-155,-129,540
9953,-11669,7364,62,-100,-81,543
6658,-10747,6805,37,-148,-80,544
5530,-10777,5216,62,-169,-94,543
