ax,ay,az,gx,gy,gz,flex
14170,24172,15229,-81,-17,273,507
14797,26133,16994,-132,-83,340,504
15837,25918,16808,-183,-92,408,505
17023,25722,16611,-213,-58,501,498
17396,25457,16974,-232,-105,554,495
21417,26045,18975,-259,-130,572,485
22691,28173,19200,-358,-81,572,470
24143,26369,20446,-437,-59,572,447
21024,22476,20975,-476,11,572,414
18122,20103,20740,-466,-45,572,381
17926,17876,21632,-497,-99,572,363
17112,17229,19191,-572,-64,572,350
12973,12777,15788,-572,14,572,333
8776,8492,10845,-490,52,572,320
7756,6756,7639,-345,22,572,312
6383,4824,5344,-271,88,548,306
4569,1657,2471,-216,160,439,304
4795,-1284,-362,-158,189,360,303
4020,-3255,-2686,-122,191,270,305
4403,-7717,-4795,-103,179,184,306
2382,-10061,-5668,-98,200,121,307
-1755,-14278,-8296,-23,200,44,308
-2892,-14229,-5874,2,187,-7,310
-5540,-18465,-6236,-65,161,-30,312
-6423,-19789,-6207,-75,120,-39,314
-7903,-23329,-8590,-75,39,-36,315
-5226,-26869,-10532,-82,-110,0,317
-725,-30429,-11385,-83,-150,61,318
-1618,31567,-11797,-64,-195,104,319
323,29881,-12581,5,-356,148,320
4775,29488,-12659,53,-409,199,321
9698,28125,-12493,66,-376,222,323
13738,25527,-13081,100,-307,186,324
16337,26174,-9708,171,-343,292,325
9492,22075,-8423,100,-375,355,325
2461,20604,-9551,62,-313,298,325
-6442,31244,-8188,103,-224,132,326
-13287,-16121,-7619,147,-187,-107,326
-18063,5148,-7952,349,-122,-449,326
-17582,-23065,-1765,572,109,-572,328
10737,27506,20779,572,547,-572,334
21623,27830,13954,572,572,-572,335
-24515,-25840,-5051,206,-170,-572,335
-3707,8580,27330,-210,-572,47,335
22132,9865,25800,-117,255,339,335
-12326,9051,14062,-143,451,253,334
-11963,3687,11512,-96,170,192,334
-8904,1039,15239,11,-52,47,334
1539,-127,18210,84,-149,-55,335
7482,2539,18828,57,48,-31,335
1598,2343,14307,-5,101,-4,337
-990,637,10110,7,-20,-21,342
-951,-1745,7884,162,-131,-99,353
2696,-745,8335,354,-105,-173,379
3471,735,8649,391,-51,-171,405
1117,1274,10453,337,-9,-162,426
1971,1549,11767,268,-36,-224,440
5599,4177,13356,265,-47,-253,450
6864,6844,14385,274,-38,-277,458
7109,11434,15180,322,-73,-345,464
10757,15356,15935,357,-122,-388,471
11120,19092,16582,371,-134,-396,477
9472,21623,18681,382,-99,-437,482
9394,24368,19249,385,-32,-502,489
9433,27761,19122,424,76,-544,497
8511,31086,19200,489,142,-553,508
7060,31762,22652,567,180,-533,517
3177,-30332,23888,498,94,-495,525
1912,-32685,18337,300,-191,-408,529
10894,27565,14787,259,-437,-321,531
16974,29105,16964,352,-348,-233,534
13395,28860,17798,252,-145,-158,537
9825,24672,17337,74,-38,-42,538
7031,22299,17112,-21,-55,27,538
6021,22250,15641,-101,-109,60,538
