ax,ay,az,gx,gy,gz,flex
26457,21868,6305,39,-78,258,332
27820,23584,8639,-44,39,391,335
24005,21319,8708,-41,164,480,337
22309,21691,9580,-35,189,532,338
22917,21956,10826,-69,189,572,339
22603,21583,10836,-122,154,572,339
23760,19014,10924,-123,19,572,339
26310,18504,11257,-105,-126,541,339
-30116,16817,12395,-113,-249,558,338
-26988,15052,12581,-90,-131,572,336
26898,13611,11228,-100,13,572,336
17504,10502,10120,-100,33,572,335
13189,10836,11022,-124,108,572,336
4667,8972,8315,-189,204,572,336
-1618,5913,4589,-211,209,516,336
-6236,1784,980,-247,194,421,336
-5491,-3128,-2588,-251,227,307,336
-3677,-8511,-7188,-217,365,192,336
-1961,-13356,-10237,-142,356,89,336
558,-17523,-9865,-87,212,24,335
5893,-21691,-8570,-63,75,3,336
10286,-26643,-9178,-19,94,9,336
9786,-29330,-9492,89,72,30,337
12532,-28771,-6364,110,-75,119,337
15768,-30635,-5148,121,-138,185,338
15386,32048,-7109,239,50,180,339
14170,31685,-5462,271,167,256,341
9835,27576,-4667,155,65,386,341
9453,21467,-6903,60,-89,429,341
6040,19172,-7492,-52,-46,373,341
-7237,19623,-17612,-162,-67,246,339
-18377,29273,-30095,59,-226,-33,337
-23760,911,-25231,469,-14,-472,338
-21211,-10935,-4461,572,282,-572,341
5638,-9229,29575,572,524,-572,348
6040,-26076,29840,572,572,-572,350
21603,-28723,-12984,108,-267,-457,349
-26615,5226,14866,-179,-297,336,346
-22211,7335,21319,-102,77,280,346
-15190,-1029,7482,1,206,30,346
-3902,-1529,14591,166,0,-32,346
5972,2216,-26998,171,-112,-39,347
11473,470,-31901,11,18,-40,347
9276,-990,25663,-43,-15,28,347
3981,-49,25731,-35,-93,44,347
5962,872,23594,-66,-150,27,348
11522,-1039,19200,-89,-60,54,348
7413,-1745,17523,-23,-18,66,348
2765,-1765,18445,-33,-67,49,348
7354,-696,19387,-84,-152,28,348
8982,-1892,15003,-72,-5,36,347
5305,-1676,13571,-13,5,32,346
