ax,ay,az,gx,gy,gz,flex
4481,20720,8639,13,77,2,475
5060,20789,9590,9,87,25,479
6442,23064,10639,-6,63,59,483
9129,24202,11257,-46,75,127,486
9855,24349,11198,-114,93,201,487
8560,25614,10983,-148,74,274,487
11463,29232,13022,-155,46,363,487
12189,31507,13258,-171,87,461,482
11659,-31920,13562,-173,132,521,462
14944,-25713,12356,-90,180,530,440
18053,-17956,10816,-112,308,572,412
11581,-15563,6393,-298,310,572,382
13248,-21133,3883,-259,248,572,367
16749,-21437,1382,-148,388,572,362
12130,-22026,78,-131,447,572,362
4814,-29714,-2990,-200,468,572,364
4030,29281,-3000,-295,436,572,365
-3461,23182,-3589,-330,378,572,366
-8609,13856,-2108,-332,305,572,365
-14474,5118,2755,-284,247,572,365
-23103,-11473,9002,-225,236,572,363
32636,-22329,13866,-184,146,539,363
-7923,-11463,15395,-295,379,41,372
107,-7266,11493,-315,572,-287,375
980,-804,17543,-131,472,-284,378
8541,-500,21289,-207,122,33,381
-2196,-10826,15386,-314,-56,225,380
-4795,-18632,13464,-276,0,129,380
-12483,-24035,12993,-181,173,-30,380
-14317,-24780,13758,-99,146,-181,381
-8139,-23996,14425,-71,124,-225,382
-8551,-22554,14140,-51,74,-212,382
-5834,-20269,14121,-65,-32,-196,384
-3716,-17612,14503,-125,-67,-187,387
-3804,-17298,15856,-114,-73,-201,388
-58,-13287,14513,-15,10,-243,389
794,-5766,15141,-21,39,-330,396
3334,-39,13454,-115,199,-269,396
-1931,11855,13522,-89,355,-255,397
-2853,17926,22466,95,419,-320,399
-7443,19436,32635,308,445,-420,398
-1166,18141,28909,281,-48,-467,399
32331,6717,-30881,183,-158,-259,399
15945,3000,28301,-33,184,46,397
-4373,-1519,22593,-151,-27,115,390
382,-4148,19043,-121,-27,46,387
-755,-7501,16435,-7,64,-18,387
3020,-5913,20632,84,15,-37,386
3657,-3520,23299,25,11,6,382
1784,-5158,22662,-35,-19,25,379
2775,-6158,21260,-20,23,12,377
764,-5648,20887,-4,20,16,375
274,-5824,21681,-26,-13,20,373
784,-7139,20701,-2,5,-6,369
