ax,ay,az,gx,gy,gz,flex
-6001,19612,8276,-15,27,11,443
-3844,20573,9521,-19,-102,-55,443
6374,22544,9443,-35,-38,-60,445
8168,24045,8551,-57,159,31,450
5511,24604,8217,-89,217,98,455
5619,25290,7737,-102,264,197,458
4569,28065,9590,-103,275,314,461
10894,32429,10914,-145,321,427,463
10296,-31626,11257,-212,474,550,464
3853,-31185,11649,-178,416,572,459
4363,-30812,15749,-237,210,572,446
12414,-32734,18337,-376,201,572,422
11953,32488,18455,-398,243,572,401
7648,29526,20632,-419,232,572,386
5324,24849,18543,-534,116,572,363
7992,17210,15964,-500,56,572,368
7001,16768,15974,-426,100,567,362
6668,15621,14150,-391,91,537,357
9296,14130,12601,-284,66,529,353
8355,13611,10943,-250,33,520,350
8884,10826,7825,-290,55,501,347
7080,7501,4697,-230,151,449,342
1931,2745,2785,-212,110,407,346
-98,-2382,2481,-179,3,426,342
-2549,-6648,4510,-82,-44,384,338
-6393,-9208,7580,-83,34,260,338
-8198,-12659,7168,-76,7,155,344
5903,-10365,10757,-49,49,44,347
4108,-12679,10198,-60,87,-17,348
6942,-14552,11512,-30,-3,1,350
5736,-17523,10914,-33,49,8,350
2088,-19622,11247,4,2,9,353
4599,-20004,13650,46,41,-19,354
8247,-19671,17435,47,87,-19,355
6560,-21162,18484,30,103,22,356
3500,-22289,19200,44,73,54,356
1519,-22329,19985,55,70,46,357
2843,-20848,21652,47,63,19,358
4608,-23113,19857,20,112,-22,359
607,-20367,18337,29,111,-49,360
2657,-15337,18024,-18,45,-80,362
4510,-15307,15288,-13,86,-108,363
372,-7962,15788,43,132,-167,363
1559,-58,18877,-44,85,-208,365
137,1980,14454,-142,208,-191,365
-3549,11130,15121,256,154,-303,367
5275,22446,26849,222,237,-350,368
-4412,22584,28673,-21,263,-304,369
-2088,11100,18730,184,-5,-359,368
24878,14807,-30028,201,41,-289,367
12718,9012,31968,-141,278,-62,367
4059,-2157,16533,-126,-49,37,366
-313,2520,20338,-17,-70,51,366
294,1157,21436,-67,37,-5,366
166,-3216,18445,-29,45,-10,366
1166,-1323,21250,-1,5,0,367
5471,-892,22966,-28,-13,-7,368
7011,353,23035,-16,157,24,370
2530,853,22682,-82,86,100,370
-2775,-519,22495,-101,-45,111,370
1117,1951,22770,-35,-31,66,371
1931,6187,20838,-18,-12,75,371
4981,4922,21819,-110,-96,136,372
9747,8727,25849,-82,97,151,373
-1510,14562,24780,-92,196,137,375
-1745,12101,23496,-219,-51,189,376
4952,7462,20916,-122,-125,220,376
-1215,3255,20936,-45,-111,214,377
6531,539,23123,-125,-185,202,378
6991,-5628,19661,-145,24,221,378
-2490,-6933,15631,-169,-77,219,379
3657,-13464,14729,-176,-118,258,378
-6933,-23025,14483,-212,-93,363,376
29361,18888,4893,-285,-353,500,371
18584,23310,-2029,-242,-572,243,374
16062,-21838,12679,-219,449,-373,376
-21260,-22319,7070,10,572,-548,375
20044,-8963,20769,114,-271,-235,377
26996,-10865,19691,-7,-81,4,378
11120,-18073,15307,-56,-27,73,377
-5393,-16611,17298,49,-133,51,378
3108,-14621,18328,0,64,23,378
-4363,-15886,14631,-6,66,-45,378
3883,-11375,18534,34,-23,-53,378
6874,-9531,20004,-29,43,-35,379
6629,-11159,17837,-62,58,-12,377
2392,-12346,16543,15,41,9,378
3628,-10277,17867,11,22,31,376
323,-11767,16553,10,-30,13,377
4756,-10757,17082,63,-75,19,378
3177,-9973,17082,16,-19,-8,381
