ax,ay,az,gx,gy,gz,flex
20083,-294,7501,-27,22,48,359
18749,-1314,7050,-22,-9,26,362
18896,-902,7511,3,-24,6,364
19024,1098,4726,6,-40,-22,366
23182,2677,-1823,38,-109,-37,368
-27929,10894,-9776,104,-38,108,370
-17858,20377,-19141,158,304,389,371
-17407,31713,-27094,243,572,572,372
-7718,-23055,-24241,451,572,572,372
-14759,-13416,-8708,538,572,572,372
26938,-18074,6864,409,572,572,371
-2520,-20672,19034,128,572,572,367
-29242,-23742,19671,-152,400,572,362
31989,-31342,18622,-169,-242,572,363
23948,30713,19818,-146,-370,572,365
6885,21593,27359,-122,-155,572,367
-21436,14464,14650,-283,368,164,370
20094,20250,17739,18,-152,-165,372
26331,9708,3020,-97,131,-344,373
32499,11983,-1225,193,163,-572,374
31067,14729,1470,320,156,-572,374
20751,12767,5648,478,-8,-572,374
28086,22888,16719,572,-454,-572,378
-16386,-30165,26604,546,-572,-572,387
-892,-24683,27291,297,-572,-572,397
5736,-12847,18318,-17,-572,-572,400
26359,-7189,-970,-244,-572,-572,399
-27125,-16162,-16337,-432,-572,-572,395
25486,-31214,-19249,-572,-572,-141,391
12728,20573,-25829,-557,-325,-212,390
25104,9012,-26035,-67,-568,-234,390
-32077,13434,-19112,166,-464,-88,390
32017,10228,-9031,160,-72,17,387
23584,7629,-4138,103,122,62,386
22230,6119,1323,77,-4,48,387
21328,4167,2098,41,-20,62,387
21642,3775,3079,25,-111,50,387
20897,2824,1637,-7,-69,29,387
19749,2647,480,-5,-73,11,388
20563,2941,666,15,-77,22,388
20936,3883,1510,11,-17,32,389
19259,3128,1215,-14,26,29,389
19014,3039,1147,-17,-17,17,390
19759,3039,1235,-27,-45,31,389
19995,2461,725,-17,-33,34,390
19436,2598,313,-3,18,15,390
20034,2579,578,6,7,1,391
20397,2843,1804,-4,-2,26,391
21554,2971,2814,-31,23,42,390
