ax,ay,az,gx,gy,gz,flex
19730,-1500,5815,-8,5,11,475
19700,-2059,4854,2,23,18,472
19092,-2902,4167,48,28,25,472
18749,-2647,4697,103,6,27,470
18828,-2039,6227,124,-28,-1,470
20946,-1284,7952,97,-30,-29,470
20387,-1059,7197,36,-8,-40,470
21505,941,4304,-15,-79,-64,471
25927,3657,-1176,-20,-151,-77,472
-22957,9874,-4922,-6,7,81,475
-19731,20563,-15376,27,311,374,477
-7130,30674,-18004,238,354,572,481
-5326,-21682,-26585,464,572,572,483
30301,-25115,-19838,572,572,572,471
-28174,-27547,15121,572,304,572,507
22819,31694,20397,572,364,572,510
-6952,-23663,24123,530,564,572,529
21584,-23663,27330,238,95,572,504
19241,27526,25349,187,-572,572,529
25370,26614,30458,244,-211,572,531
20535,30703,-30391,128,112,264,516
26860,24770,25829,47,-128,-213,526
28665,18985,20897,-37,165,-388,529
28861,14287,13954,48,302,-572,541
-26908,15837,13679,84,7,-572,541
-20750,14827,15160,153,75,-572,541
-15327,15288,18730,239,71,-572,542
-13493,17935,23397,292,-206,-572,548
-107,27340,28389,178,-476,-572,550
13719,-28419,29742,-70,-572,-572,550
30252,-26537,25565,-320,-568,-572,542
28095,-29037,16003,-409,-514,-572,538
26016,-32018,4020,-467,-572,-572,530
25006,25104,-3108,-520,-572,-572,521
32576,15376,-7776,-423,-572,-537,495
-31165,10786,-5570,-251,-572,-309,480
31144,6481,-1755,-126,-384,-139,472
25378,4579,1343,-32,-16,-1,460
20171,3010,4206,23,15,11,464
20848,2088,7246,27,-31,-18,461
19691,2186,7364,-2,-90,-15,455
21642,1833,7501,-18,-185,-16,459
22995,1784,7158,-41,-114,10,458
21073,1706,5874,-54,-38,32,447
18484,509,4089,8,-35,13,459
