ax,ay,az,gx,gy,gz,flex
23466,1794,3069,11,104,42,457
24800,1765,1843,10,153,77,468
22544,1431,1784,40,198,114,479
20632,1206,2020,101,134,118,490
22731,1559,813,158,76,115,500
24790,1637,853,220,110,133,508
24986,2608,1451,258,180,170,513
23917,3147,2598,274,263,217,516
21858,3814,4040,277,276,251,518
21122,4167,4873,266,264,284,521
21309,4756,5373,274,272,324,523
20259,5756,6266,299,281,360,525
19083,5981,7011,315,266,395,526
18092,7384,8051,311,243,441,527
18122,7845,8963,333,211,483,528
16523,7884,9629,365,222,523,529
14533,8747,11414,380,218,564,530
12816,8923,13983,399,184,572,530
11953,9874,15582,426,178,572,531
8109,11316,16680,411,187,572,531
4981,11551,19043,389,154,572,531
1392,11502,20436,403,84,572,530
-490,12208,22917,426,0,572,531
-549,12630,27830,400,0,572,531
-1519,12856,32331,363,17,534,531
-4559,12826,-30126,305,-11,476,531
-5609,12797,-29528,187,-70,414,531
-5344,11306,-31646,37,-73,349,531
-5805,8747,31341,-74,-4,270,531
-9217,5942,28271,-137,25,166,531
-9727,4658,25927,-177,13,40,531
-7433,3883,24349,-202,21,-99,531
-6481,2951,24074,-198,34,-212,531
-5687,3442,24113,-171,27,-305,531
-3726,5422,24437,-167,11,-399,531
-1372,5834,24966,-218,5,-461,531
931,4893,25535,-238,11,-498,531
1931,5589,25996,-219,27,-530,531
1804,7697,26820,-241,1,-556,532
4020,9482,26477,-321,-23,-565,531
6589,9159,25270,-362,-4,-564,532
6021,8619,24025,-348,13,-557,532
6864,9953,23956,-381,26,-551,532
8815,9904,22809,-424,52,-548,532
8815,8109,22181,-403,58,-540,532
8511,7717,21113,-379,22,-537,532
10492,9110,19495,-379,-17,-540,532
11336,7982,17788,-357,-55,-536,533
12787,8462,15954,-306,-117,-530,533
15248,8992,15464,-248,-154,-509,533
13473,9208,14984,-223,-256,-482,534
10384,10090,10620,-291,-452,-433,535
17759,9276,5736,-353,-565,-402,535
28879,11777,-9119,-470,-572,-444,535
23633,-1343,-6884,-328,-572,-321,536
-31920,-1353,-7050,31,-572,-158,536
26663,3451,-2598,86,-271,-78,536
24084,6746,-2147,-23,-209,-41,536
25977,2794,-4393,-201,-10,13,536
22181,-686,-6050,-155,59,31,536
21152,-666,-3991,-26,33,18,536
21073,764,-2069,15,5,-15,536
20652,460,-107,4,-17,-52,536
20524,147,-539,-12,-70,-46,535
22387,0,-617,-19,-39,-10,532
21701,-98,578,-16,48,13,527
19730,-500,1608,-5,70,5,520
17857,-941,2392,10,17,-13,517
19749,588,3363,-3,-62,-23,517
21319,-549,2530,-36,-39,-18,520
20436,-706,2510,-19,-15,-4,522
20465,-245,1814,-14,-3,0,523
20240,-500,2020,7,1,-16,524
20073,-392,2461,46,23,-16,526
