ax,ay,az,gx,gy,gz,flex
25486,22956,12002,-69,342,103,536
28987,25937,10816,-182,339,127,539
-32136,28644,12679,-244,250,201,542
-31567,-31852,11924,-307,184,348,544
-30949,-28106,9335,-335,197,456,545
32262,-25556,7521,-334,358,510,545
26369,-22977,6030,-342,474,520,546
22760,-24389,4265,-385,513,534,546
19445,-26713,2745,-406,572,551,546
13807,-29704,1657,-383,572,525,546
8717,31007,1765,-380,572,475,546
9982,28095,2863,-370,535,404,545
9306,26055,715,-394,478,343,545
11649,22927,-1353,-407,393,322,545
15778,20073,-1333,-355,306,330,545
22848,22064,-2667,-321,144,384,546
29566,25574,-3902,-300,47,572,546
-25938,31801,-2883,-224,38,572,546
-23752,-18221,-1931,-135,56,572,546
-29753,-11396,-137,-83,13,572,547
25427,-13141,3540,3,23,572,548
7845,-15936,7364,18,37,572,547
-13513,-22320,12385,61,-158,572,547
-31350,-29606,20053,169,-417,572,546
-25967,-26605,-32460,282,-238,572,545
18927,-26478,-27194,236,103,572,545
-6727,32508,-26978,39,125,572,544
-16062,20289,-30547,-149,-41,310,545
-2569,16013,31066,-23,-20,-321,546
2276,19102,28909,78,-2,-572,547
8944,30664,27085,26,-78,-572,547
24154,-24722,24329,-49,-92,-572,548
-19191,-19064,20563,-46,-93,-572,551
10286,-10739,19848,46,-37,-572,554
23800,4275,24682,171,265,-572,558
29634,9325,32557,21,64,-572,562
24535,-7110,-3245,-549,-567,-572,560
-27978,31027,-27634,-572,-572,-503,559
-21339,6256,-12924,-175,-457,-405,559
29311,1725,-9178,152,-213,-378,560
20397,5471,1853,299,-154,-200,560
17916,8384,9345,214,-86,-64,559
11963,9796,7511,82,-37,30,556
7246,10051,4922,46,-72,79,554
3657,9355,3010,85,-191,69,553
3549,11473,3206,176,-339,13,552
3696,13444,3667,211,-436,-55,552
4814,13513,2667,177,-498,-117,550
8335,13925,2873,159,-490,-216,547
10267,18475,3196,142,-381,-317,547
8384,21220,1598,98,-371,-370,547
8698,22838,-2765,52,-516,-452,546
