ax,ay,az,gx,gy,gz,flex
20975,-921,5432,-29,-20,39,352
20210,-627,5266,-27,19,28,353
19612,-735,5824,-30,37,11,354
19661,-853,6540,-46,35,12,355
20858,-970,7286,-68,76,15,355
22584,-411,8256,-87,195,19,356
24996,-205,10041,-131,405,86,360
24476,1745,9718,-198,572,170,372
17425,225,5550,-192,572,199,422
10561,-7786,6521,-94,572,138,533
5991,-8051,9119,109,327,18,578
15827,-568,20838,97,103,-18,602
19396,-2853,14111,-54,201,-4,595
24192,-3961,10806,21,142,22,589
31694,264,8217,181,94,150,605
-22820,10198,4393,249,326,284,596
-22143,23378,8482,174,452,552,597
-22957,-27880,9198,61,403,572,593
-25291,-17005,8453,70,292,572,585
-30547,-12200,13091,152,248,572,593
22829,-15632,16572,177,280,572,597
6266,-17446,18141,137,283,572,584
-7462,-15740,20024,58,196,572,585
-17965,-9611,22172,18,142,572,587
13690,-7699,21691,13,-3,572,597
-4903,-18378,25986,-14,-352,572,597
21526,31076,31694,-83,-145,572,597
10807,21730,23927,41,-108,106,596
-17023,-31548,23839,265,15,-572,597
9326,-25478,21593,125,-88,-572,597
25654,-22173,17651,-28,-182,-572,596
31303,-20476,14297,-45,-233,-572,595
-16131,-15965,14729,-4,-249,-572,597
-4648,-15642,17592,-12,-99,-572,598
-1774,-4835,16092,-17,-131,-572,599
15984,2265,23496,4,-145,-572,600
17268,-1629,25074,79,24,-572,600
11336,-12661,-1304,-165,-572,-572,600
-17976,32547,-8668,-184,-572,-572,601
-11876,10836,-2216,142,-360,-410,600
-22987,12434,9904,358,-21,-179,599
23142,11306,24094,160,-103,72,586
10404,5099,20554,-56,-404,154,538
12130,1980,12738,-25,-549,35,460
12081,745,5305,129,-572,6,415
19445,3000,9110,184,-572,74,382
25447,5413,12434,37,-572,86,366
21593,3010,9208,-76,-572,95,362
22289,921,8286,-124,-510,82,347
23407,1627,4981,-102,-307,96,332
20818,1951,5756,-106,-154,99,328
21358,186,6344,-145,-115,77,326
21691,-794,5648,-145,-26,115,319
16710,-402,4501,-116,-138,110,317
