ax,ay,az,gx,gy,gz,flex
23152,-1588,4383,112,161,-1,427
27094,-460,3687,83,289,35,476
31713,2765,-1608,45,572,120,507
-32283,5795,-6825,26,572,285,529
-32254,7707,-8913,147,572,519,541
-29400,17651,-9404,361,562,572,530
-28733,29879,-9924,569,341,572,546
-21781,-27449,-4334,572,361,572,547
28369,-29371,2157,554,420,572,560
16984,32449,12061,572,123,572,567
8551,32655,22888,572,34,572,568
-14591,-29783,-29537,572,126,572,570
31459,-30410,-18711,394,100,572,577
-3667,27330,-10846,211,78,572,550
20535,20514,-6287,36,-176,520,556
-18151,28967,-9307,-223,-109,-364,568
8758,28134,-26272,-412,170,-572,561
-31998,31429,26585,-464,36,-572,549
-3285,29938,22907,-418,-24,-572,547
6844,29968,23250,-295,77,-572,546
8943,-26841,25623,-270,87,-572,539
14042,-11415,26987,-346,-274,-572,531
23692,-6738,17837,-572,-572,-572,512
24917,-16711,-10228,-572,-572,-572,455
27075,26153,-30762,-572,-572,-572,394
-21545,11100,-30478,-380,-572,-518,362
-20516,6236,-23966,-187,-475,-354,360
-27027,5138,-11561,-89,-100,-77,363
28389,4314,-3687,-72,-4,65,362
21946,539,-549,-66,-28,60,361
20632,-1912,1186,10,-29,24,363
19710,-1186,3000,55,-34,0,366
19818,-1441,4569,15,-58,-10,364
19396,-1294,4177,-32,-54,8,359
20004,-2196,2735,-42,-35,15,355
19848,-1755,2216,-20,9,29,351
18337,-2245,2618,-23,-5,18,346
19455,-3089,3138,-20,-34,15,342
20083,-3236,2431,-11,-19,26,338
20210,-2441,2677,-25,6,23,336
18828,-3275,1990,-30,-28,18,334
19985,-3363,1519,-19,-91,17,333
20848,-1990,1206,-21,-56,24,334
19308,-2726,451,-32,-1,18,332
17759,-2392,-441,-10,-23,0,331
19191,-2186,-353,11,-86,-11,329
21750,-1461,735,3,-49,-5,328
20563,-1804,647,-4,17,9,327
