ax,ay,az,gx,gy,gz,flex
21672,-990,2392,17,38,-11,335
20554,-2226,2618,-6,31,-30,338
19926,-2353,2853,15,51,-76,340
20661,-1510,3569,33,79,-82,342
20103,-1725,3863,24,61,-57,343
21132,-1304,4236,-12,-24,-35,344
20259,-872,2696,-27,-47,-30,344
20877,215,1823,-44,-36,-46,344
22221,274,1343,-58,1,-50,344
21760,1353,343,-58,26,-39,344
21417,2706,-2098,-43,-18,-34,344
28046,5805,-5942,-45,-9,5,344
-31430,7364,-13974,-4,143,114,345
-28145,12365,-19034,162,404,291,348
-24320,19887,-20799,270,572,570,362
-19908,29674,-25947,382,572,572,393
-26360,-18397,-22358,572,572,572,452
-24821,-9248,-6707,572,572,572,511
-31763,-12847,6295,572,359,572,541
21956,-14661,15454,572,401,572,567
-10953,-9778,23868,531,361,572,576
29949,-8473,-32420,294,117,572,580
8709,-11984,-29165,-27,6,572,580
-13307,-15171,-29390,-165,82,572,578
-30262,-24507,30733,-204,15,355,576
-31291,32302,23672,-129,-164,-316,574
4639,30487,22368,-69,-426,-572,571
28243,32272,23956,-96,-280,-572,569
-16307,-31067,23633,-137,-92,-572,566
1225,-29734,25486,-135,-39,-572,562
8404,-25527,26516,-179,-121,-572,560
17376,-19584,28046,-326,-231,-572,557
19642,-19809,24113,-456,-333,-572,555
14846,-18388,9845,-572,-572,-572,553
19073,-24958,-8639,-572,-572,-572,538
28546,31811,-16258,-572,-572,-572,527
-27851,21877,-19220,-572,-572,-572,506
-26419,5315,-25908,-572,-572,-442,469
-28655,-980,-15160,-205,-572,-163,429
31399,9423,-4922,-70,-273,-44,416
25035,6560,-3844,-163,-115,-1,392
21740,2127,-284,-151,-96,85,357
16817,-19,-2677,-119,-187,37,345
22378,-725,-2696,-46,-187,-32,339
22270,-1186,-1912,5,-47,-14,334
20877,-451,-1735,22,-5,18,331
19563,-392,-1392,11,-29,32,331
20367,-813,-1255,-3,-18,34,329
19857,-1873,-1284,19,29,44,326
